english,javanese
a,sing
able,bisa
about,babagan
above,ndhuwur
act,tumindak
add,nambah
afraid,wedi
after,sawise
again,maneh
against,marang
age,umur
ago,ago
agree,setuju
air,udhara
all,kabeh
allow,ngidini
also,uga
always,tansah
am,aku
among,antarane
an,lan
and,lan
anger,nesu
animal,kewan
answer,jawaban
any,sembarang
appear,katon
apple,apel
are,sing
area,area
arm,lengen
arrange,ngatur
arrive,teka
art,gambar
as,minangka
ask,takon
at,ing
atom,atom
baby,baby
back,bali
bad,ala
ball,werni
band,band
bank,bank
bar,bar
base,dasar
basic,dhasar
bat,bat
be,dadi
bear,metokake
beat,ngalahake
beauty,kaendahan
bed,amben
been,wis
before,sadurunge
began,wiwit
begin,miwiti
behind,konco
believe,pracaya
bell,lonceng
best,paling
better,luwih apik
between,antarane
big,amba
bird,manuk
bit,dicokot
black,ireng
block,pemblokiran
blood,getih
blow,jotosan
blue,biru
board,papan
boat,baita
body,awak
bone,balung
book,buku
born,mijil
both,loro
bottom,ngisor
bought,tuku
box,kothak
boy,cah lanang
branch,cabang
bread,roti
break,break
bright,padhang
bring,nggawa
broad,godhongé amba
broke,nyuwil
brother,adik
brought,nggawa
brown,coklat
build,mbangun
burn,diobong
busy,sibuk
but,nanging
buy,tuku
by,dening
call,telpon
came,teka
camp,camp
can,bisa
capital,ibukutha
captain,kapten
car,montor
card,kertu
care,care
carry,nindakake
case,cilik
cat,cat
catch,nyekel
caught,kejiret
cause,sabab
cell,sel
cent,sen
center,tengah
century,abad
certain,tartamtu
chair,dhingklik
chance,kasempatan
change,pangowahan
character,karakter
charge,ngisi daya
chart,grafik
check,mriksa
chick,cah ayu
chief,pangareping
child,anak
children,anak
choose,milih
chord,penghubung
circle,bunder
city,kutha
claim,pratelan
class,kelas
clean,resik
clear,cetha
climb,menek
clock,jam
close,cedhak
clothe,nglambeni
cloud,maya
coast,pesisir
coat,jas
cold,kadhemen
collect,ngumpulake
colony,koloni
color,werna
column,asli
come,teka
common,umum
company,perusahaan
compare,mbandhingaké
complete,lengkap
condition,kawontenan
connect,nyambung
consider,nimbang
consonant,consonant
contain,ngemot
continent,bawana
continue,terus
control,kontrol
cook,cook
cool,kelangan
copy,salinan
corn,jagung
corner,sudhut
correct,bener
cost,biaya
cotton,katun
could,bisa
count,count
country,negara
course,mesthi
cover,tutup
cow,cow
crease,crease
create,nggawe
crop,potong
cross,nglintasi
crowd,akeh
cry,mewek
current,saiki
cut,motong
dad,bapak
dance,tari
danger,bebaya
dark,peteng
day,dina
dead,mati
deal,menehi hasil
dear,dear
death,pati
decide,arep
decimal,desimal
deep,jero
degree,sarjana
depend,gumantung
