english,czech
a,ostrov
able,schopný
about,o
above,výše
act,akt
add,přidat
afraid,strach
after,po
again,znovu
against,proti
age,věk
ago,před
agree,"souhlasí s tím,"
air,vzduchu
all,všechny
allow,povolit
also,také
always,vždy
am,am
among,mezi
an,
and,a
anger,hněv
animal,zvíře
answer,odpověď
any,jakýkoli
appear,se objeví
apple,jablko
are,jsou
area,plocha
arm,paže
arrange,zařídit
arrive,příjezd
art,umění
as,as
ask,zeptat se
at,na
atom,atom
baby,dítě
back,zpět
bad,špatný
ball,koule
band,kapela
bank,banka
bar,baru
base,základna
basic,základní
bat,netopýr
be,být
bear,nést
beat,porazit
beauty,krása
bed,postel
been,byl
before,před
began,začal
begin,začít
behind,za
believe,věřit
bell,zvonek
best,nejlepší
better,lepší
between,mezi
big,velký
bird,pták
bit,bit
black,černá
block,blok
blood,krev
blow,rána
blue,modrá
board,deska
boat,loď
body,tělo
bone,kost
book,kniha
born,narozený
both,jak
bottom,spodní
bought,koupil
box,box
boy,chlapec
branch,pobočka
bread,chléb
break,přestávka
bright,světlý
bring,přinést
broad,široký
broke,zlomil
brother,bratr
brought,přinesl
brown,hnědá
build,stavět
burn,hořet
busy,obsazeno
but,ale
buy,koupit
by,od
call,volání
came,přišel
camp,tábor
can,moci
capital,kapitál
captain,kapitán
car,auto
card,karta
care,péče
carry,nést
case,pouzdro
cat,kočka
catch,úlovek
caught,chytil
cause,příčina
cell,buňka
cent,centy
center,centrum
century,století
certain,jisté
chair,židle
chance,šance
change,změna
character,charakter
charge,nabíjení
chart,graf
check,zkontrolujte
chick,kočka
chief,šéf
child,dítě
children,děti
choose,vybrat
chord,akord
circle,kruh
city,město
claim,reklamace
class,třída
clean,čistý
clear,jasný
climb,stoupání
clock,hodiny
close,close
clothe,oblékli
cloud,cloud
coast,pobřeží
coat,kabát
cold,zima
collect,sbírat
colony,kolonie
color,barva
column,sloupec
come,přijít
common,společné
company,společnost
compare,porovnat
complete,kompletní
condition,stav
connect,připojit
consider,zvážit
consonant,souhláska
contain,obsahují
continent,kontinent
continue,pokračovat
control,ovládání
cook,kuchař
cool,v pohodě
copy,kopie
corn,kukuřice
corner,rohová
correct,správné
cost,náklady
cotton,bavlna
could,mohl
count,počítat
country,země
course,kurz
cover,kryt
cow,kráva
crease,zmačkání
create,vytvořit
crop,plodina
cross,kříž
