english,catalan
a,ella
able,capaç
about,sobre
above,per sobre de
act,acte
add,afegir
afraid,por
after,després
again,nou
against,contra
age,edat
ago,fa
agree,acord
air,aire
all,tot
allow,permetre
also,també
always,sempre
am,am
among,entre
an,ocupat
and,i
anger,còlera
animal,animals
answer,resposta
any,qualsevol
appear,apareixerà
apple,poma
are,són
area,zona
arm,braç
arrange,organitzar
arrive,arribar
art,art
as,com
ask,preguntar
at,en
atom,àtom
baby,nadó
back,esquena
bad,dolent
ball,bola
band,banda
bank,banc
bar,bar
base,base
basic,bàsica
bat,bat
be,ser
bear,suportar
beat,batre
beauty,bellesa
bed,llit
been,estat
before,abans
began,començar
begin,començar
behind,darrere
believe,creure
bell,campana
best,millor
better,millor
between,entre
big,gran
bird,ocell
bit,bit
black,negre
block,bloc
blood,sang
blow,cop
blue,blau
board,bord
boat,vaixell
body,cos
bone,os
book,llibre
born,born
both,tant
bottom,inferior
bought,comprat
box,quadre
boy,nen
branch,branca
bread,pa
break,ruptura
bright,brillant
bring,portar
broad,ampli
broke,trencar
brother,germà
brought,portat
brown,brown
build,construir
burn,cremar
busy,ocupat
but,però
buy,comprar
by,per
call,anomenada
came,vi
camp,campament
can,pot
capital,de capital
captain,capità
car,cotxe
card,targeta
care,cura
carry,portar
case,cas
cat,cat
catch,captures
caught,capturat
cause,causa
cell,cel · lular
cent,cent
center,centre
century,segle
certain,certa
chair,cadira
chance,oportunitat
change,canvi
character,caràcter
charge,cobrar
chart,taula
check,comprovar
chick,chick
chief,cap
child,nen
children,nens
choose,triar
chord,acord
circle,cercle
city,ciutat
claim,reclamació
class,classe
clean,neta
clear,clar
climb,ascens
clock,rellotge
close,prop
clothe,vestir
cloud,núvol
coast,costa
coat,abric
cold,fred
collect,recollir
colony,colònia
color,de color
column,columna
come,venir
common,comú
company,empresa
compare,comparar
complete,completa
condition,condició
connect,connectar
consider,considerar
consonant,consonant
contain,contenir
continent,continent
continue,continuar
control,el control
cook,cuiner
cool,fresc
copy,còpia
corn,blat de moro
corner,cantonada
correct,correcta
cost,cost
cotton,cotó
could,podia
count,comptar
country,país
course,curs
cover,coberta
cow,vaca
crease,plec
create,crear
crop,de cultius
cross,creuar
crowd,multitud
cry,crit
current,actual
cut,tall
dad,pare
dance,dansa
danger,perill
dark,fosc
day,dia
dead,morts
deal,acord
dear,estimada
death,mort
decide,decidir
decimal,decimal
deep,profunda
degree,grau
depend,dependrà
describe,descriure
desert,desert
design,disseny
determine,determinar
develop,desenvolupar
dictionary,diccionari
did,va fer
die,morir
differ,diferir
difficult,difícil
direct,directa
discuss,discutir
distant,distant
divide,bretxa
division,divisió
do,fer
doctor,metge
does,fa
dog,gos
dollar,dòlar
done,done
don’t,no
door,porta
double,doble
down,baix
draw,dibuixar
dream,somiar
dress,vestit
drink,beguda
drive,unitat
drop,caure
dry,seca
duck,ànec
during,durant
each,cada
ear,sentit
early,primerenca
earth,terra
ease,alleujar
east,a l’est
eat,menjar
edge,vora
effect,efecte
egg,ou
eight,tipus
either,ja sigui
electric,elèctrica
element,element
else,altres
end,fi
enemy,enemic
energy,energia
engine,motor
enough,suficient
enter,entrar
equal,igual
equate,equiparar
especially,especialment
even,fins i tot
evening,nit
event,esdeveniment
ever,mai
every,cada
exact,exacta
example,exemple
except,excepte
excite,excitar
exercise,exercici
expect,esperar
experience,experiència
experiment,experiment
eye,ull
face,cara
fact,fet
fair,just
fall,caure
family,família
famous,famosa
far,ara
farm,granja
fast,ràpid
fat,greix
father,pare
favor,afavorir
fear,por
feed,feed
feel,sentir
feet,peus
fell,caure
felt,sentit
few,pocs
field,terreny
fig,figa
fight,lluita
figure,figura
fill,omplir
final,definitiva
find,trobar
fine,fina
finger,dit
finish,acabat
fire,foc
first,primer
fish,peixos
fit,encaixar
five,llit
flat,plana
floor,pis
flow,fluir
flower,flor
fly,volar
follow,segueixi
food,aliments
foot,peu
for,per
force,força
forest,bosc
form,forma
forward,endavant
found,trobat
four,saber
fraction,fracció
free,lliure
fresh,fresc
friend,amic
from,des
front,davant
fruit,fruita
full,complet
fun,diversió
game,joc
garden,jardí
gas,gas
gather,reunir
gave,va donar
general,en general
gentle,suau
get,aconseguir
girl,noia
give,donar
glad,content
glass,vidre
go,anar
gold,or
gone,s’ha anat
good,bona
got,aconseguit
govern,governar
grand,grand
grass,herba
gray,gris
great,gran
green,verd
grew,créixer
ground,sòl
group,grup
grow,créixer
guess,endevinar
guide,guiar
gun,arma
had,tingut
hair,pèl
half,mitjà
hand,mà
happen,succeir
happy,feliç
hard,dur
has,té
hat,barret
have,tenir
