english,vietnamese
a,một
able,thể
about,về
above,trên đây
act,hành động
add,thêm
afraid,sợ
after,sau khi
again,một lần nữa
against,chống lại
age,tuổi
ago,trước
agree,đồng ý
air,không khí
all,tất cả
allow,cho phép
also,cũng
always,luôn luôn
am,là
among,trong
an,một
and,và
anger,tức giận
animal,động vật
answer,câu trả lời
any,bất kỳ
appear,xuất hiện
apple,táo
are,là
area,khu vực
arm,cánh tay
arrange,sắp xếp
arrive,đến
art,nghệ thuật
as,như
ask,xin
at,tại
atom,nguyên tử
baby,bé
back,trở lại
bad,xấu
ball,bóng
band,ban nhạc
bank,ngân hàng
bar,thanh
base,cơ sở
basic,cơ bản
bat,bat
be,được
bear,chịu
beat,đánh bại
beauty,vẻ đẹp
bed,giường
been,được
before,trước
began,bắt đầu
begin,bắt đầu
behind,sau
believe,tin
bell,chuông
best,tốt nhất
better,tốt hơn
between,giữa
big,lớn
bird,chim
bit,bit
black,đen
block,khối
blood,máu
blow,đòn
blue,màu xanh
board,hội đồng quản trị
boat,thuyền
body,cơ thể
bone,xương
book,cuốn sách
born,sinh
both,cả hai
bottom,dưới
bought,mua
box,hộp
boy,cậu bé
branch,chi nhánh
bread,bánh mì
break,nghỉ
bright,sáng
bring,mang lại
broad,rộng
broke,đã phá vỡ
brother,anh trai
brought,mang
brown,nâu
build,xây dựng
burn,ghi
busy,bận rộn
but,nhưng
buy,mua
by,bởi
call,gọi
came,đến
camp,trại
can,có thể
capital,vốn
captain,đội trưởng
car,xe
card,thẻ
care,chăm sóc
carry,thực hiện
case,khi
cat,mèo
catch,bắt
caught,bắt
cause,nguyên nhân
cell,pin
cent,phần trăm
center,trung tâm
century,thế kỷ
certain,nhất định
chair,ghế
chance,cơ hội
change,thay đổi
character,nhân vật
charge,phí
chart,biểu đồ
check,kiểm tra
chick,gà
chief,trưởng
child,con
children,trẻ em
choose,chọn
chord,hợp âm
circle,vòng tròn
city,thành phố
claim,xin
class,lớp
clean,sạch
clear,trong
climb,lên cao
clock,đồng hồ
close,gần
clothe,mặc
cloud,điện toán đám mây
coast,bờ biển
coat,áo
cold,lạnh
collect,thu thập
colony,thuộc địa
color,màu
column,cột
come,đến
common,phổ biến
company,công ty
compare,so sánh
complete,hoàn thành
condition,điều kiện
connect,kết nối
consider,xem xét
consonant,phụ âm
contain,chứa
continent,lục
continue,tiếp tục
control,kiểm soát
cook,nấu ăn
cool,mát mẻ
copy,bản sao
corn,ngô
corner,góc
correct,chính xác
cost,chi phí
cotton,bông
could,có thể
count,tính
country,nước
course,tất nhiên
cover,bìa
cow,bò
crease,nếp
create,tạo
crop,cây trồng
cross,qua
crowd,đám đông
cry,kêu
current,hiện tại
cut,cắt
dad,cha
dance,khiêu vũ
danger,nguy hiểm
dark,tối
day,ngày
dead,chết
deal,thỏa thuận
dear,thân yêu
death,chết
decide,quyết định
decimal,số thập phân
deep,sâu
degree,mức độ
depend,phụ thuộc
describe,mô tả
desert,sa mạc
design,thiết kế
determine,xác định
develop,phát triển
dictionary,từ điển
did,đã làm
die,chết
differ,khác nhau
difficult,khó khăn
direct,trực tiếp
discuss,thảo luận
distant,xa
divide,chia
division,phân chia
do,làm
doctor,bác sĩ
does,không
dog,con chó
dollar,đồng đô la
done,xong
don’t,không
door,cửa
double,đôi
down,xuống
draw,vẽ
dream,mơ
dress,váy
drink,ly
drive,ổ đĩa
drop,rơi
dry,khô
duck,vịt
during,trong khi
each,môi
ear,tai
early,đầu
earth,đất
ease,giảm bớt
east,đông
eat,ăn
edge,cạnh
effect,hiệu lực
egg,trứng
eight,tám
either,hoặc
electric,điện
element,yếu tố
else,khác
end,cuối
enemy,kẻ thù
energy,năng lượng
engine,động cơ
enough,đủ
enter,nhập
equal,như nhau
equate,đánh đồng
especially,đặc biệt là
even,thậm chí
evening,buổi tối
event,sự kiện
ever,bao giờ
every,mỗi
exact,chính xác
example,ví dụ
except,trừ
excite,kích thích
exercise,tập thể dục
expect,mong đợi
experience,kinh nghiệm
experiment,thí nghiệm
eye,mắt
face,khuôn mặt
fact,thực tế
fair,công bằng
fall,giảm
family,gia đình
famous,nổi tiếng
far,đến nay
farm,trang trại
fast,nhanh chóng
fat,chất béo
father,cha
favor,ủng hộ
fear,sợ hãi
feed,thức ăn chăn nuôi
feel,cảm thấy
feet,chân
fell,giảm
felt,cảm thấy
few,số
field,lĩnh vực
fig,sung
fight,cuộc chiến
figure,con số
fill,điền
final,thức
find,tìm
fine,tốt
finger,ngón tay
finish,kết thúc
fire,lửa
first,đầu tiên
fish,cá
fit,phù hợp với
five,năm
flat,phẳng
floor,sàn
flow,chảy
flower,hoa
fly,bay
follow,theo
food,thực phẩm
foot,chân
for,cho
force,lực
forest,rừng
form,hình thức
forward,về phía trước
found,tìm thấy
four,bốn
fraction,phần
free,miễn phí
fresh,tươi
friend,người bạn
from,từ
front,trước
fruit,trái cây
full,đầy đủ
fun,vui vẻ
game,trò chơi
garden,vườn
gas,khí
gather,thu thập
gave,đã
general,chung
gentle,nhẹ nhàng
get,được
girl,cô gái
give,cung cấp cho
glad,vui
glass,kính
go,đi
gold,vàng
gone,ra đi
good,tốt
got,có
govern,phối
grand,lớn
grass,cỏ
gray,màu xám
great,tuyệt vời
green,màu xanh lá cây
grew,tăng
ground,mặt đất
group,nhóm
grow,phát triển
guess,đoán
guide,hướng dẫn
gun,súng
had,có
hair,lông
half,một nửa
hand,tay
happen,xảy ra
happy,hạnh phúc
hard,cứng
has,có
hat,mũ
have,có
he,ông
head,đầu
hear,nghe
heard,nghe
heart,tim
heat,nhiệt
heavy,nặng
held,được tổ chức
help,giúp
her,cô
here,ở đây
high,cao
hill,đồi
him,anh
his,mình
history,lịch sử
hit,nhấn
hold,giư
hole,lỗ
home,nhà
hope,hy vọng
horse,ngựa
hot,nóng
hour,giờ
house,nhà
how,như thế nào
huge,to
human,con người
hundred,trăm
hunt,săn
hurry,nhanh
i,tôi
ice,băng
idea,ý tưởng
if,nếu
imagine,tưởng tượng
in,trong
inch,inch
include,bao gồm
indicate,chỉ ra
industry,ngành công nghiệp
insect,côn trùng
instant,ngay lập tức
instrument,cụ
interest,quan tâm
invent,phát minh
iron,sắt
is,là
island,đảo
it,nó
job,công việc
join,tham gia
joy,niềm vui
jump,nhảy
just,chỉ
keep,giữ
kept,giữ
key,chính
kill,giết
kind,loại
king,vua
knew,biết
know,biết
lady,phụ nữ
lake,hồ
land,đất
language,ngôn ngữ
large,lớn
last,cuối cùng
late,cuối
laugh,cười
law,pháp luật
lay,đặt
lead,dẫn
learn,học
least,nhất
leave,lại
led,dẫn
left,còn lại
leg,chân
length,chiều dài
less,ít
let,cho phép
letter,thư
level,mức
lie,lời nói dối
life,cuộc sống
lift,thang máy
light,ánh sáng
like,như
line,dòng
liquid,chất lỏng
list,danh sách
listen,lắng nghe
little,ít
live,sống
locate,xác định vị trí
log,đăng nhập
lone,đơn độc
long,lâu
look,xem
lost,thua
lot,rất nhiều
loud,lớn
love,tình yêu
low,thấp
machine,máy
made,thực hiện
magnet,nam châm
main,chính
major,chính
make,làm
man,người đàn ông
many,nhiều
map,bản đồ
mark,đánh dấu
market,thị trường
mass,khối lượng
master,chủ
match,trận đấu
material,tài liệu
matter,vấn đề
may,có thể
me,tôi
mean,có nghĩa là
meant,có nghĩa là
measure,đo lường
meat,thịt
meet,đáp ứng
melody,giai điệu
men,người đàn ông
metal,kim loại
method,phương pháp
middle,trung
might,might
mile,dặm
milk,sưa
million,triệu
mind,tâm
mine,tôi
minute,phút
miss,bỏ lỡ
mix,trộn
modern,hiện đại
molecule,phân tử
moment,thời điểm
money,tiền
month,tháng
moon,mặt trăng
more,hơn
morning,buổi sáng
most,nhất
mother,mẹ
motion,chuyển động
mount,mount
mountain,núi
mouth,miệng
move,di chuyển
much,nhiều
multiply,nhân
music,nhạc
must,phải
my,của tôi
name,tên
nation,quốc gia
natural,tự nhiên
nature,thiên nhiên
near,gần
necessary,cần thiết
neck,cổ
need,cần
neighbor,hàng xóm
never,không bao giờ
new,mới
next,tiếp theo
night,đêm
nine,chín
no,không có
noise,tiếng ồn
noon,trưa
nor,cũng không
north,phía bắc
nose,mui
note,ghi
nothing,không có gì
notice,thông báo
noun,danh từ
now,bây giờ
number,số
numeral,chữ số
object,đối tượng
observe,quan sát
occur,xảy ra
ocean,đại dương
of,của
off,tắt
offer,phục vụ
office,văn phòng
often,thường
oh,oh
oil,dầu
old,cũ
on,trên
once,một lần
one,một
only,chỉ
open,mở
operate,hoạt động
opposite,ngược lại
or,hoặc
order,để
organ,cơ quan
original,ban đầu
other,khác
our,của chúng tôi
out,ra
over,hơn
own,riêng
oxygen,oxy
page,trang
paint,sơn
pair,đôi
paper,giấy
paragraph,đoạn
parent,mẹ
part,một phần
particular,riêng
party,bên
pass,vượt qua
past,qua
path,con đường
pattern,mô hình
pay,trả
people,nhân dân
perhaps,có lẽ
period,thời gian
person,người
phrase,cụm từ
pick,chọn
picture,hình ảnh
piece,mảnh
pitch,sân
place,nơi
plain,đồng bằng
plan,kế hoạch
plane,máy bay
planet,hành tinh
plant,nhà máy
play,chơi
please,xin vui lòng
plural,số nhiều
poem,bài thơ
point,điểm
poor,người nghèo
populate,cư
port,cổng
pose,đặt ra
position,vị trí
possible,có thể
post,bài
pound,bảng
power,điện
practice,thực hành
prepare,chuẩn bị
present,hiện nay
press,báo chí
pretty,khá
print,in
probable,có thể xảy ra
problem,vấn đề
process,quá trình
produce,sản xuất
product,sản phẩm
proper,thích hợp
property,tài sản
protect,bảo vệ
prove,chứng minh
provide,cho
pull,kéo
push,đẩy
put,đặt
quart,lít
question,câu hỏi
quick,nhanh chóng
quiet,yên tĩnh
quite,khá
quotient,thương
race,cuộc đua
radio,radio
rail,đường sắt
rain,mưa
raise,nâng cao
ran,ran
range,phạm vi
rather,thay
reach,đạt
read,đọc
ready,sẵn sàng
real,thực
reason,lý do
receive,nhận
record,ghi
red,màu đỏ
region,khu
remember,nhớ
repeat,lặp lại
reply,trả lời
represent,đại diện
require,yêu cầu
rest,phần còn lại
result,kết quả
rich,giàu
ride,đi xe
right,ngay
ring,vòng
rise,tăng
river,sông
road,đường
rock,đá
roll,cuộn
room,phòng
root,gốc
rope,dây
rose,tăng
round,chung quanh
row,hàng
rub,chà
rule,quy tắc
run,chạy
safe,an toàn
said,nói
sail,buồm
salt,muối
same,như nhau
sand,cát
sat,ngồi
save,lưu
saw,cưa
say,nói
scale,quy mô
school,trường
science,khoa học
score,điểm
sea,biển
search,tìm kiếm
season,mùa
seat,ghế
second,thứ hai
section,phần
see,thấy
seed,hạt giống
seem,dường như
segment,phân khúc
select,chọn
self,tự
sell,bán
send,gửi
sense,ý nghĩa
sent,gửi
sentence,câu
separate,riêng biệt
serve,phục vụ
set,bộ
settle,giải quyết
seven,bảy
several,nhiều
shall,có trách nhiệm
shape,hình dạng
share,chia sẻ
sharp,sắc nét
she,cô
sheet,tờ
shell,vỏ
shine,tỏa sáng
ship,tàu
shoe,giày
shop,cửa hàng
shore,bờ
short,ngắn
should,nên
shoulder,vai
shout,hét lên
show,chương trình
side,bên
sight,cảnh
sign,dấu hiệu
silent,im lặng
silver,bạc
similar,tương tự
simple,đơn giản
since,từ
sing,hát
single,đơn
sister,em gái
sit,ngồi
six,sáu
size,kích thước
skill,kỹ năng
skin,da
sky,bầu trời
slave,nô lệ
sleep,ngủ
slip,trượt
slow,chậm
small,nhỏ
smell,mùi
smile,nụ cười
snow,tuyết
so,để
soft,mềm
soil,đất
soldier,người lính
solution,giải pháp
solve,giải quyết
some,một số
son,con trai
song,bài hát
soon,sớm
sound,âm thanh
south,nam
space,không gian
speak,nói
special,đặc biệt
speech,bài phát biểu
speed,tốc độ
spell,chính tả
spend,chi tiêu
spoke,nói
spot,tại chỗ
spread,lây lan
spring,mùa xuân
square,vuông
stand,đứng
star,sao
start,bắt đầu
state,nhà nước
station,trạm
