english,samoan
a,se
able,mafai
about,e uiga i
above,i luga
act,gaoioiga
add,faʻaopoopo
afraid,fefe
after,ina ua mavae
again,toe
against,faasaga i
age,tausaga
ago,ua mavae
agree,ioe
air,savili
all,uma
allow,faatagaina
also,foʻi
always,pea lava
am,te
among,ma
an,se
and,ma
anger,ita
animal,manu
answer,tali
any,se
appear,foliga mai
apple,apu
are,e
area,eria
arm,lima
arrange,faatulaga
arrive,taunuu
art,faiva
as,e pei
ask,fesili
at,i
atom,atomu
baby,tamameamea
back,tua
bad,leaga
ball,polo
band,au
bank,faletupe
bar,faleʻaiga
base,muli
basic,faavae
bat,peʻa
be,ona
bear,tuuina atu
beat,pa’ō
beauty,matagofie
bed,moega
been,sa
before,aʻo leʻi
began,amata
begin,amata
behind,tua
believe,talitonu
bell,logo
best,sili
better,sili
between,i le va o
big,tele
bird,manu
bit,fāsimea
black,lanu uliuli
block,pupuni
blood,toto
blow,agi
blue,lanu moaga
board,komiti
boat,vaʻa
body,tino
bone,ivi
book,tusi
born,fānau
both,uma e lua
bottom,muli
bought,faatauina
box,pusa
boy,tama
branch,lālā
bread,falaoa
break,mālōlō
bright,pupula
bring,aumai
broad,lautele
broke,malepe
brother,tuagane
brought,aumaia
brown,lanu enaena
build,fau
burn,mū
busy,pisi
but,ae
buy,faʻatau mai
by,i
call,valaʻau
came,mai
camp,togālauapi
can,mafai
capital,laumua
captain,kapeteni
car,taʻavale
card,pepa malō
care,tausiga
carry,ave
case,tulaga
cat,pusi
catch,puʻe
caught,maua
cause,ala
cell,potu
cent,pasene
center,nofoaga autu o
century,senituri
certain,nisi
chair,nofoa
chance,avanoa
change,liuga
character,uiga
charge,tau
chart,siata
check,siaki
chick,chick
chief,pule
child,tamaitiiti
children,fanau
choose,filifili
chord,kotu
circle,liʻo
city,aʻai
claim,āiā
class,vasega
clean,mamā
clear,manino
climb,aʻe
clock,uati
close,lata
clothe,faʻalāvalava
cloud,ao
coast,talafātai
coat,peleue
cold,mālūlū
collect,aoina
colony,kolone
color,lanu
column,pou
come,sau
common,masani
company,kamupani
compare,faʻatusatusa
complete,atoatoa
condition,tulaga
connect,sosoʻo
consider,mafaufau
consonant,kosonata
contain,o loo aofia ai
continent,konitineta
continue,faaauau pea
control,pule
cook,kuka
cool,sekia
copy,ata
corn,sana
corner,tulimanu
correct,saʻo
cost,tau
cotton,vavae
could,mafai ona
count,faitau
country,atunuu
course,ala
cover,ufi
cow,povi
crease,faatoateleina
create,faia
crop,fuata
cross,sātauro
crowd,motu o tagata
cry,alaga
current,i le taimi nei
cut,tipi
dad,papa
dance,siva
danger,tulaga matautia
dark,uliuli
day,aso
dead,oti
deal,faifaiga
dear,pele
death,oti
decide,filifili
decimal,decimal
deep,loloto
degree,tikerī
depend,faʻalagolago
describe,faʻamatala
desert,toafa
design,mamanu
determine,fuafua
develop,atiina ae
dictionary,lolomi fefiloi
did,faia
die,oti
differ,eseese
difficult,faigatā
direct,tonu
discuss,talanoaina
distant,mamao
divide,vavae
division,vāega
do,fai
doctor,fōmaʻi
does,e
dog,maile
dollar,tala
done,faia
don’t,faia le
door,faitotoʻa
double,faʻalua
down,ifo
draw,tusi
dream,miti
dress,ofu
drink,inu
drive,ave
drop,pa’ū
dry,mago
duck,pato
during,aʻo
each,taʻitasi
ear,taliga
early,vave
earth,lalolagi
ease,fīlēmū
east,sase
eat,ai
edge,mata
effect,aafiaga
egg,fua
eight,valu
either,pe
electric,uila
element,tōtōga
else,isi
end,faaiuga
enemy,fili
energy,malosi
engine,afi
enough,lava
enter,ulu
equal,tutusa
equate,faatusaina
especially,aemaise lava
even,e oo lava i
evening,afiafi
event,mea na tupu
ever,lava
every,uma
exact,tonu
example,faataitaiga
except,vagana
excite,faʻagāoioi
exercise,faatinoina
expect,faamoemoe
experience,aafiaga
experiment,tofotofoga
eye,mata
face,mata
fact,mea moni
fair,tonu
fall,pauu
family,aiga
famous,taʻutaʻua
far,mamao
farm,faʻatoʻaga
fast,anapogi
fat,gaʻo
father,tama
favor,lotomalie
fear,fefe
feed,fafaga
feel,lagona
feet,vae
fell,pau
felt,lagona
few,nai
field,laufanua
fig,fiki
fight,tau
figure,fuainumera
fill,faʻatumu
final,mulimuli
find,maua
fine,lelei
finger,tamatamai lima
finish,faʻauma
fire,afi
first,tulaga tasi
fish,iʻa
fit,faʻafetaui
five,lima
flat,fale
floor,fola
flow,tafe
flower,fuga
fly,lele
follow,mulimuli
food,ai
foot,vae
for,mo
force,malosi
forest,vao
form,faiga
forward,i luma
found,maua
four,fa
fraction,vaega
free,saʻoloto
fresh,fou
friend,uō
from,mai
front,o luma
fruit,fua
full,tumu
fun,fiafia
game,taaloga
garden,faatoaga
gas,kasa
gather,aofaga
gave,tuuina
general,lautele
gentle,malū
get,aumai
girl,teine
give,aumai
glad,fiafia
glass,tioata
go,alu
gold,auro
gone,mavae
good,lelei
got,taunuu
govern,pulea
grand,sili
grass,mutia
gray,lanu efuefu
great,matagofie
green,lanu meamata
grew,tuputupu
ground,eleʻele
group,vasega
grow,tupu
guess,mate
guide,taʻitaʻi
gun,fana
had,sa
hair,lauulu
half,afa
hand,lima
happen,tupu
happy,fiafia
hard,faigatā
has,ua
hat,pūlou
have,iai
he,ia
head,ulu
hear,faʻalogo
heard,faalogo
heart,fatu
heat,vevela
heavy,mamafa
held,uu i le lima
help,fesoasoani
her,lana
here,iinei
high,maualuga
hill,mauga
him,ia
his,lana
history,talafaasolopito
hit,tā
