english,irish
a,a
able,ann
about,faoi
above,thuas
act,gníomh
add,cuir
afraid,eagla
after,tar éis
again,arís
against,i gcoinne
age,aois
ago,ó shin
agree,aontaíonn
air,aer
all,go léir
allow,ar chumas
also,freisin
always,i gcónaí
am,rn
among,i measc
an,ar
and,agus
anger,fearg
animal,ainmhithe
answer,freagra
any,aon
appear,le feiceáil
apple,úll
are,tá
area,limistéar
arm,lámh
arrange,socrú a
arrive,teacht
art,ealaín
as,mar
ask,a iarraidh
at,ag
atom,adamh
baby,leanbh
back,ar ais
bad,dona
ball,liathróid
band,banna
bank,banc
bar,barra
base,bonn
basic,bunúsach
bat,bat
be,bheith
bear,iompróidh
beat,buille
beauty,áilleacht
bed,leaba
been,curtha
before,roimh
began,thosaigh
begin,tús a chur
behind,taobh thiar
believe,creidim
bell,clog
best,fearr
better,níos fearr
between,idir
big,mór
bird,éan
bit,giotán
black,dubh
block,bloc
blood,fuil
blow,buille
blue,gorm
board,bord
boat,bád
body,comhlacht
bone,cnámh
book,leabhar
born,rugadh
both,dá
bottom,bun
bought,cheannaigh
box,bosca
boy,buachaill
branch,brainse
bread,arán
break,sos
bright,geal
bring,thabhairt
broad,leathan
broke,bhris
brother,deartháir
brought,thug
brown,donn
build,a thógáil
burn,sruthán
busy,gnóthach
but,ach
buy,cheannach
by,ag
call,glao
came,tháinig
camp,campa
can,is féidir
capital,caipitil
captain,captaen
car,carr
card,cárta
care,cúram
carry,iompar
case,cás
cat,cat
catch,ghabháil
caught,ghabh
cause,faoi deara
cell,cill
cent,cent
center,ionad
century,haois
certain,áirithe
chair,cathaoir
chance,seans
change,athraithe
character,charachtar
charge,muirear
chart,chairt
check,seiceáil
chick,chick
chief,príomhfheidhmeannach
child,leanbh
children,leanaí
choose,roghnaigh
chord,corda
circle,ciorcal
city,cathair
claim,éileamh
class,rang
clean,glan
clear,soiléir
climb,tóg
clock,clog
close,gar
clothe,clothe
cloud,scamall
coast,chósta
coat,cóta
cold,fuar
collect,bhailiú
colony,coilíneacht
color,dath
column,colún
come,teacht
common,coitianta
company,cuideachta
compare,a chur i gcomparáid
complete,críochnaithe
condition,coinníoll
connect,ceangal
consider,a mheas
consonant,consan
contain,go bhfuil
continent,mór-roinn
continue,leanúint ar aghaidh
control,rialú
cook,cócaireacht
cool,fionnuar
copy,cóip
corn,arbhar
corner,cúinne
correct,ceart
cost,costas
cotton,cadás
could,d’fhéadfadh
count,comhaireamh
country,tír
course,cúrsa
cover,chlúdach
cow,bó
crease,crease
create,chruthú
crop,barr
cross,tras
crowd,slua
cry,caoin
current,atá ann faoi láthair
cut,gearrtha
dad,daidí
dance,rince
danger,contúirt
dark,dorcha
day,lá
dead,marbh
deal,déileáil
dear,daor
death,bás
decide,cinneadh a dhéanamh
decimal,dheachúlach
deep,domhain
degree,céim
