english,nepali
a,एक
able,सक्षम
about,बारेमा
above,माथि
act,काम
add,जोड
afraid,डर
after,पछि
again,फेरि
against,विरुद्ध
age,उमेर
ago,पहिले
agree,सहमत
air,हावा
all,सबै
allow,अनुमति
also,पनि
always,सधैं
am,छु
among,बीचमा
an,एक
and,र
anger,रिस
animal,पशु
answer,जवाफ
any,कुनै पनि
appear,देखा
apple,स्याउ
are,हो
area,क्षेत्र
arm,हात
arrange,व्यवस्था
arrive,आइपुग्छन्
art,कला
as,रूप
ask,सोध्न
at,मा
atom,अणु
baby,बच्चा
back,फिर्ता
bad,खराब
ball,बल
band,दल
bank,बैंक
bar,बार
base,आधार
basic,आधारभूत
bat,bat
be,हुन
bear,फलाउन
beat,पिटे
beauty,सौन्दर्य
bed,ओछ्यानमा
been,भएको
before,अघि
began,सुरु
begin,सुरु
behind,पछि
believe,विश्वास
bell,घन्टी
best,सबै भन्दा राम्रो
better,राम्रो
between,बीच
big,ठूलो
bird,चरा
bit,बिट
black,कालो
block,ब्लक
blood,रगत
blow,झटका
blue,नीलो
board,बोर्ड
boat,डुङ्गा
body,निकाय
bone,हड्डी
book,पुस्तक
born,जन्म
both,दुवै
bottom,तल
bought,किनेको
box,बक्स
boy,केटा
branch,शाखा
bread,रोटी
break,ब्रेक
bright,उज्ज्वल
bring,ल्याउन
broad,व्यापक
broke,भत्केको
brother,भाइ
brought,ल्याए
brown,खैरो
build,निर्माण
burn,बाल्न
busy,व्यस्त
but,तर
buy,किन्न
by,द्वारा
call,कल
came,आयो
camp,शिविरमा
can,गर्न सक्छन्
capital,राजधानी
captain,कप्तान
car,कार
card,कार्ड
care,हेरचाह
carry,पूरा
case,मामला
cat,बिरालो
catch,जालो
caught,समातिए
cause,कारण
cell,सेल
cent,प्रतिशत
center,केन्द्र
century,शताब्दीमा
certain,निश्चित
chair,कुर्सी
chance,मौका
change,परिवर्तन
character,चरित्र
charge,शुल्क
chart,चार्ट
check,जाँच
chick,केटी
chief,प्रमुख
child,बच्चा
children,छोराछोरीको
choose,चयन
chord,तार
circle,सर्कल
city,शहर
claim,दाबी
class,वर्ग
clean,स्वच्छ
clear,स्पष्ट
climb,उकालो
clock,घडी
close,नजिक
clothe,लुगा लगाउनु
cloud,बादल
coast,तट
coat,कोट
cold,चिसो
collect,सङ्कलन
colony,उपनिवेश
color,रङ
column,स्तम्भ
come,आउन
common,सामान्य
company,कम्पनी
compare,तुलना गर्नुहोस्
complete,पूर्ण
condition,अवस्था
connect,जडान
consider,विचार
consonant,व्यञ्जनवर्ण
contain,समावेश
continent,महादेशमा
continue,जारी
control,नियन्त्रण
cook,कुक
cool,सुन्दर
copy,प्रतिलिपि
corn,मकै
corner,कुना
correct,सही
cost,लागत
cotton,कपास
could,सकेजति
count,गणना
country,देश
course,पाठ्यक्रम
cover,आवरण
cow,गाई
crease,क्रीज
create,सिर्जना
crop,बाली
cross,पार
crowd,भीड
cry,पुकारा
current,वर्तमान
cut,कटौती
dad,पिताजी
dance,नृत्य
danger,खतरा
dark,अन्धकार
day,दिन
dead,मृत्यु
deal,सम्झौता
dear,प्रिय
death,मृत्यु
decide,निर्णय
decimal,दशमलव
deep,गहिरो
degree,तह
depend,निर्भर
describe,वर्णन
desert,मरुभूमि
design,डिजाइन
determine,निर्धारित
develop,विकास
dictionary,शब्दकोश
did,गरे
die,मर्न
differ,फरक
difficult,कठिन
direct,प्रत्यक्ष
discuss,छलफल
distant,टाढा
divide,विभाजित
division,विभाजन
do,के
doctor,डाक्टर
does,गर्छ
dog,कुकुर
dollar,डलर
done,डन
don’t,के छैन
door,ढोका
double,डबल
down,तल
draw,नजिक
dream,सपना
dress,पहिरन
drink,पिउने पानी
drive,ड्राइव
drop,ड्रप
dry,सुक्खा
duck,धुनमा
during,समयमा
each,प्रत्येक
ear,कान
early,प्रारम्भिक
earth,पृथ्वीमा
ease,कम
east,पूर्व
eat,खान
edge,किनारा
effect,प्रभाव
egg,अण्डा
eight,आठ
either,या त
electric,बिजुली
element,तत्व
else,अरू
end,अन्त
