english,german
a,ein
able,fähig
about,über
above,oben
act,akt
add,hinzufügen
afraid,ängstlich
after,nach
again,wieder
against,gegen
age,alter
ago,vor
agree,zustimmen
air,luft
all,alle
allow,erlauben
also,auch
always,immer
am,uhr
among,unter
an,ein
and,und
anger,zorn
animal,tier
answer,antwort
any,jeder
appear,erscheinen
apple,apfel
are,sind
area,bereich
arm,arm
arrange,arrangieren
arrive,ankommen
art,kunst
as,wie
ask,fragen
at,bei
atom,atom
baby,kind
back,zurück
bad,schlecht
ball,kugel
band,band
bank,bank
bar,leiste
base,basis
basic,basis
bat,fledermaus
be,sein
bear,tragen
beat,schlagen
beauty,schönheit
bed,bett
been,gewesen
before,vor
began,begann
begin,start
behind,hinter
believe,glauben
bell,glocke
best,beste
better,besser
between,zwischen
big,groß
bird,vogel
bit,bit
black,schwarz
block,block
blood,blut
blow,schlag
blue,blau
board,board
boat,boot
body,körper
bone,knochen
book,buch
born,geboren
both,beide
bottom,boden
bought,gekauft
box,kasten
boy,junge
branch,zweig
bread,brot
break,pause
bright,hell
bring,bringen
broad,breit
broke,pleite
brother,bruder
brought,gebracht
brown,braun
build,bauen
burn,brennen
busy,beschäftigt
but,aber
buy,kaufen
by,durch
call,anruf
came,kam
camp,lager
can,können
capital,hauptstadt
captain,kapitän
car,auto
card,karte
care,pflege
carry,tragen
case,fall
cat,katze
catch,fang
caught,gefangen
cause,ursache
cell,zelle
cent,cent
center,zentrum
century,jahrhundert
certain,sicher
chair,stuhl
chance,chance
change,veränderung
character,charakter
charge,aufladen
chart,tabelle
check,überprüfen
chick,küken
chief,chef
child,kind
children,kinder
choose,wählen
chord,akkord
circle,kreis
city,stadt
claim,anspruch
class,klasse
clean,sauber
clear,klar
climb,aufstieg
clock,uhr
close,schließen
clothe,kleiden
cloud,wolke
coast,küste
coat,mantel
cold,kälte
collect,sammeln
colony,kolonie
color,farbe
column,spalte
come,kommen
common,gemeinsam
company,firma
compare,vergleichen
complete,vollständig
condition,zustand
connect,verbinden
consider,betrachten
consonant,konsonant
contain,enthalten
continent,kontinent
continue,fortsetzen
control,kontrolle
cook,koch
cool,kühlen
copy,kopie
corn,mais
corner,ecke
correct,richtig
cost,kosten
cotton,baumwolle
could,könnte
count,zählen
country,land
course,kurs
cover,abdeckung
cow,kuh
crease,falte
create,schaffen
crop,ernte
cross,überqueren
crowd,menge
cry,schrei
current,strom
cut,schnitt
dad,papa
dance,tanz
danger,achtung
dark,dunkel
day,tag
dead,tot
deal,viel
dear,liebe
death,tod
decide,entscheiden
decimal,dezimal
deep,tief
degree,grad
depend,abhängen
describe,beschreiben
desert,wüste
design,entwurf
determine,bestimmen
develop,entwickeln
dictionary,wörterbuch
did,tat
die,sterben
differ,abweichen
difficult,schwierig
direct,direkt
discuss,diskutieren
distant,entfernt
divide,kluft
division,teilung
do,tun
doctor,arzt
does,tut
dog,hund
dollar,dollar
done,getan
don’t,unterlassen sie
door,tür
double,doppelt
down,nach unten
draw,ziehen
dream,träumen
dress,kleid
drink,getränk
drive,antriebs
drop,fallen
dry,trocken
duck,ente
during,während
each,jeder
ear,ohr
early,früh
earth,erde
ease,erleichtern
east,osten
eat,essen
edge,rand
effect,wirkung
egg,ei
eight,acht
either,entweder
electric,elektrisch
element,elementes
else,sonst
end,ende
enemy,feind
energy,energie
engine,motor
enough,genug
enter,eingeben
equal,gleich
equate,gleichsetzen
especially,insbesondere
even,auch
evening,abend
event,veranstaltung
ever,je
every,jeder
exact,genau
example,beispiel
except,außer
excite,begeistern
exercise,übung
expect,erwarten
experience,erfahrung
experiment,versuch
eye,auge
face,gesicht
fact,tatsache
fair,messe
fall,fallen
family,familie
famous,berühmt
far,weit
farm,bauernhof
fast,schnell
fat,fett
father,vater
favor,begünstigen
fear,angst
feed,futtermittel
feel,fühlen
feet,füße
fell,fiel
felt,filz
few,wenige
field,feld
fig,feige
fight,kampf
figure,abbildung
fill,füllen
final,finale
find,finden
fine,fein
finger,finger
finish,finish
fire,feuer
first,erste
fish,fisch
fit,passen
five,fünf
flat,wohnung
floor,boden
flow,fließen
flower,blume
fly,fliegen
follow,folgen
food,lebensmittel
foot,fuß
for,für
force,kraft
forest,wald
form,formular
forward,vorwärts
found,gefunden
four,vier
fraction,fraktion
free,kostenlos
fresh,frisch
friend,freund
from,aus
front,front
fruit,obst
full,voll
fun,spaß
game,spiel
garden,garten
gas,gases
gather,sammeln
gave,gab
general,allgemein
gentle,sanft
get,erhalten
girl,mädchen
give,geben
glad,froh
glass,glas
go,gehen
gold,goldenen
gone,vorbei
good,gut
got,bekam
govern,regieren
grand,groß
grass,gras
gray,grau
great,groß
green,grün
grew,wuchs
ground,boden
group,gruppe
grow,wachsen
guess,erraten
guide,führen
gun,pistole
had,hatte
hair,haar
half,hälfte
hand,seits
happen,passieren
happy,glücklich
hard,schwer
has,hat
hat,hut
have,haben
he,er
head,kopf
hear,hören
heard,gehört
heart,herz
heat,wärme
heavy,schwer
held,hand
help,hilfe
her,sie
here,hier
high,hoch
hill,hügel
him,ihm
his,seine
history,geschichte
hit,treffen
hold,halten
hole,loch
home,zuhause
hope,hoffen
horse,pferd
hot,heiß
hour,stunde
house,haus
how,wie
huge,riesig
human,mensch
hundred,hundert
hunt,jagd
hurry,eile
i,ich
ice,eis
idea,idee
if,wenn
imagine,vorstellen
in,bei
inch,zoll
include,umfassen
indicate,zeigen
industry,industrie
insect,insekt
instant,augenblick
instrument,instrument
interest,interesse
invent,erfinden
iron,eisen
is,ist
island,insel
it,es
job,arbeit
join,beitreten
joy,freude
jump,springen
just,nur
keep,halten
kept,gehalten
key,schlüssel
kill,töten
kind,art
king,könig
knew,wusste
know,wissen
lady,dame
lake,see
land,lande
language,sprache
large,groß
last,letzte
late,spät
laugh,lachen
law,gesetz
lay,legen
lead,führen
learn,lernen
least,am wenigsten
leave,verlassen
led,geführt
left,links
leg,bein
length,dauer
less,weniger
let,lassen
letter,schreiben
level,ebene
lie,lüge
life,leben
lift,aufzug
light,licht
like,wie
line,linie
liquid,flüssigkeit
list,liste
listen,hören
little,wenig
live,leben
locate,lokalisieren
log,protokollieren
lone,einsam
long,lange
look,suchen
lost,verloren
lot,menge
loud,laut
love,liebe
low,niedrig
machine,maschine
made,gemacht
magnet,magnet
main,haupt-
major,dur
make,machen
man,mann
many,viele
map,karte
mark,marke
market,markt
mass,masse
master,stamm
match,spiel
material,material
matter,materie
may,können
me,mir
mean,bedeuten
meant,gemeint
measure,messen
meat,fleisch
meet,treffen
melody,melodie
men,männer
metal,metall
method,verfahren
middle,mitte
might,macht
mile,meile
milk,milch
million,million
mind,geist
mine,mine
minute,minute
miss,fehl
mix,mischen
