english,esperanto
a,a
able,povis
about,proksimume
above,supre
act,akto
add,aldoni
afraid,timis
after,post
again,denove
against,kontraŭ
age,aĝo
ago,monato
agree,interkonsenti
air,aero
all,ĉiuj
allow,permesi
also,ankaŭ
always,ĉiam
am,estas
among,inter
an,kiel
and,kaj
anger,kolero
animal,besto
answer,respondo
any,ajna
appear,aperi
apple,pomon
are,estas
area,spaco
arm,brako
arrange,aranĝi
arrive,alveni
art,arto
as,kiel
ask,demandu
at,ĉe
atom,atomo
baby,bebo
back,reen
bad,malbona
ball,pilko
band,bando
bank,bordo
bar,trinkejo
base,bazo
basic,baza
bat,vesperto
be,esti
bear,elporti
beat,venki
beauty,beleco
bed,lito
been,estintaj
before,antaŭ
began,komencis
begin,komenci
behind,malantaŭ
believe,kredas
bell,sonorilo
best,bona
better,pli
between,inter
big,granda
bird,birdo
bit,iom
black,nigra
block,bloko
blood,sango
blow,baton
blue,blua
board,surŝipe
boat,kruĉo
body,korpo
bone,osto
book,libro
born,born
both,ambaŭ
bottom,malsupro
bought,aĉetinta
box,skatolo
boy,knabo
branch,branĉo
bread,pano
break,paŭzo
bright,brila
bring,alporti
broad,larĝa
broke,rompis
brother,fraton
brought,alportis
brown,bruna
build,konstrui
burn,bruligi
busy,okupata
but,sed
buy,aĉeti
by,per
call,alvoko
came,venis
camp,tendaro
can,povas
capital,ĉefurbo
captain,kapitano
car,aŭto
card,karton
care,prizorgi
carry,porti
case,okazo
cat,kato
catch,catch
caught,kaptita
cause,kaŭzo
cell,ĉelo
cent,cendo
center,centro
century,jarcento
certain,certaj
chair,seĝo
chance,ŝanco
change,ŝanĝo
character,gravulo
charge,ŝarĝi
chart,grafikaĵo
check,kontroli
chick,ĉik
chief,estro
child,infano
children,infanoj
choose,elekti
chord,chord
circle,rondo
city,urbo
claim,pretendo
class,klaso
clean,purigi
clear,evidenta
climb,grimpo
clock,horloĝo
close,fermi
clothe,vestu
cloud,nubo
coast,marbordo
coat,ŝildo
cold,malvarma
collect,kolekti
colony,kolonio
color,koloro
column,kolono
come,venu
common,komunaj
company,kompanio
compare,kompari
complete,kompleta
condition,kondiĉo
connect,konekti
consider,konsideri
consonant,konsonanto
contain,enhavi
continent,kontinento
continue,daŭrigi
control,kontrolo
cook,kuiristino
cool,malvarmeta
copy,kopio
corn,grajnoj
corner,angulo
correct,ĝusta
cost,kosto
cotton,kotono
could,povis
count,kalkuli
country,lando
course,kompreneble
cover,kovrilo
cow,bovino
crease,crease
create,krei
crop,kropo
cross,transiri
crowd,amaso
cry,krio
current,aktuala
cut,tranĉo
dad,dad
dance,danco
danger,danĝero
dark,mallumo
day,tagon
dead,mortinto
deal,interkonsento
dear,kara
death,morto
decide,decidi
decimal,dekuma
deep,profunda
degree,grado
depend,dependi
describe,priskribi
desert,dezerto
design,dezajno
determine,determini
develop,evoluigi
dictionary,vortaro
did,faris
die,morti
differ,diferenciĝas
difficult,malfacila
direct,rekta
discuss,diskuti
distant,malproksima
divide,dividi
division,divido
do,fari
doctor,kuracisto
does,faras
dog,hundo
dollar,dolaro
done,farita
don’t,ne
door,pordo
double,duobla
down,malsupren
draw,desegni
dream,sonĝi
dress,robo
drink,trinkaĵon
drive,disko
drop,faligi
dry,seka
duck,anaso
during,dum
each,ĉiu
ear,orelo
early,frua
earth,tero
ease,faciligi
east,oriente
eat,manĝi
edge,eĝo
effect,efekto
egg,ovo
eight,ok
either,ĉu
electric,elektra
element,elemento
else,alia
end,fino
enemy,malamiko
energy,energion
engine,motoro
enough,sufiĉa
enter,eniri
equal,egalaj
equate,egaligas
especially,ĉefe
even,eĉ
evening,vespero
event,okazaĵo
ever,iam
every,ĉiu
exact,ĝusta
example,ekzemplo
except,krom
excite,eksciti
exercise,ekzerco
expect,atendi
experience,sperto
experiment,eksperimento
eye,okulo
face,vizaĝo
fact,fakto
fair,bela
fall,fali
family,familio
famous,famaj
far,malproksime
farm,farm
fast,rapida
fat,graso
father,patro
favor,favorus
fear,timo
feed,feed
feel,sentas
feet,piedojn
fell,falis
felt,sentis
few,malmultaj
field,kampo
fig,figo
fight,lukto
figure,cifero
fill,plenigi
final,lasta
find,trovi
fine,fajna
finger,fingro
finish,fini
fire,fajro
first,unua
fish,fiŝo
fit,persvadis
five,kvin
flat,plata
floor,planko
flow,fluas
flower,floro
fly,muŝo
follow,sekvi
food,nutraĵo
foot,piedo
for,por
force,forto
forest,arbaro
form,formo
forward,antaŭen
found,trovita
four,kvar
fraction,frakcio
free,senpaga
fresh,freŝa
friend,amiko
from,el
front,antaŭa
fruit,fruktoj
full,plena
fun,amuza
game,ludo
garden,ĝardeno
gas,gaso
gather,kolekti
gave,donis
general,ĝenerale
gentle,afabla
get,akiri
girl,knabino
give,doni
glad,ĝojas
glass,vitro
go,iri
gold,oro
gone,iritaj
good,bonaj
got,akiris
govern,regi
grand,grandioza
grass,herbo
gray,grizaj
great,granda
green,verda
grew,kreskis
ground,tero
group,grupo
grow,kreski
guess,divenu
guide,gvidi
gun,pafilo
had,havis
hair,haroj
half,duono
hand,manoj
happen,okazi
happy,feliĉa
hard,malfacila
has,havas
hat,ĉapelo
have,havos
he,li
head,kapo
hear,aŭdi
heard,aŭdis
heart,koro
heat,varmo
heavy,peza
held,tenis
help,helpi
her,ŝia
here,tien
high,alta
hill,monto
him,li
his,sian
history,historio
hit,batita
hold,teni
hole,truo
home,hejmo
hope,atendi
horse,ĉevalo
hot,varmega
hour,horo
house,domo
how,kiom
huge,grandega
human,homa
hundred,cent
hunt,ĉasi
hurry,rapidi
i,mi
ice,glacio
idea,ideon
if,se
imagine,imagu
in,en
inch,colo
include,inkluzivi
indicate,indiki
industry,industrio
insect,insekto
instant,momenteto
instrument,instrumento
interest,intereson
invent,elpensi
iron,fero
is,estas
island,insulo
it,ĝi
job,laboro
join,aliĝi
joy,ĝojo
jump,salti
just,simple
keep,konservi
kept,konservis
key,ŝlosilo
kill,mortigi
kind,afabla
king,reĝo
knew,sciis
know,scias
lady,lady
lake,lago
land,lando
language,lingvo
large,granda
last,lasta
late,malfrue
laugh,ridon
law,leĝo
lay,kuŝis
lead,konduki
learn,lerni
least,almenaŭ
leave,forlasi
led,kondukis
left,maldekstra
leg,kruro
length,longo
less,malpli
let,lasu
letter,letero
level,nivelo
lie,mensogo
life,vivo
lift,telfero
light,malpeza
like,kiel
line,linio
liquid,likva
list,lerta
listen,aŭskulti
little,iom
live,vivi
locate,lokalizi
log,ensaluti
lone,lone
long,longajn
look,rigardi
lost,perdita
lot,multa
loud,laŭta
love,love
low,malalta
machine,maŝino
made,faris
magnet,magneto
main,ĉefa
major,granda
make,fari
man,viro
many,multaj
map,mapo
mark,markon
market,merkato
mass,maso
master,majstro
match,match
material,materialon
matter,afero
may,may
me,min
mean,signifus
meant,signifis
measure,mezuri
meat,viando
meet,kunvenas
melody,melodio
men,viroj
metal,metalo
method,metodo
middle,mezo
might,potenco
mile,mejlo
milk,lakto
million,miliono
mind,menso
mine,miaj
minute,minuto
miss,miss
mix,miksi
modern,modernaj
molecule,molekulo
moment,momenton
money,monon
month,monato
moon,luno
more,pli
morning,mateno
most,plej
mother,patrino
motion,movado
mount,monto
mountain,monto
mouth,buŝo
move,movado
much,multa
multiply,multipliki
music,muziko
must,devas
my,mian
name,nomo
nation,nacio
natural,natura
nature,naturo
near,proksime
necessary,necesajn
neck,kolo
need,bezonas
neighbor,proksimulo
never,neniam
new,nova
next,sekva
night,nokto
nine,naŭ
no,neniu
noise,bruo
noon,tagmezo
nor,nek
north,norde
nose,nazon
note,noto
nothing,nenio
notice,anonco
noun,substantivo
now,nun
number,nombro
numeral,numeralo
object,objekto
observe,observi
occur,okazi
ocean,oceano
of,de
off,ekstere
offer,oferto
office,oficejo
often,ofte
oh,¡oh
oil,petrolo
old,malnova
on,sur
once,unufoje
one,unu
only,nur
open,malfermita
operate,funkcii
opposite,kontraŭa
or,aŭ
order,ordon
organ,organo
original,originala
other,aliaj
our,nian
out,el
over,super
own,propra
oxygen,oksigeno
page,paĝo
paint,pentri
pair,paro
paper,papero
paragraph,paragrafo
parent,gepatro
part,parto
particular,aparta
party,festo
pass,pasi
past,estinteco
path,vojo
pattern,ŝablono
pay,pagi
people,homoj
perhaps,eble
period,periodo
person,persono
phrase,frazon
pick,pick
picture,foton
piece,peco
pitch,tonalto
place,loko
plain,ebenaĵo
plan,plano
plane,ebeno
planet,planedo
plant,planto
play,ludos
please,bonvolu
plural,pluralo
poem,poemo
point,punkto
poor,malriĉa
populate,popoli
port,port
pose,supozi
position,pozicion
possible,ebla
post,posteno
pound,funto
power,potenco
practice,praktiko
prepare,pretigi
present,ĉeestanta
press,gazetaro
pretty,bela
print,print
probable,probabla
problem,problemo
process,procezo
produce,produkti
product,produkto
proper,taŭga
property,propraĵo
protect,protekti
prove,elprovi
provide,provizi
pull,tiri
push,puŝo
put,metita
quart,kvarto
question,demando
quick,rapida
quiet,trankvila
quite,tute
quotient,kvociento
race,raso
radio,radio
rail,fervoja
rain,pluvo
raise,enspezi
ran,kuris
range,ventumilo
rather,anstataŭ
reach,alveni
read,legi
ready,preta
real,reala
reason,kialo
receive,ricevos
record,rekordo
red,ruĝa
region,regiono
remember,memori
repeat,ripeto
reply,respondi
represent,reprezentas
require,postuli
rest,resto
result,rezulto
rich,riĉa
ride,ride
right,dekstra
ring,ringon
rise,supreniri
river,rivero
road,vojo
rock,roko
roll,rulo
room,ĉambro
root,radiko
rope,ŝnuro
rose,leviĝis
round,ronda
row,vico
