english,finnish
a,tehdä
able,pystyy
about,noin
above,edellä
act,säädös
add,lisätä
afraid,peloissaan
after,jälkeen
again,jälleen
against,vastaan
age,ikä
ago,sitten
agree,suostua
air,ilma
all,kaikki
allow,sallia
also,myös
always,aina
am,am
among,keskuudessa
an,pieni
and,ja
anger,viha
animal,eläin
answer,vastaus
any,kaikki
appear,ilmestyä
apple,omena
are,olemme
area,alue
arm,varsi
arrange,järjestää
arrive,saapua
art,taide
as,kuin
ask,kysyä
at,klo
atom,atomi
baby,vauva
back,takaisin
bad,huono
ball,pallo
band,bändi
bank,pankki
bar,bar
base,pohja
basic,perus
bat,lepakko
be,olla
bear,bear
beat,voittaa
beauty,kauneus
bed,sängyssä
been,ollut
before,ennen
began,alkoi
begin,alkaa
behind,takana
believe,uskoa
bell,soittokello
best,paras
better,parempi
between,välillä
big,iso
bird,lintu
bit,bitti
black,musta
block,lohko
blood,veri
blow,puhallus
blue,sininen
board,lauta
boat,veneen
body,elin
bone,luu
book,kirja
born,born
both,molemmat
bottom,pohja
bought,ostivat
box,laatikko
boy,poika
branch,sivuliike
bread,leipä
break,tauko
bright,kirkas
bring,tuoda
broad,laaja
broke,rikkoi
brother,veli
brought,toi
brown,ruskea
build,rakentaa
burn,polttaa
busy,kiireinen
but,mutta
buy,ostaa
by,mukaan
call,puhelu
came,tuli
camp,leiri
can,voida
capital,pääoma
captain,kapteeni
car,auto
card,kortti
care,hoito
carry,kuljettaa
case,asia
cat,kissa
catch,saalis
caught,kiinni
cause,syy
cell,solu
cent,sentti
center,keskus
century,luvulla
certain,tietty
chair,tuoli
chance,mahdollisuus
change,muutos
character,merkki
charge,veloittaa
chart,kaavio
check,tarkistaa
chick,poikasen
chief,päällikkö
child,lapsi
children,lapset
choose,valita
chord,sointu
circle,ympyrä
city,kaupunki
claim,vaatimus
class,luokka
clean,puhtaita
clear,selkeä
climb,kiivetä
clock,kello
close,lähellä
clothe,vaatettaa
cloud,pilvi
coast,rannikolla
coat,takki
cold,kylmä
collect,kerätä
colony,siirtomaa
color,väri
column,sarake
come,tulevat
common,yhteinen
company,yritys
compare,vertaa
complete,täydellinen
condition,ehto
connect,kytkeä
consider,harkita
consonant,konsonantti
contain,sisältävät
continent,maanosa
continue,jatkaa
control,ohjaus
cook,kokki
cool,viileä
copy,kopio
corn,maissi
corner,kulma
correct,oikea
cost,kustannukset
cotton,puuvilla
could,voisi
count,luottaa
country,maa
course,kurssi
cover,kansi
cow,lehmä
crease,prässi
create,luoda
crop,kasvuston
cross,cross
crowd,väkijoukko
cry,itkeä
current,nykyinen
cut,leikkaus
dad,isä
dance,tanssi
danger,vaara
dark,pimeä
