english,chinese
a,一
a,个
a,個
a,一個
a,一件
a,阿
a,a
a few,几
ability,才能
about,一下
absence,不在
absolutely,绝
accepted,接受
according to,据
after,后
after,以后
after,经
after,後
after,之后
again,再
ago,前
ah,啊
ah,嗯
ai,艾
air,空
all,所有
all right,沒事
already,已
already,已經
also,還
also,也
also,还
and,和
and,与
and,而
and,又
and,而且
and,且
and,并
angstrom,埃
another,另一
anti-,反
any,任何
anyone,任何人
appeal,诉
approximately,约
are,正在
area,区
article,条
ascend,登
ask,问
aspx.,褉
asshole,混蛋
at,于
at least,至少
at night,晚上
attack,攻
austrian,奥
back to,回到
bad,不好
bad,坏
ball,球
band,帶
band,带
base,基
be,是
be,被
be afraid,害怕
be subject,受
bear,结
beat,拍
beautiful,漂亮
because,因
because,因為
become,成
before,之前
beginning,始
believe,相信
bell,钟
between,间
black,黑
blessing,福
block,块
blood,血
bo,伯
bodhisattva,萨
body,身
body,身上
body,体
bomb,弹
book,书
bosom,怀
both,都
both,两
bother,烦
boy,男孩
brain,脑
branch,科
brat,小子
break,断
break,破
brisk walking,快走
britain,英
brother,哥
brother,老兄
brothers,兄弟
buddha,佛
build,建
bundle,束
bureau,局
business,务
busy,忙
but,可是
but,但是
but,却
but,不過
but,但
buy,买
by,靠
by,由
by order of the,承
calendar,历
call,叫
can,会
can,可
can,能不能
can,能
can,可以
can,會
can not,不能
can not afford to,不起
capital,资
car,车
card,卡
catch,抓
catch,抓住
ceremony,礼
certainly,一定
certificate,证
change,改
change,换
change,变
chase,追
cheat,骗
check,查
check,检
child,小孩
child,儿
child,子
children,孩子
china,华
choose,择
city,城
city,市
city,城市
claim,要求
clams,磲
class,类
class,班
clear,清楚
clever,聪
close,闭
close,关
close,合
close,密
cloth,布
clothes,服
clothes,衣服
code,码
coffee,咖啡
cold,冷
collar,领
collectively,统
color,色
come,来
come,來
come,過來
come back,回來
company,公司
complete,完
complete,完成
complex,复
condition,况
continue,续
control,控制
cool,酷
core,芯
count,算
country,国
crab,蟹
crazy,疯
cross,过
cross,過
cross,交
culture,文
cup,杯
dad,爸
damn,媽的
dan,担
danger,危
dare,敢
day,天
day,日
dayton,顿
dead,死
dead,死了
death,死亡
decide,决
degree,度
department,部
di,迪
diarrhea,泻
die,褋
different,不同
difficult,难
dimension,维
discuss,议
division,师
do,吗
do,搞
do,办
do,做
do,嗎
do not,別
do not,别
do not know,不知道
do not like,不喜
do not need to,不需要
do not want to,不想
doctor,博士
dog,狗
doing,在做
done,做了
door,门
drawers,褌
dream,梦
dress,装
drink,喝
drug,药
dry,干
dry,幹
each,每
early,早
east,东
eat,吃
egg,蛋
electricity,电
elephant,象
end,终
enough,够
enter,进
enter,入
entirely,完全
entrust,托
eph.,弗
equally,一樣
equipment,备
etc.,等等
europe,欧
even,甚至
even,连
even,什
everybody,各位
everyone,大家
everyone,所有人
everything,一切
evil,恶
evil,邪
exceed,超
exercise,操
exhausted,尽
explore,探
eye,眼睛
eye,目
eye,眼
face,脸
fall,掉
far,远
fast,快
father,父
father,爸爸
fear,怕
fee,费
feed,喂
feel,觉
feel,覺得
feel,感到
female,女
festival,节
field,场
fight,争
fight,打
find,找到
finger,指
fire,火
first,第一
first,先
first,第一次
fish,鱼
five,五
fixed,定
floor,楼
flower,花
fly,飞
follow,随
foot,脚
for,為
for,替
for,为
force,力
forest,林
forest,森
forever,永
forget,忘
forget,忘了
fortunately,幸
four,四
free,自由
friend,朋友
from,离
from,从
from,自
from,從
from time to,可不
fruit,果
fry,炸
full,满
fundamental,根本
game,赛
gas,气
general,普
get,得
get,得到
get,弄
ghost,鬼
girl,女孩
go,走了
go,走吧
go,去了
go,走
go,去
go back,回去
go on,下去
god,神
god,天啊
god,上帝
gold,金
good,好
