english,sesotho
a,e
able,khona
about,ka
above,ka holimo
act,ketso
add,eketsa
afraid,tšaba
after,ka mor’a hore
again,hape
against,khahlanong le
age,le lilemo li
ago,months ago
agree,lumellana
air,moea
all,tsohle
allow,lumella
also,e boetse e
always,kamehla
am,’na
among,har’a
an,e
and,le
anger,bohale
animal,phoofolo
answer,araba
any,leha e le efe
appear,hlaha
apple,apole
are,ba
area,sebakeng seo
arm,letsoho la
arrange,lokisetsa
arrive,fihla
art,bonono
as,e le
ask,botsa
at,ka
atom,athomo
baby,lesea
back,khutlela
bad,mpe
ball,ball z
band,sehlopha
bank,banka
bar,bareng
base,botlaaseng
basic,tsa motheo tsa
bat,ket
be,ba
bear,beha
beat,otla
beauty,botle
bed,bethe
been,bile
before,pele
began,ile a qala
begin,qala
behind,ka mor’a
believe,lumela
bell,tšepe
best,molemo ka ho fetisisa
better,molemo
between,pakeng tsa
big,khōlō
bird,nonyana
bit,hanyenyane
black,batsho
block,thibela
blood,mali a
blow,letsa
blue,putsoa
board,boto
boat,sekepe
body,mele
bone,bone bone
book,buka
born,hlaha
both,ka bobeli
bottom,tlase
bought,reka
box,lebokose le reng
boy,moshanyana
branch,ea lekala
bread,bohobe
break,khefu
bright,e khanyang
bring,tlisa
broad,sephara
broke,qhetsola
brother,mor’abo rona
brought,tlisa
brown,sootho
build,haha
burn,chesa
busy,phathahane
but,empa
buy,reka
by,ka
call,pitso
came,o ile a tla
camp,kampong
can,ka
capital,motse-moholo
captain,motsamaisi
car,koloi
card,karete ya
care,tlhokomelo ya
carry,phetha
case,joalo
cat,gato
catch,tšoasa
caught,tšoaroa
cause,etsa hore
cell,seleng
cent,phesente
center,setsi
century,lekholong la lilemo la
certain,itseng
chair,setulo
chance,monyetla
change,fetola
character,botho ba
charge,laela ka
chart,chate
check,hlahloba
chick,chick
chief,ka sehloohong
child,ngoana
children,bana ba
choose,khetha
chord,samjun
circle,sedikadikwe
city,citta
claim,kleima
class,sehlopha sa
clean,hloekileng
clear,hlakileng
climb,hloa
clock,oache
close,haufi
clothe,apesa
cloud,leru
coast,lebopong la leoatle
coat,seaparo
cold,batang
collect,bokella
colony,kolone
color,mmala
column,kholomo
come,tla
common,tloaelehileng
company,khampani
compare,bapisa
complete,feletseng
condition,boemo
connect,amahanya
consider,nahana ka
consonant,selumisoa
contain,na le
continent,k’honthinente
continue,tsoela pele
control,laola
cook,laga
cool,pholileng
copy,khopi
corn,poone
corner,sekhutlo
correct,e nepahetseng
cost,litšenyehelo
cotton,k’hothone
could,ka se khonang
count,bala
country,naha
course,nete hore
cover,sekoahelo
cow,khomo
crease,crease
create,bōpa
crop,lijalo
cross,tšela
crowd,bongata bo boholo bo
cry,mohoo
current,hona joale
cut,sehiloeng
dad,ntate
dance,together in
danger,kotsi
dark,lefifi
day,letsatsi
dead,bafu
deal,sebetsana
dear,ratehang
death,lefu
decide,etsa qeto ea
decimal,ditesimale
deep,tebileng
degree,tekanyo e
depend,itšetleha
describe,hlalosa
desert,lehoatateng
design,moralo
determine,hore na
develop,ntshetsa pele
dictionary,szótár
did,ile a etsa
die,shoa
differ,fapana
difficult,ho le thata
direct,ho toba
discuss,buisana
distant,hole-hole
divide,arola
division,karohano
do,etsa
doctor,ngaka
does,etsang
dog,ntja
dollar,ya dollar
done,etsoe
don’t,se ke oa
door,ntlo
double,habeli
down,fatše
draw,atamela
dream,lora
dress,moaparo
drink,seno
drive,ka koloi
drop,tlohele
dry,omileng
duck,letata
during,ka nako ya
each,mong le e mong
ear,tsebe
early,pele
earth,lefatšeng
ease,kokobetsa
east,ka bochabela
eat,ja
edge,bohale
effect,e le hantle
egg,lehe
eight,tse robeli
either,e ka ba
electric,motlakase
element,elements
else,e mong
end,qeta
enemy,sera
energy,matla a
engine,enjene
enough,ho lekane
enter,kena
equal,lekana
equate,equate
especially,haholo-holo
even,esita le
evening,mantsiboea
event,ketsahalo
ever,leha e le neng
every,mong le e mong
exact,tobileng
example,mohlala
except,ntle le
excite,excite
exercise,ho ikoetlisa
expect,lebella
experience,boiphihlelo
experiment,teko
eye,leihlo la
face,sefahleho
fact,ha e le hantle
fair,hlokang leeme
fall,a oa
family,lelapa la
famous,tummeng
far,fihla
farm,polasing
fast,ka tieo
fat,mafura a
father,ntate
favor,mohau
fear,tšaba
feed,fepa ka
