english,albanian
a,një
able,gjendje
about,për
above,sipër
act,akt
add,të shtoni
afraid,i frikësuar
after,pas
again,përsëri
against,kundër
age,mosha
ago,më parë
agree,pajtohem
air,ajrit
all,të gjithë
allow,lejojnë
also,edhe
always,gjithmonë
am,jam
among,në mesin e
an,një
and,dhe
anger,zemërimi
animal,kafshëve
answer,përgjigje
any,ndonjë
appear,duket
apple,mollë
are,janë
area,zonë
arm,krah
arrange,organizoni
arrive,arrijnë
art,art
as,si
ask,kërkoj
at,në
atom,atom
baby,fëmijë
back,mbrapa
bad,keq
ball,top
band,band
bank,banka
bar,bar
base,bazë
basic,themelore
bat,lakuriq nate
be,jetë
bear,mbajnë
beat,rrah
beauty,bukuri
bed,krevat
been,qenë
before,para
began,filloi
begin,të fillojë
behind,prapa
believe,besoj
bell,zile
best,mirë
better,më mirë
between,në mes të
big,i madh
bird,zog
bit,bit
black,e zezë
block,bllok
blood,gjak
blow,goditje
blue,blu
board,bordi
boat,varkë
body,trupi
bone,kockave
book,libri
born,born
both,të dy
bottom,fund
bought,blerë
box,kuti
boy,djalë
branch,degë
bread,bukë
break,pushim
bright,ndritshme
bring,sjellë
broad,gjerë
broke,thyen
brother,vëlla
brought,solli
brown,kafe
build,ndërtuar
burn,djeg
busy,i zënë
but,por
buy,blej
by,nga
call,thirrje
came,erdhi
camp,kampi
can,mund
capital,kapitalit
captain,kapiten
car,makinë
card,kartë
care,kujdes
carry,kryer
case,rasti
cat,mace
catch,kapur
caught,kapur
cause,shkaku
cell,qelizë
cent,cent
center,qendër
century,shekulli
certain,sigurt
chair,karrige
chance,shans
change,ndryshim
character,karakter
charge,ngarkuar
chart,tabelë
check,kontrolloj
chick,zogth
chief,shefi
child,fëmijë
children,fëmijë
choose,zgjidhni
chord,akord
circle,rrethi
city,qytet
claim,pretendim
class,klasë
clean,i pastër
clear,qartë
climb,ngjit
clock,ora
close,afër
clothe,vesh
cloud,cloud
coast,bregdeti
coat,pallto
cold,ftohtë
collect,mbledhë
colony,koloni
color,ngjyra
column,kolona
come,eja
common,përbashkët
company,kompania
compare,të krahasuar
complete,i plotë
condition,kusht
connect,lidhur
consider,konsiderojnë
consonant,bashkëtingëllore
contain,përmbaj
continent,kontinenti
continue,vazhdojnë
control,kontrollit
cook,kuzhinier
cool,i ftohtë
copy,kopje
corn,misri
corner,qoshe
correct,saktë
cost,kosto
cotton,pambuku
could,mund
count,të llogarisë
country,vendi
course,sigurisht
cover,mbuluar
cow,lopë
crease,rrudhë
create,krijuar
crop,kulture
cross,kalojnë
crowd,turmë
cry,qaj
current,aktuale
cut,prerë
dad,baba
dance,valle
danger,rrezik
dark,errët
day,ditë
dead,vdekur
deal,marrëveshje
dear,i dashur
death,vdekja
decide,vendosë
decimal,dhjetor
deep,thellë
degree,shkallë
depend,varet
describe,përshkruajnë
desert,shkretëtirë
design,dizajn
determine,përcaktuar
develop,zhvilloj
dictionary,fjalor
did,bëri
die,vdes
differ,ndryshoj
difficult,i vështirë
direct,drejtpërdrejtë
discuss,diskutuar
distant,i largët
divide,ndarje
division,ndarje
do,bëj
doctor,mjeku
does,bën
dog,qen
dollar,dollar
done,e bërë
don’t,nuk
door,dyer
double,dyfishtë
down,poshtë
draw,barazim
dream,ëndërr
dress,veshje
drink,pije
drive,makinë
drop,rënie
dry,thatë
duck,duck
during,gjatë
each,çdo
ear,vesh
early,fillim
earth,toka
ease,lehtësuar
east,lindje
eat,hani
edge,edge
effect,efekti
egg,vezë
eight,tetë
either,ose
electric,elektrike
element,element
else,tjetër
end,fund
enemy,armik
energy,energjisë
engine,motor
enough,mjaft
enter,hyjnë
equal,barabartë
equate,barazojnë
especially,sidomos
even,edhe
evening,mbrëmje
event,ngjarje
ever,kurrë
every,çdo
exact,saktë
example,shembull
except,me përjashtim të
excite,nxeh
exercise,ushtrim
expect,presin
experience,përvojë
experiment,eksperiment
eye,sy
face,fytyrë
fact,fakti
fair,drejtë
fall,bien
family,familja
famous,i famshëm
far,tani
farm,fermë
fast,shpejtë
fat,yndyrë
father,baba
favor,favor
fear,frikë
feed,ushqim
feel,të ndjehen të
feet,këmbët
fell,ra
felt,ndjerë
few,pak
field,fushë
fig,fiku
fight,lufta
figure,shifër
fill,mbushur
final,përfundimtar
find,gjeni
fine,gjobë
finger,gisht
finish,finish
fire,zjarri
first,parë
fish,peshk
fit,përshtaten
five,pesë
flat,banesë
floor,kati
flow,rrjedhë
flower,lule
fly,fluturojnë
follow,ndjek
food,ushqim
foot,këmbë
for,për
force,forca
forest,pyjeve
form,formë
forward,përpara
found,gjetur
four,katër
fraction,fraksion
free,pa pagesë
fresh,freskët
friend,mik
from,nga
front,para
fruit,fruta
full,plotë
fun,argëtim
game,lojë
garden,kopsht
gas,gazit
gather,mblidhen
gave,dha
general,përgjithshme
gentle,i butë
get,marrë
girl,vajzë
give,jap
glad,kënaqur
glass,qelqi
go,shkoj
gold,ari
gone,shkuar
good,mirë
got,mori
govern,qeverisur
grand,i madh
grass,bari
gray,gri
great,i madh
green,e gjelbër
grew,u rrit
ground,terren
group,grup
grow,rritet
guess,guess
guide,udhëzojë
gun,armë
had,kishte
hair,flokët
half,gjysmë
hand,dorë
happen,ndodhë
happy,të lumtur
hard,vështirë
has,ka
hat,hat
have,kam
he,ai
head,kreu
hear,dëgjojë
heard,dëgjuar
heart,zemra
heat,ngrohjes
heavy,rëndë
held,mbajtur
help,të ndihmojë
her,e saj
here,këtu
high,i lartë
hill,kodër
him,atë
his,e tij
history,historia
hit,hit
hold,mbajë
hole,vrimë
home,shtëpi
hope,shpresoj
horse,kalë
hot,hot
hour,orë
house,shtëpi
how,si
huge,i madh
human,njerëzore
hundred,njëqind
hunt,gjueti
hurry,nxitim
i,i
ice,akull
idea,ideja
if,nëse
imagine,imagjinoni
in,në
inch,inç
include,përfshijnë
indicate,tregojnë
industry,industri
insect,insekteve
instant,i menjëhershëm
instrument,instrument
interest,interesi
invent,trillime
iron,hekuri
is,është
island,ishull
it,ajo
job,punë
join,bashkohen
joy,lumturi
jump,kërcejnë
just,vetëm
keep,mbaj
kept,mbajtur
key,kyç
kill,vrasin
kind,lloj
king,mbreti
knew,dinte
know,di
lady,lady
lake,liqeni
land,tokë
language,gjuha
large,i madh
last,fundit
late,vonë
laugh,qesh
law,ligji
lay,vë
lead,të çojë
learn,mësoj
least,më pak
leave,largohen
led,udhëhequr
left,la
leg,këmbë
length,gjatësia
less,më pak
let,le të
letter,letër
level,nivel
lie,gënjeshtër
life,jetë
lift,ashensor
light,dritë
like,si
line,linjë
liquid,lëngshme
list,lista
listen,dëgjoni
little,pak
live,jetojnë
locate,gjetur
log,log
lone,i vetëm
long,gjatë
look,shikoni
lost,humbur
lot,shumë
loud,me zë të lartë
love,dashuri
low,ulët
machine,makinë
made,bërë
magnet,magnet
main,kryesore
major,i madh
make,bëj
man,njeri
many,shumë
map,harta
mark,mark
market,tregu
mass,në masë
master,mjeshtër
match,ndeshje
material,material
matter,çështje
may,mund
me,mua
mean,mesatare
meant,do të thoshte
