english,welsh
a,mae
able,gallu
about,tua
above,uchod
act,gweithredu
add,ychwanegu
afraid,ofn
after,ar ôl
again,eto
against,erbyn
age,oedran
ago,yn ôl
agree,cytuno
air,aer
all,gyd
allow,caniatáu
also,hefyd
always,bob amser
am,wyf
among,ymhlith
an,mae
and,a’r
anger,dicter
animal,anifail
answer,ateb
any,unrhyw
appear,ymddangos
apple,afal
are,yn
area,ardal
arm,braich
arrange,trefnu
arrive,cyrraedd
art,celf
as,fel
ask,gofyn
at,yn
atom,atom
baby,babi
back,yn ôl
bad,drwg
ball,pêl
band,mand
bank,banc
bar,bar
base,sylfaen
basic,sylfaenol
bat,ystlumod
be,fod yn
bear,arth
beat,guro
beauty,harddwch
bed,gwely
been,bod
before,cyn
began,dechreuodd
begin,dechrau
behind,y tu ôl i
believe,yn credu
bell,cloch
best,gorau
better,gwell
between,rhwng
big,mawr
bird,adar
bit,bit
black,du
block,bloc
blood,gwaed
blow,ergyd
blue,glas
board,bwrdd
boat,cwch
body,corff
bone,esgyrn
book,llyfr
born,anwyd
both,ddau
bottom,gwaelod
bought,brynwyd
box,blwch
boy,bachgen
branch,gangen
bread,bara
break,egwyl
bright,llachar
bring,dod â
broad,eang
broke,torrodd
brother,brawd
brought,dwyn
brown,brown
build,adeiladu
burn,llosgi
busy,brysur
but,ond
buy,prynu
by,gan
call,alwad
came,daeth
camp,gwersyll
can,gall
capital,cyfalaf
captain,capten
car,car
card,cerdyn
care,gofal
carry,cario
case,achos
cat,cath
catch,dal
caught,dal
cause,achos
cell,cell
cent,cant
center,canolfan
century,ganrif
certain,penodol
chair,gadeirydd
chance,cyfle
change,newid
character,cymeriad
charge,codi tâl
chart,siart
check,gwirio
chick,cyw
chief,prif
child,plentyn
children,plant
choose,dewis
chord,tant
circle,cylch
city,ddinas
claim,hawliad
class,dosbarth
clean,lân
clear,glir
climb,dringo
clock,cloc
close,agos
clothe,dilladu
cloud,cwmwl
coast,arfordir
coat,côt
cold,oer
collect,casglu
colony,nythfa
color,lliw
column,colofn
come,dod
common,gyffredin
company,cwmni
compare,cymharu
complete,cwblhau
condition,cyflwr
connect,cysylltu
consider,ystyried
consonant,cytseiniaid
contain,cynnwys
continent,cyfandir
continue,parhau
control,rheoli
cook,cogydd
cool,oer
copy,copi
corn,corn
corner,cornel
correct,gywir
cost,chost
cotton,cotwm
could,gallai
count,cyfrif
country,gwlad
course,cwrs
cover,clawr
cow,buwch
crease,cris
create,creu
crop,cnwd
cross,croesi
crowd,dorf
cry,crio
current,ar hyn o bryd
cut,torri
dad,dad
dance,dawns
danger,perygl
dark,tywyll
day,diwrnod
dead,marw
deal,delio
dear,annwyl
death,marwolaeth
decide,penderfynu
decimal,degol
deep,dwfn
degree,gradd
depend,dibynnu
describe,disgrifio
desert,anialwch
design,dylunio
determine,penderfynu
develop,datblygu
dictionary,geiriadur
did,wnaeth
die,marw
differ,yn wahanol
difficult,anodd
direct,uniongyrchol
discuss,trafod
distant,bell
divide,rhaniad
division,is-adran
do,wneud
doctor,meddyg
does,gwneud
dog,ci
dollar,doler
done,da
don’t,peidiwch â
door,drws
double,dwbl
down,i lawr
draw,tynnu
dream,freuddwyd
dress,gwisg
drink,diod
drive,gyriant
drop,gollwng
dry,sych
duck,hwyaden
during,yn ystod
