english,latin
a,a
able,potest
about,de
above,supra
act,"actum,"
add,addunt
afraid,timere
after,postquam
again,rursus
against,contra
age,saeculi
ago,ago
agree,conveniunt
air,"aer,"
all,omnes
allow,sino
also,etiam
always,semper
am,sum
among,in
an,an
and,et
anger,iratus
animal,pecus
answer,"dicendum,"
any,aliqua
appear,appareant
apple,pupillam
are,"sunt,"
area,area
arm,brachium
arrange,"disponere,"
arrive,perveniunt
art,art
as,ut
ask,quaeris
at,at
atom,atom
baby,praesent
back,rursus
bad,malum
ball,"pila,"
band,cohors
bank,ripam
bar,bar
base,basi
basic,prima
bat,biblia
be,esse
bear,ferre
beat,percute
beauty,pulchritudo
bed,cubili
been,fuit
before,antequam
began,coeperunt
begin,incipe
behind,"retro,"
believe,credere
bell,tintinnabulum
best,optimum
better,melius
between,inter
big,magnum
bird,avem
bit,aliquam
black,nigrum
block,clausus
blood,"sanguis,"
blow,ictus
blue,hyacintho
board,tabulam
boat,navicula
body,"corpus,"
bone,osse
book,liber
born,"natus,"
both,et
bottom,"imo,"
bought,emptum
box,box
boy,"puer,"
branch,ramum
bread,panem
break,aspiret
bright,splendidum
bring,adducet
broad,"lata,"
broke,"fregit,"
brother,"frater,"
brought,adduxerunt
brown,brunneis
build,ædificabis
burn,comburet
busy,occupatus
but,sed
buy,emptum
by,by
call,call
came,factum
camp,castra
can,potest
capital,capitale
captain,dux
car,car
card,pecto
care,"cura,"
carry,ferte
case,ita
cat,cat
catch,captiones
caught,captus
cause,"causa,"
cell,cell
cent,cent
center,centrum
century,century
certain,quaedam
chair,cathedra
chance,forte
change,mutatio
character,character
charge,testificor
chart,cursus
check,reprehendo
chick,pullus
chief,princeps
child,puer
children,filii
choose,elige
chord,chorda
circle,circulus
city,urbem
claim,clamium
class,class
clean,mundi
clear,"patet,"
climb,ascenditur
clock,horologium
close,proxime
clothe,induere
cloud,"nubes,"
coast,litore
coat,tunica
cold,"frigus,"
collect,colligunt
colony,coloniam
color,colorem
column,column
come,venit
common,commune
company,comitatu
compare,compare
complete,completum
condition,condicionis
connect,pertinent
consider,considerate
consonant,consonans
contain,"continent,"
continent,"continentem,"
continue,perseverant
control,imperium
cook,cocus
cool,frigus
copy,rescriptum
corn,"frumentum,"
corner,anguli
correct,recte
cost,cost
cotton,bombicis
could,potuit
count,numerabitis
country,patriae
course,scilicet
cover,cover
cow,vitulus
crease,rimula
create,partum
crop,"seges,"
cross,transire
crowd,"turba,"
cry,clamor
current,current
cut,sectis
dad,pater
dance,chorea
danger,"periculum,"
dark,obscuro
day,"die,"
dead,"mortuus,"
deal,multum
dear,"carissimi,"
death,mortem
decide,decernere
decimal,decimales
deep,abyssus
degree,gradum
depend,ex
describe,describere
desert,deserto
design,consilium
determine,statuere
develop,evolvere
dictionary,dictionary
did,feceruntque
die,mortuus
differ,"differunt,"
difficult,difficile
direct,dirige
discuss,disputant
distant,distant
divide,divide
division,divisione
do,facite
doctor,medicus
does,quod
dog,canem
dollar,pupa
done,factum
don’t,non
door,ostium
double,duplex
down,descendit
draw,hauriret
dream,somniatis
dress,habitus
drink,potum
drive,coegi
drop,concrescunt
dry,siccum
duck,"anas,"
during,per
each,quisque
ear,aurem
early,mane
earth,"terra,"
ease,relevare
east,orientem
eat,manducare
edge,ore
effect,effectus
egg,ovum
eight,"octo,"
either,aut
electric,electrica
element,aliquid
else,aliud
end,finem
enemy,hostem
energy,navitas
engine,engine
