english,serbian
a,старт
able,стању
about,абоут
above,изнад
act,закон
add,адд
afraid,уплашен
after,после
again,опет
against,против
age,старост
ago,пре
agree,слажем
air,аир
all,све
allow,дозволи
also,такође
always,увек
am,пм
among,међу
an,породица
and,и
anger,бес
animal,анимал
answer,одговор
any,ани
appear,појављују
apple,аппле
are,су
area,ареа
arm,рука
arrange,организовати
arrive,стижу
art,арт
as,као
ask,аск
at,ат
atom,атома
baby,баби
back,назад
bad,бад
ball,лопта
band,трака
bank,банк
bar,бар
base,база
basic,басиц
bat,бат
be,бити
bear,беар
beat,беат
beauty,беаути
bed,бед
been,био
before,пре
began,почела
begin,бегин
behind,иза
believe,верујем
bell,белл
best,бест
better,боље
between,између
big,велики
bird,бирд
bit,бит
black,црна
block,блоцк
blood,блоод
blow,ударац
blue,плава
board,боард
boat,боат
body,боди
bone,кост
book,књига
born,борн
both,оба
bottom,боттом
bought,купио
box,бок
boy,дечак
branch,грана
bread,хлеб
break,бреак
bright,бригхт
bring,доносе
broad,широка
broke,поломио
brother,брат
brought,донео
brown,бровн
build,изградити
burn,бурн
busy,заузет
but,али
buy,буи
by,би
call,позив
came,дошао
camp,камп
can,цан
capital,капитал
captain,капетан
car,ауто
card,картица
care,царе
carry,носе
case,цасе
cat,цат
catch,цатцх
caught,ухваћен
cause,узрок
cell,ћелија
cent,цент
center,центар
century,век
certain,известан
chair,столица
chance,шанса
change,цханге
character,карактер
charge,наплаћују
chart,графикон
check,цхецк
chick,цхицк
chief,цхиеф
child,дете
children,деца
choose,изабрати
chord,акорд
circle,цирцле
city,град
claim,тврдња
class,класа
clean,цлеан
clear,цлеар
climb,цлимб
clock,цлоцк
close,близу
clothe,облачити
cloud,цлоуд
coast,цоаст
coat,капут
cold,хладно
collect,прикупља
colony,колонија
color,боја
column,колона
come,доћи
common,заједнички
company,цомпани
compare,упоредити
complete,комплетан
condition,услов
connect,цоннецт
consider,размотрити
consonant,сугласник
contain,садржати
continent,континент
continue,наставити
control,контрола
cook,цоок
cool,цоол
copy,цопи
corn,кукуруз
corner,цорнер
correct,исправан
cost,трошкови
cotton,памук
could,могао
count,цоунт
country,цоунтри
course,курс
cover,цовер
cow,крава
crease,бразда
create,створити
crop,цроп
cross,цросс
crowd,публика
cry,крик
current,струја
cut,цут
dad,тата
dance,данце
danger,опасност
dark,дарк
day,дан
dead,деад
deal,договор
dear,деар
death,деатх
decide,одлучује
decimal,децимал
deep,дееп
degree,степен
depend,зависе
describe,описати
desert,десерт
design,дизајн
determine,одредити
develop,развити
dictionary,речник
did,јесте
die,дие
differ,разликују
difficult,тешко
direct,дирецт
discuss,дискутовати
distant,дистант
divide,дивиде
division,дивисион
do,учинити
doctor,лекар
does,не
dog,дог
dollar,доллар
done,доне
don’t,немој
door,врата
double,доубле
down,довн
draw,драв
dream,дреам
dress,хаљина
drink,пиће
drive,дриве
drop,дроп
dry,суво
duck,дуцк
during,током
each,сваки
ear,еар
early,рано
earth,еартх
ease,олакшати
east,источно
eat,еат
edge,ивица
effect,ефект
egg,егг
eight,осам
either,или
electric,елецтриц
element,елемент
else,друго
end,крај
enemy,енеми
energy,енерги
engine,енгине
enough,довољно
enter,ентер
equal,једнак
equate,изједначавају
especially,посебно
even,чак
evening,вече
event,евент
ever,икад
every,сваки
exact,тачан
example,пример
