english,estonian
a,aeg
able,võimalik
about,umbes
above,eespool
act,tegu
add,lisada
afraid,karda
after,pärast
again,jälle
against,vastu
age,vanus
ago,tagasi
agree,nõus
air,õhk
all,kõik
allow,lubada
also,samuti
always,alati
am,olen
among,vahel
an,lugema
and,ja
anger,viha
animal,loomade
answer,vastus
any,tahes
appear,ilmub
apple,õun
are,on
area,piirkond
arm,arm
arrange,korraldada
arrive,saabuma
art,kunst
as,kui
ask,küsi
at,juures
atom,aatom
baby,beebi
back,tagasi
bad,halb
ball,ball
band,bänd
bank,pank
bar,bar
base,alus
basic,põhi
bat,bat
be,olema
bear,kandma
beat,võita
beauty,ilu
bed,voodi
been,olnud
before,enne
began,hakkas
begin,alustada
behind,taga
believe,usun
bell,bell
best,parim
better,parem
between,vahel
big,suur
bird,lind
bit,natuke
black,must
block,plokk
blood,veri
blow,löök
blue,sinine
board,juhatus
boat,paat
body,keha
bone,luu
book,raamat
born,sündinud
both,nii
bottom,alt
bought,ostis
box,kast
boy,poiss
branch,filiaali
bread,leib
break,break
bright,ere
bring,tuua
broad,lai
broke,murdis
brother,vend
brought,toonud
brown,pruun
build,ehitada
burn,põletada
busy,kinni
but,kuid
buy,osta
by,poolt
call,üleskutse
came,tuli
camp,laager
can,saab
capital,kapitali
captain,kapten
car,auto
card,kaart
care,hooldus
carry,läbi
case,puhul
cat,kass
catch,saak
caught,püütud
cause,põhjus
cell,raku
cent,senti
center,keskus
century,sajandil
certain,teatud
chair,tool
chance,võimalus
change,muutus
character,märgi
charge,tasuta
chart,skeem
check,kontrollima
chick,tibu
chief,juht
child,laps
children,lapsed
choose,vali
chord,akord
circle,ringi
city,linna
claim,nõue
class,klass
clean,puhas
clear,selge
climb,ronida
clock,kell
close,lähedal
clothe,riietama
cloud,pilv
coast,rannikul
coat,mantel
cold,külm
collect,koguda
colony,koloonia
color,värv
column,veerg
come,tule
common,ühise
company,ettevõte
compare,võrrelda
complete,täielik
condition,tingimus
connect,ühendada
consider,kaaluda
consonant,kaashäälik
contain,sisaldama
continent,mandril
continue,jätkama
control,kontroll
cook,cook
cool,cool
copy,koopia
corn,mais
corner,nurgas
correct,õige
cost,maksumus
cotton,puuvill
could,võiks
count,loe
country,riik
course,loomulikult
cover,kate
cow,lehm
crease,kortsu
create,luua
crop,crop
cross,rist
crowd,rahvas
cry,nutma
current,praegune
cut,lõigatud
dad,isa
dance,tants
danger,oht
dark,tume
day,päev
dead,surnud
deal,palju
dear,kallis
death,surm
decide,otsustada
decimal,kohaga
deep,sügav
degree,aste
depend,sõltuvad
describe,kirjeldama
desert,kõrb
design,disain
determine,kindlaks
develop,arendama
dictionary,sõnastik
did,tegi
die,surra
differ,erinevad
difficult,raske
direct,otsene
discuss,arutama
distant,kauge
divide,lõhe
division,jaotus
do,teha
doctor,arst
does,ei
dog,koer
dollar,dollari
done,valmis
don’t,ei
door,uks
double,topelt
down,alla
draw,juhtida
dream,unistada
dress,kleit
drink,jook
drive,drive
drop,tilk
dry,kuiv
duck,part
during,jooksul
each,iga
ear,kõrva
early,alguses
earth,maa
ease,leevendada
east,ida
eat,sööma
edge,äär
effect,mõju
egg,muna
eight,kaheksa
either,kas
electric,elektriline
element,element
else,teine
end,lõpuks
enemy,vaenlane
energy,energia
engine,mootori
enough,piisavalt
enter,sisestage
equal,võrdne
equate,võrdsustama
especially,eriti
even,isegi
evening,õhtu
event,sündmus
ever,kunagi
every,kõik
exact,täpne
example,näiteks
except,välja arvatud
excite,erutada
exercise,kasutamise
expect,oota
experience,kogemus
experiment,eksperiment
eye,silma
face,nägu
fact,tegelikult
fair,õiglane
fall,langeda
family,pere
famous,kuulus
far,palju
farm,farm
fast,kiire
fat,rasva
father,isa
favor,soodustama
fear,hirm
feed,feed
feel,tunda
feet,jalad
fell,langes
felt,vilt
few,paari
field,valdkonnas
fig,joonis
fight,võitlus
figure,joonis
fill,täita
final,lõplik
find,leida
fine,trahvi
finger,sõrme
finish,viimistlus
fire,tulekahju
first,esimene
fish,kala
fit,sobi
five,viis
flat,korter
floor,korrus
flow,voolama
flower,lill
fly,lendama
follow,järgima
food,toidu
foot,suu
for,jaoks
force,jõud
forest,metsa
form,vorm
forward,edasi
found,leitud
four,neli
fraction,fraktsioon
free,tasuta
fresh,värske
friend,sõber
from,alates
front,ees
fruit,puu
full,täis
fun,lõbus
game,mäng
garden,aed
gas,gaasi
gather,koguda
gave,andis
general,üldiselt
gentle,õrn
get,saada
girl,tüdruk
give,anda
glad,rõõmus
glass,klaas
go,minna
gold,kuld
gone,möödas
good,hea
got,sain
govern,reguleerima
grand,grand
grass,muru
gray,hall
great,suur
green,roheline
grew,kasvas
ground,maa
group,rühm
grow,kasvama
guess,arvan
guide,suunama
gun,gun
had,tuli
hair,juuksed
half,poole
hand,käsi
happen,juhtuma
happy,õnnelik
hard,raske
has,on
hat,müts
have,olema
he,ta
head,juht
hear,hear
heard,kuulnud
heart,süda
heat,soojus
heavy,raske
held,held
help,aidata
her,tema
here,siin
high,kõrge
hill,hill
him,tema
his,tema
history,ajalugu
hit,löögi
hold,hoidke
hole,auk
home,kodu
hope,loodan
horse,hobune
hot,kuum
hour,tund
house,maja
how,kuidas
huge,suur
human,inimese
hundred,sada
hunt,jaht
hurry,kiirustama
i,i
ice,jää
idea,mõte
if,kui
imagine,kujutage ette
in,aastal
inch,tolli
include,sisaldama
indicate,näitama
industry,tööstus
insect,putukate
instant,instant
instrument,instrument
interest,huvi
invent,leiutada
iron,raud
is,on
island,saarel
it,see
job,töö
join,liituda
joy,rõõm
jump,hüpata
just,lihtsalt
keep,hoida
kept,hoida
key,võti
kill,tappa
kind,liiki
king,kuningas
knew,teadsin
know,tea
lady,lady
lake,järve
land,maa
language,keel
large,suur
last,viimane
late,hilja
laugh,naer
law,seadus
lay,näha
lead,kaasa
learn,õppida
least,vähemalt
leave,lahkuma
led,viinud
left,vasakule
leg,jalg
length,pikkus
less,vähem
let,lase
letter,kiri
level,tase
lie,vale
life,elu
lift,lift
light,tuli
like,nagu
line,line
liquid,vedelik
list,nimekiri
listen,kuula
little,vähe
live,elada
locate,leida
log,logi
lone,üksildane
long,pikk
look,vaata
lost,kadunud
lot,palju
loud,vali
love,armastus
low,madal
machine,masin
made,tehtud
magnet,magnet
main,peamine
major,suur
make,teha
man,mees
many,palju
map,kaart
mark,märgi
market,turul
mass,mass
master,kapten
match,kohtumise
material,materjal
matter,küsimus
may,võib
me,mind
mean,tähendab
meant,tähendas
measure,mõõtma
meat,liha
meet,meet
melody,meloodia
men,mehed
metal,metallist
method,meetod
middle,keskel
might,võiks
mile,miil
milk,piim
million,miljonit
mind,meeles
mine,minu
minute,minut
miss,miss
mix,mix
modern,kaasaegne
molecule,molekuli
moment,praegu
money,raha
month,kuu
moon,kuu
more,rohkem
morning,hommikul
most,kõige
mother,ema
motion,motion
mount,mount
mountain,mägi
mouth,suu
move,liikuda
much,palju
multiply,korrutada
music,muusika
must,must
my,minu
name,nimi
nation,rahvas
natural,loomulik
nature,laadi
near,lähedal
necessary,vajalik
neck,kaela
need,vaja
neighbor,naaber
never,kunagi
new,uus
next,järgmine
night,öö
nine,üheksa
no,ei
noise,müra
noon,keskpäeval
nor,ega
north,põhja-
nose,nina
note,märkus
nothing,midagi
notice,teade
noun,nimisõna
now,nüüd
number,number
numeral,numbritega
object,objekti
observe,kinni
occur,esineda
ocean,ookean
of,kohta
off,välja
offer,pakkumisi
office,kontor
often,sageli
oh,oh
oil,õli
old,vana
on,kohta
once,üks kord
one,üks
only,ainult
open,avatud
operate,tegutseda
opposite,vastand
or,või
order,selleks
organ,organ
original,originaal
other,muu
our,meie
out,välja
over,üle
own,enda
oxygen,hapnik
page,lehekülg
paint,maalima
pair,paari
paper,paber
paragraph,lõikes
parent,vanem
part,osa
particular,eriti
party,poole
pass,edasi
past,varem
path,tee
pattern,muster
pay,maksma
people,inimesed
perhaps,võib-olla
period,perioodil
person,inimene
phrase,fraasi
pick,vali
picture,pilt
piece,töö
