english,japanese
a,は
able,できる
about,約
above,上記
act,行為
add,加える
afraid,恐れて
after,後に
again,再び
against,に対する
age,年齢
ago,前
agree,同意する
air,空気
all,すべて
allow,許可する
also,また
always,常に
am,am
among,の間で
an,の
and,そして
anger,怒り
animal,動物
answer,答え
any,任意の
appear,見える
apple,リンゴ
are,アール
area,エリア
arm,アーム
arrange,アレンジ
arrive,届く
art,アート
as,ように
ask,頼む
at,アット
atom,アトム
baby,赤ちゃん
back,バック
bad,悪い
ball,ボール
band,バンド
bank,銀行
bar,バー
base,ベース
basic,基本
bat,バット
be,ある
bear,クマ
beat,ビート
beauty,美しさ
bed,ベッド
been,き
before,前に
began,始まった
begin,始まる
behind,背後に
believe,信じる
bell,鐘
best,ベスト
better,良い
between,間に
big,大きい
bird,鳥
bit,ビット
black,黒
block,ブロック
blood,血
blow,打撃
blue,ブルー
board,ボード
boat,ボート
body,ボディ
bone,骨
book,ブック
born,ボルン
both,両方
bottom,ボトム
bought,買った
box,ボックス
boy,男の子
branch,ブランチ
bread,パン
break,ブレーク
bright,明るい
bring,持って来る
broad,幅広い
broke,壊した
brother,兄
brought,た
brown,ブラウン
build,ビルド
burn,燃やす
busy,忙しい
but,しかし
buy,買う
by,バイ
call,コール
came,来た
camp,キャンプ
can,缶
capital,首都
captain,キャプテン
car,カー
card,カード
care,介護
carry,運ぶ
case,ケース
cat,猫
catch,キャッチ
caught,キャッチ
cause,原因
cell,セル
cent,セント
center,センター
century,世紀
certain,特定の
chair,椅子
chance,チャンス
change,変更
character,キャラクター
charge,充電
chart,チャート
check,チェック
chick,ひよこ
chief,チーフ
child,子ども
children,子どもたち
choose,選ぶ
chord,和音
circle,サークル
city,街
claim,請求
class,クラス
clean,クリーン
clear,明確な
climb,登る
clock,クロック
close,クローズ
clothe,衣服を着せる
cloud,クラウド
coast,海岸
coat,コート
cold,寒い
collect,集める
colony,コロニー
color,カラー
column,コラム
come,来る
common,一般的な
company,会社
compare,比較する
complete,完全な
condition,条件
connect,接続する
consider,考える
consonant,子音
contain,含む
continent,大陸
continue,続ける
control,コントロール
cook,料理人
cool,涼しい
copy,コピー
corn,トウモロコシ
corner,コーナー
correct,正しい
cost,コスト
cotton,綿
could,可能性
count,カウント
country,国
course,もちろん
cover,カバー
cow,乳牛
crease,しわ
create,作る
crop,作物
cross,クロス
crowd,群衆
cry,泣く
current,現在の
cut,カット
dad,お父さん
dance,ダンス
danger,危険
dark,暗い
day,日
dead,死んだ
deal,契約
dear,かわいい
death,死
decide,決定する
decimal,進
deep,深い
degree,度
depend,決まる
describe,説明する
desert,砂漠
design,デザイン
determine,決定する
develop,開発する
dictionary,辞書
did,やった
die,死ぬ
differ,異なる
difficult,難しい
direct,ダイレクト
discuss,話し合う
distant,遠い
divide,分割
division,分裂
do,やる
doctor,医師
does,し
dog,犬
dollar,ドル
done,終わった
don’t,ない
door,ドア
double,ダブル
down,ダウン
draw,描く
dream,夢
dress,ドレス
drink,ドリンク
drive,ドライブ
drop,ドロップ
dry,ドライ
duck,アヒル
during,間に
each,それぞれ
ear,耳
early,早い
earth,地球
ease,和らげる
east,東
eat,食べる
edge,エッジ
effect,効果
egg,卵
eight,人
either,どちら
electric,エレクトリック
element,要素
else,ほかに
end,終わり
enemy,敵
energy,エネルギー
engine,エンジン
enough,十分な
enter,入力する
equal,等しい
equate,一致する
especially,特に
even,さらに
evening,夕べ
event,イベント
ever,今までに
every,すべての
exact,正確な
example,例
except,ただし
excite,エキサイト
exercise,エクササイズ
expect,期待する
experience,経験
experiment,実験
eye,目
face,顔
fact,事実
fair,フェア
fall,落ちる
family,家族
famous,有名な
far,遠く
farm,農場
fast,速い
fat,脂肪
father,父
favor,好む
fear,恐怖
feed,フィード
feel,感じる
feet,フィート
fell,落ちた
felt,フェルト
few,少数
field,フィールド
fig,イチジク
fight,戦い
figure,図
fill,埋める
final,ファイナル
find,見つける
fine,罰金
finger,指
finish,仕上げ
fire,火災
first,最初の
fish,魚
fit,フィット
five,五
flat,フラット
floor,床
flow,流れ
flower,花
fly,飛ぶ
follow,続く
food,食品
foot,足
for,ために
force,力
forest,森
form,フォーム
forward,フォワード
found,発見
four,つの
fraction,分数
free,無料で
fresh,新鮮な
friend,友人
from,から
front,フロント
fruit,フルーツ
full,フル
fun,楽しい
game,ゲーム
garden,庭
gas,ガス
gather,集まる
gave,与えた
general,一般
gentle,優しい
get,ゲット
girl,女の子
give,与える
glad,うれしい
glass,ガラス
go,行く
gold,ゴールド
gone,いなくなった
good,良い
got,だ
govern,支配する
grand,壮大な
grass,草
gray,グレー
