english,lao
a,ເປັນ
able,ສາມາດ
about,ກ່ຽວກັບ
above,ຂ້າງເທິງ
act,ກົດຫມາຍວ່າດ້ວຍ
add,ເພີ່ມ
afraid,ຄວາມຢ້ານກົວ
after,ຫຼັງຈາກ
again,ອີກເທື່ອຫນຶ່ງ
against,ຕໍ່
age,ອາຍຸສູງສຸດ
ago,ກ່ອນຫນ້ານີ້
agree,ຕົກລົງເຫັນດີ
air,ອາກາດ
all,ທັງຫມົດ
allow,ອະນຸຍາດໃຫ້
also,ຍັງ
always,ສະເຫມີໄປ
am,ເຈົ້າ
among,ໃນບັນດາ
an,ເປັນ
and,ແລະ
anger,ຄວາມໃຈຮ້າຍ
animal,ສັດ
answer,ຄໍາຕອບ
any,ໃດ
appear,ປະກົດວ່າ
apple,ຈາກຫນາກແອບເປີ
are,ແມ່ນ
area,ເຂດພື້ນທີ່
arm,ແຂນ
arrange,ຈັດ
arrive,ມາຮອດ
art,ສິນລະປະ
as,ເປັນ
ask,ຖາມ
at,ຢູ່
atom,ປະລໍາມະນູ
baby,ເດັກນ້ອຍ
back,ກັບຄືນໄປບ່ອນ
bad,ບໍ່ດີ
ball,ບານ
band,ແຖບ
bank,ທະນາຄານ
bar,ພາທະນາຍຄວາມ
base,ຖານ
basic,ຂັ້ນພື້ນຖານ
bat,ເຈຍ
be,ຈະ
bear,ຮັບຜິດຊອບ
beat,ຫຼິ້ນໃຫ້ເກີນແມ່ນ
beauty,ຄວາມງາມ
bed,ນອນ
been,ໄດ້
before,ກ່ອນທີ່ຈະ
began,ເລີ່ມຕົ້ນ
begin,ເລີ່ມຕົ້ນ
behind,ຫລັງ
believe,ເຊື່ອ
bell,ລະຄັງ
best,ທີ່ດີທີ່ສຸດ
better,ດີກວ່າ
between,ລະຫວ່າງ
big,ໃຫຍ່
bird,ນົກຊະນິດ
bit,ນ້ອຍ
black,ສີດໍາ
block,ຕັນ
blood,ເລືອດ
blow,ສ້າງຄວາມເສຍຫາຍ
blue,ສີຟ້າ
board,ຄະນະ
boat,ເຮືອ
body,ຮ່າງກາຍ
bone,ກະດູກ
