english,tamil
a,ஒரு
able,முடிந்தது
about,பற்றி
above,மேலே
act,செயல்
add,சேர்க்க
afraid,பயம்
after,பின்னர்
again,மீண்டும்
against,எதிரான
age,வயது
ago,முன்பு
agree,ஒப்புக்கொள்கிறேன்
air,காற்று
all,அனைத்து
allow,அனுமதிக்க
also,"மேலும்,"
always,எப்போதும்
am,நான்
among,மத்தியில்
an,ஒரு
and,மற்றும்
anger,கோபத்தை
animal,விலங்கு
answer,பதில்
any,எந்த
appear,தோன்றும்
apple,ஆப்பிள்
are,உள்ளன
area,பகுதி
arm,கை
arrange,ஏற்பாடு
arrive,வரும்
art,கலை
as,என
ask,கேட்க
at,மணிக்கு
atom,அணுவின்
baby,குழந்தை
back,மீண்டும்
bad,கெட்ட
ball,பந்து
band,இசைக்குழு
bank,வங்கி
bar,பட்டியில்
base,அடிப்படை
basic,அடிப்படை
bat,பேட்டிங்
be,இருக்கும்
bear,தாங்க
beat,அடிக்க
beauty,அழகு
bed,படுக்கையில்
been,வருகிறது
before,முன்னால்
began,தொடங்கியது
begin,தொடங்கும்
behind,பின்னால்
believe,நம்பிக்கை
bell,மணி
best,சிறந்த
better,சிறந்த
between,இடையே
big,பெரிய
bird,பறவை
bit,பிட்
black,கருப்பு
block,தொகுதி
blood,இரத்த
blow,அடியாக
blue,நீல
board,குழு
boat,படகு
body,உடல்
bone,எலும்பு
book,புத்தகம்
born,பிறந்த
both,இரண்டு
bottom,கீழே
bought,வாங்கி
box,பெட்டியில்
boy,சிறுவன்
branch,கிளை
bread,ரொட்டி
break,இடைவெளி
bright,பிரகாசமான
bring,கொண்டு வா
broad,பரந்த
broke,வெடித்தது
brother,சகோதரர்
brought,கொண்டு
brown,பழுப்பு
build,கட்ட
burn,எரிக்க
busy,பிஸியாக
but,ஆனால்
buy,வாங்க
by,மூலம்
call,அழைப்பு
came,வந்தது
camp,முகாம்
can,முடியாது
capital,தலைநகர்
captain,கேப்டன்
car,கார்
card,கார்டு
care,பாதுகாப்பு
carry,எடுத்து
case,வழக்கு
cat,பூனை
catch,ப
caught,பிடித்து
cause,காரணம்
cell,செல்
cent,சதவீதம்
center,சென்டர்
century,நூற்றாண்டின்
certain,நிச்சயமான
chair,நாற்காலியில்
chance,வாய்ப்பு
change,மாற்றம்
character,பாத்திரம்
charge,வசூலிக்க
chart,விளக்கப்படம்
check,பார்க்க
chick,குஞ்சு
chief,தலைமை
child,குழந்தை
children,குழந்தைகள்
choose,தேர்வு
chord,நாண்
circle,வட்டத்தின்
city,நகரம்
claim,கூற்று
class,வர்க்கம்
clean,சுத்தமான
clear,தெளிவான
climb,ஏறு மெதுவாக தொற்றி ஏறு
clock,கடிகார
close,நெருங்கிய
clothe,உடை
cloud,மேகம்
coast,கடற்கரையில்
coat,கோட்
cold,குளிர்
collect,சேகரிக்க
colony,காலனி
color,வண்ண
