english,shona
a,munhu
able,vanokwanisa
about,pamusoro
above,kumusoro
act,chiito
add,wedzera
afraid,afraid
after,pashure
again,zvakare
against,pamusoro
age,zera
ago,kare
agree,kubvumirana
air,mhepo
all,zvose
allow,tendera
also,wo
always,nguva dzose
am,ndiri
among,pakati
an,chinhu
and,uye
anger,hasha
animal,mhuka
answer,mhinduro
any,ani
appear,oneka
apple,apuro
are,ndivo
area,nharaunda
arm,ruoko
arrange,ronga
arrive,svika
art,unyanzvi
as,sezvo
ask,kumbira
at,pa
atom,atomu
baby,mwana
back,shure
bad,zvakaipa
ball,bhora
band,bhendi
bank,bhangi
bar,rambidza
base,hwaro
basic,zvinokosha
bat,chiremwaremwa
be,kuva
bear,bereka
beat,rova
beauty,runako
bed,mubhedha
been,anga
before,pamberi
began,akatanga
begin,kutanga
behind,shure
believe,tenda
bell,bhero
best,yakanakisisa
better,nane
between,pakati
big,guru
bird,shiri
bit,chidimbu
black,nhema
block,misa
blood,ropa
blow,furidza
blue,bhuruu
board,bhodhi
boat,chikepe
body,muviri
bone,pfupa
book,bhuku
born,zvarwa
both,zvose zviri zviviri
bottom,pasi
bought,akatenga
box,bhokisi
boy,mukomana
branch,bazi
bread,chingwa
break,zororo
bright,jeka
bring,kuunza
broad,rwakafara
broke,akaputsa
brother,hanzvadzi konama
brought,vakauya
brown,bhurawuni
build,kuvaka
burn,pisa
busy,takabatikana
but,asi
buy,tenga
by,kubudikidza
call,kufona
came,akauya
camp,musasa
can,anogona
capital,guta
captain,mukuru
car,motokari
card,kadhi
care,kutarisira
carry,takura
case,mhosva
cat,katsi
catch,bata
caught,ukabatwa
cause,chikonzero
cell,chitokisi
cent,muzana
center,pakati
century,zana remakore
certain,vamwe
chair,cheya
chance,mukana
change,chinja
character,mutambi
charge,murandu
chart,chati
check,cheki
chick,chicks
chief,ishe
child,mwana
children,vana
choose,sarudza
chord,kodhi
circle,denderedzwa
city,guta
claim,murandu
class,kirasi
clean,chena
clear,pachena
climb,kwira
clock,chiringazuva
close,pedyo
clothe,pfeka
cloud,gore
coast,mhenderekedzo
coat,bhachi
cold,chando
collect,unganidza
colony,nyika yakapambwa
color,ruvara
column,mbiru
come,uya
common,zvakajairika
company,kambani
compare,enzanisa
complete,yose
condition,ezvinhu
connect,batanidza
consider,funga
consonant,nzvanyira
contain,takura
continent,map
continue,rambai
control,masimba
cook,kuka
cool,kutonhora
copy,mufananidzo
corn,zviyo
corner,pakona
correct,zvechokwadi
cost,mutengo
cotton,donje
could,wakakonewa
count,verenga
country,nyika
course,kosi
cover,pabutiro
cow,mhou
crease,dzakakura
create,sika
crop,chirimwa
cross,muchinjikwa
crowd,mhomho
cry,kuchema
current,zvemazuvano
cut,vendu
dad,baba
dance,matambiro
danger,ngozi
dark,rima
day,zuva
dead,akafa
deal,dhiri
dear,mudiwa
death,rufu
decide,kusarudza
decimal,grade
deep,zvakadzama
degree,dhigirii
depend,yanzva
describe,tsanangura
desert,gwenga
design,patani
determine,ona
develop,kutanga
dictionary,duramazwi
did,akaita
die,kufa
differ,wakasiyana
difficult,zvakaoma
direct,chaipoipo
discuss,kurukura
distant,kure
divide,kamura
division,kupesana
do,ita
doctor,chiremba
does,anoita
dog,imbwa
dollar,dhora
done,nokuita
don’t,regai
door,musuo
double,kaviri
down,pasi
draw,kuzochera
dream,rota
dress,pfeka
drink,chinwiwa
drive,fambisa
drop,donhedza
dry,akaoma
duck,dhadha
during,munguva
each,chimwe nechimwe
ear,nzeve
early,mangwanani
earth,pasi
ease,unyore
east,mabvazuva
eat,udye
edge,mucheto
effect,chaizvoizvo
egg,zai
eight,sere
either,kana
electric,zvemagetsi
element,eremendi
else,mumwe
end,magumo
enemy,muvengi
energy,simba
engine,injini
enough,zvakakwana
enter,pinda
equal,enzana
equate,inofananidza
especially,kunyanya
even,kunyange
evening,manheru
event,chiitiko
ever,nokusingaperi
every,ose
exact,chaizvoizvo
example,muenzaniso
except,kusiya
excite,fadza
exercise,kusimbisa muviri
expect,kutarisira
experience,ruzivo
experiment,ekisiperimendi
eye,ziso
face,uso
fact,chokwadi
fair,zvakanaka
fall,kuwa
family,mhuri
famous,nembiri
far,kure
farm,purazi
fast,kutsanya
fat,mafuta
father,baba
favor,tsigiro
fear,kutya
feed,chikafu
feel,nzwa
feet,tsoka
fell,vakawira
felt,akanzwa
few,shoma
field,munda
fig,onde
fight,kurwisana
figure,figiri
fill,zadza
final,yokupedzisira
find,wana
fine,naka
finger,chigunwe
finish,pedza
fire,moto
first,chekutanga
fish,hove
fit,fita
five,shanu
flat,pamhama
floor,uriri
flow,yerera
flower,ruva
fly,nhunzi
follow,tevera
food,chikafu
foot,rutsoka
for,nokuti
force,simba
forest,dondo
form,fomu
forward,mberi
found,akawanikwa
four,china
fraction,hacho
free,vakasununguka
fresh,tawanda
friend,shamwari
from,kubva
front,mberi
fruit,muchero
full,azere
fun,mafaro
game,mutambo
garden,mubindu
gas,mweya
gather,kuunganidza
gave,akapa
general,kazhinji
gentle,munyoro
get,tora
girl,musikana
give,ipai
glad,fara
glass,girazi
go,famba
gold,goridhe
gone,akaendepiko
good,kugona
got,akamuka
govern,tonga
grand,chikuru
grass,uswa
gray,gireyi
great,hukuru
green,girinhi
grew,akakura
ground,ivhu
group,boka
grow,kura
guess,kufembera
guide,tungamirira
gun,pfuti
had,aiva
hair,bvudzi
half,hafu
hand,ruoko
happen,itika
happy,fara
hard,zvakaoma
has,ane
hat,heti
have,vane
he,iye
head,musoro
hear,nzwa
heard,akanzwa
heart,mwoyo
heat,kupisa
heavy,rinorema
held,wakaitwa
help,batsira
her,naye
here,pano
high,yakakwirira
hill,chikomo
him,iye
his,ake
history,nhoroondo
hit,rova
hold,bata
hole,mwena
home,musha
hope,tarisiro
horse,bhiza
hot,hot
hour,awa
house,imba
how,sei
huge,kura
human,munhu
hundred,zana
hunt,kuvhima
hurry,kurumidza
i,ini
ice,chando
idea,zano
if,kana
imagine,fungidzira
in,mu
inch,padiki
