english,portuguese
a,uma
able,capaz
about,sobre
above,acima
act,ato
add,adicionar
afraid,medo
after,depois
again,novamente
against,contra
age,idade
ago,atrás
agree,concordar
air,ar
all,tudo
allow,permitir
also,também
always,sempre
am,am
among,entre
an,uma
and,e
anger,raiva
animal,animais
answer,resposta
any,qualquer
appear,aparecer
apple,maçã
are,são
area,área
arm,braço
arrange,organizar
arrive,chegar
art,arte
as,como
ask,perguntar
at,em
atom,átomo
baby,bebê
back,de volta
bad,ruim
ball,bola
band,banda
bank,banco
bar,bar
base,base
basic,básico
bat,bat
be,ser
bear,suportar
beat,bater
beauty,beleza
bed,cama
been,sido
before,antes
began,começou
begin,início
behind,atrás
believe,acreditar
bell,sino
best,melhor
better,melhor
between,entre
big,grande
bird,pássaro
bit,bit
black,preto
block,bloco
blood,sangue
blow,golpe
blue,azul
board,conselho
boat,barco
body,corpo
bone,osso
book,livro
born,nascido
both,tanto
bottom,inferior
bought,comprou
box,caixa
boy,menino
branch,ramo
bread,pão
break,pausa
bright,brilhante
bring,trazer
broad,amplo
broke,quebrado
brother,irmão
brought,trouxe
brown,marrom
build,construir
burn,queimar
busy,ocupado
but,mas
buy,comprar
by,por
call,chamada
came,veio
camp,acampamento
can,lata
capital,capital
captain,capitão
car,carro
card,cartão
care,cuidados
carry,carregam
case,caso
cat,cat
catch,captura
caught,capturados
cause,causa
cell,celular
cent,cento
center,centro
century,século
certain,certo
chair,cadeira
chance,oportunidade
change,mudança
character,caráter
charge,cobrar
chart,gráfico
check,verifique
chick,pinto
chief,chefe
child,criança
children,crianças
choose,escolher
chord,acorde
circle,círculo
city,cidade
claim,reivindicação
class,classe
clean,limpo
clear,claro
climb,subida
clock,relógio
close,perto
clothe,vestir
cloud,nuvem
coast,costa
coat,casaco
cold,frio
collect,recolher
colony,colônia
color,cor
column,coluna
come,vir
common,comum
company,companhia
compare,comparar
complete,completo
condition,condição
connect,conectar
consider,considerar
consonant,consoante
contain,contêm
continent,continente
continue,continuar
control,controle
cook,cozinheiro
cool,legal
copy,cópia
corn,milho
corner,canto
correct,correto
cost,custo
cotton,algodão
could,poderia
count,contar
country,país
course,curso
cover,cobertura
cow,vaca
crease,vinco
create,criar
crop,colheita
cross,atravessar
crowd,multidão
cry,grito
current,atual
cut,corte
dad,pai
dance,dança
danger,perigo
dark,escuro
day,dia
dead,morto
deal,negócio
dear,caro
death,morte
decide,decidir
decimal,decimal
deep,profunda
degree,grau
depend,dependem
describe,descrever
desert,deserto
design,projeto
determine,determinar
develop,desenvolver
dictionary,dicionário
did,fez
die,morrer
differ,diferir
difficult,difícil
direct,direto
discuss,discutir
distant,distante
divide,dividir
division,divisão
do,fazer
doctor,médico
does,faz
dog,cão
dollar,dólar
done,done
don’t,não
door,porta
double,duplo
down,para baixo
draw,desenhar
dream,sonhar
dress,vestido
drink,bebida
drive,unidade
drop,cair
dry,seca
duck,pato
during,durante
each,cada
ear,ouvido
early,cedo
earth,terra
ease,facilidade
east,leste
eat,comer
edge,borda
effect,efeito
egg,ovo
eight,oito
either,ou
electric,elétrica
element,elemento
else,mais
end,fim
enemy,inimigo
energy,energia
engine,motor
enough,suficiente
enter,introduzir
equal,igual
equate,equiparar
especially,especialmente
even,mesmo
evening,noite
event,evento
ever,sempre
every,cada
exact,exata
example,exemplo
except,exceto
excite,excitar
exercise,exercício
expect,esperar
experience,experiência
experiment,experiência
eye,olho
face,rosto
fact,fato
fair,feira
fall,cair
family,família
famous,famoso
far,longe
farm,fazenda
fast,rápido
fat,gordura
father,pai
favor,favorecer
fear,medo
feed,alimentação
feel,sentir
feet,pés
fell,caiu
felt,sentido
few,poucos
field,campo
fig,figo
fight,luta
figure,figura
fill,preencher
final,finais
find,encontrar
fine,multa
finger,dedo
finish,acabamento
fire,fogo
first,primeiro
fish,peixe
fit,caber
five,cinco
flat,plana
floor,piso
flow,fluir
flower,flor
fly,voar
follow,siga
food,alimentos
foot,pé
for,para
force,força
forest,floresta
form,forma
forward,para a frente
found,encontrado
four,quatro
fraction,fração
free,livre
fresh,fresco
friend,amigo
from,a partir de
front,frente
fruit,frutas
full,completo
fun,diversão
game,jogo
garden,jardim
gas,gás
gather,recolher
gave,deu
general,geral
gentle,suave
get,obter
girl,menina
give,dar
glad,feliz
glass,vidro
go,ir
gold,ouro
gone,gone
good,bom
got,tem
govern,governar
grand,grande
grass,grama
gray,cinza
great,grande
green,verde
grew,cresceu
ground,solo
group,grupo
grow,crescer
guess,acho que
guide,orientar
gun,pistola
had,teve
hair,cabelo
half,metade
hand,mão
happen,acontecer
happy,feliz
hard,difícil
has,tem
hat,chapéu
have,tem
he,ele
head,cabeça
hear,ouvir
heard,ouvido
heart,coração
heat,calor
heavy,pesado
held,held
help,ajudar
her,seu
here,aqui
high,alto
hill,hill
him,ele
his,seu
history,história
hit,acertar
hold,segurar
hole,buraco
home,casa
hope,esperamos
horse,cavalo
hot,quente
hour,horas
house,casa
how,como
huge,enorme
human,humano
hundred,cem
hunt,caça
hurry,apressar
i,i
ice,gelo
idea,idéia
if,se
imagine,imaginar
in,em
inch,polegada
include,incluir
indicate,indicam
industry,indústria
insect,inseto
instant,instant
instrument,instrumento
interest,juros
invent,inventar
iron,ferro
is,é
island,ilha
it,ele
job,trabalho
join,juntar-se
joy,alegria
jump,saltar
just,justo
keep,manter
kept,guardado
key,chave
kill,matar
kind,tipo
king,rei
knew,sabia
know,sei
lady,senhora
lake,lago
land,terra
language,linguagem
large,grande
last,último
late,tarde
laugh,risada
law,direito
lay,lay
lead,conduzir
learn,aprender
least,menos
leave,deixar
led,conduziu
left,esquerda
leg,perna
length,comprimento
less,menos
let,deixar
letter,carta
level,nível
lie,mentira
life,vida
lift,elevador
light,luz
like,como
line,linha
liquid,líquido
list,lista
listen,ouça
little,pouco
live,viver
locate,localizar
log,log
lone,solitário
long,longo
look,olhar
lost,perdido
lot,muito
loud,alto
love,amo
low,baixo
machine,máquina
made,feito
magnet,ímã
main,principal
major,maior
make,fazer
man,homem
many,muitos
map,mapa
mark,marca
market,mercado
mass,massa
master,mestre
match,jogo
material,material de
matter,assunto
may,pode
me,me
mean,significar
meant,significava
measure,medir
meat,carne
meet,meet
melody,melodia
men,homens
metal,de metal
method,método
middle,meio
might,poder
mile,milha
milk,leite
million,milhão
mind,mente
mine,mina
minute,minuto
miss,senhorita
mix,misturar
modern,moderno
molecule,molécula
moment,momento
money,dinheiro
month,mês
moon,lua
more,mais
morning,manhã
most,mais
mother,mãe
motion,movimento
mount,mount
mountain,montanha
mouth,boca
move,mudança
much,muito
multiply,multiplicar
music,música
must,necessário
my,meu
name,nome
nation,nação
natural,naturais
nature,natureza
near,perto
necessary,necessário
neck,pescoço
need,precisa
neighbor,vizinho
never,nunca
new,novo
next,próximo
night,noite
nine,nove
no,não
noise,ruído
noon,meio-dia
nor,nem
north,norte
nose,nariz
note,nota
nothing,nada
notice,aviso
noun,substantivo
now,agora
number,número
numeral,numeral
object,objeto
observe,observar
occur,ocorrer
ocean,oceano
of,de
off,off
offer,oferta
office,escritório
often,muitas vezes
oh,ó
oil,óleo
old,velho
on,em
once,uma vez
one,uma
only,apenas
open,aberto
operate,operar
opposite,oposto
or,ou
order,ordem
organ,órgão
original,original
other,outro
our,nossa
out,fora
over,sobre
own,próprio
oxygen,oxigênio
page,página
paint,pintar
pair,par
paper,papel
paragraph,parágrafo
parent,pai
part,parte
particular,especial
party,festa
pass,passar
past,passado
path,caminho
pattern,padrão
pay,pagar
people,pessoas
perhaps,talvez
period,período
person,pessoa
phrase,frase
pick,escolher
picture,imagem
piece,peça
pitch,campo
place,lugar
plain,plain
plan,plano
plane,avião
planet,planeta
plant,planta
play,jogar
please,por favor
plural,plural
poem,poema
point,ponto
poor,pobre
populate,preencher
port,port
pose,representar
position,posição
possible,possível
post,pós
pound,libra
power,poder
practice,prática
prepare,preparar
present,presente
press,imprensa
pretty,bastante
print,impressão
probable,provável
problem,problema
process,processo
produce,produzir
product,produto
proper,adequada
property,propriedade
protect,proteger
prove,provar
provide,fornecer
pull,puxe
push,empurre
put,colocar
quart,quarto
question,pergunta
quick,rápida
quiet,calma
quite,bastante
quotient,quociente
race,corrida
radio,rádio
rail,trilho
rain,chuva
raise,levantar
ran,ran
range,gama
rather,vez
reach,alcançar
read,ler
ready,pronto
real,reais
reason,razão
receive,receber
record,registro
red,vermelho
region,região
remember,lembre-se
repeat,repetição
reply,responder
represent,representar
require,exigir
rest,resto
result,resultado
rich,rico
ride,passeio
right,direito
ring,anel
rise,subir
river,rio
road,estrada
rock,rocha
roll,rolo
room,quarto
root,raiz
rope,corda
rose,aumentou
round,rodada
row,linha
rub,esfregar
rule,regra
run,run
safe,seguro
said,disse
sail,vela
salt,sal
same,mesmo
sand,areia
sat,sat
save,salvar
saw,serra
say,dizer
scale,escala
school,escola
science,ciência
score,contagem
sea,mar
search,pesquisa
season,temporada
seat,assento
second,segunda
section,seção
see,veja
seed,semente
seem,parecem
segment,segmento
select,selecione
self,auto
sell,vender
send,enviar
sense,sentido
sent,enviado
sentence,sentença
separate,separado
serve,servir
set,conjunto
settle,resolver
seven,sete
several,vários
shall,deve
shape,forma
share,share
sharp,sharp
she,ela
sheet,folha
shell,casca
shine,brilho
ship,navio
shoe,sapato
shop,loja
shore,costa
short,curta
should,deveria
shoulder,ombro
shout,grito
show,exposição
side,lado
sight,vista
sign,sinal
silent,silenciosa
silver,prata
similar,similar
simple,simples
since,desde
sing,cantar
single,único
sister,irmã
sit,sentar-se
six,seis
size,tamanho
skill,habilidade
skin,pele
sky,céu
slave,escravo
sleep,sono
slip,deslizamento
slow,lento
small,pequeno
smell,cheiro
smile,sorriso
snow,neve
so,assim
soft,suave
soil,solo
soldier,soldado
solution,solução
solve,resolver
some,alguns
son,filho
song,canção
soon,em breve
sound,som
south,sul
space,espaço
speak,falar
special,especial
speech,discurso
speed,velocidade
spell,soletrar
spend,passar
spoke,falou
spot,local
spread,propagação
spring,primavera
square,quadrado
stand,ficar
star,estrela
start,começo
state,estado
station,estação
stay,ficar
stead,lugar
steam,vapor
steel,aço
step,passo
stick,vara
still,ainda
stone,pedra
stood,se
stop,pare
store,loja
story,história
straight,reta
strange,estranho
stream,córrego
street,rua
stretch,trecho
string,corda
strong,forte
student,estudante
study,estudo
subject,assunto
substance,substância
subtract,subtrair
success,sucesso
such,tais
sudden,súbita
suffix,sufixo
sugar,açúcar
suggest,sugerir
