english,khmer
a,មួយ
able,អាច
about,អំពី
above,ខាងលើ
act,សកម្មភាព
add,បន្ថែម
afraid,ខ្លាច
after,បន្ទាប់ពី
again,ជាថ្មីម្តងទៀត
against,ប្រឆាំងនឹង
age,អាយុ
ago,មុន
agree,យល់ព្រម
air,ខ្យល់
all,ទាំងអស់
allow,អនុញ្ញាតឱ្យ
also,ក៏
always,តែងតែ
am,ព្រឹក
among,ក្នុងចំណោម
an,មួយ
and,និង
anger,កំហឹង
animal,សត្វ
answer,ចម្លើយ
any,ណាមួយឡើយ
appear,លេចឡើង
apple,ផ្លែប៉ោម
are,មាន
area,តំបន់
arm,ដៃ
arrange,រៀបចំ
arrive,មកដល់
art,សិល្បៈ
as,ដូចជា
ask,សួរ
at,នៅ
atom,អាតូម
baby,ទារក
back,ត្រឡប់មកវិញ
bad,អាក្រក់
ball,បាល់
band,ក្រុម
bank,ធនាគារ
bar,របារ
base,មូលដ្ឋាន
basic,មូលដ្ឋាន
bat,ក្រុមហ៊ុនថ្នាំជក់
be,ជាការ
bear,សូមថ្លែង
beat,ផ្តួល
beauty,សម្រស់
bed,គ្រែ
been,បាន
before,មុនពេល
began,ចាប់ផ្តើម
begin,ចាប់ផ្តើម
behind,នៅពីក្រោយ
believe,ជឿ
bell,កណ្ដឹង
best,ល្អបំផុត
better,កាន់តែប្រសើរឡើង
between,រវាង
big,ធំ
bird,បក្សី
bit,បន្តិច
black,ពណ៌ខ្មៅ
block,ប្លុក
blood,ឈាម
blow,ខ្លែងហើរ
blue,ខៀវ
board,ក្រុមប្រឹក្សាភិបាល
boat,ទូក
body,រាងកាយ
bone,ឆ្អឹង
book,សៀវភៅ
born,កើត
both,ទាំងពីរ
bottom,បាត
bought,ទិញ
box,ប្រអប់
boy,ក្មេងប្រុសម្នាក់
branch,សាខា
bread,នំបុ័ង
break,សម្រាក
bright,ភ្លឺ
bring,នាំយក
broad,ទូលំទូលាយ
broke,បាក់
brother,ប្អូនប្រុស
brought,នាំយក
brown,ត្នោត
build,កសាង
burn,ដុត
busy,រវល់
but,ប៉ុន្តែការ
buy,ទិញ
by,ដោយ
call,ការហៅ
came,បានមក
camp,ជំរំ
can,អាច
capital,មូលធន
captain,ប្រធានក្រុម
car,រថយន្ត
card,កាត
care,ការថែរក្សា
carry,អនុវត្ត
case,ករណី
cat,ឆ្មា
catch,ចាប់
caught,ចាប់បាន
cause,មូលហេតុ
cell,កោសិកា
cent,រយ
center,កណ្តាល
century,សតវត្សរ៍
certain,ជាក់លាក់
chair,កៅអី
chance,ឱកាស
change,ការផ្លាស់ប្តូរ
character,តួអក្សរ
charge,សាក
chart,តារាង
check,ពិនិត្យមើល
chick,chick
chief,ប្រធាន
child,កូនក្មេង
children,កុមារ
choose,ជ្រើសយក
chord,អង្កត់ធ្នូ
circle,រង្វង់
city,ទីក្រុង
claim,ពាក្យបណ្តឹង
class,ថ្នាក់
clean,ស្អាត
clear,ច្បាស់លាស់
climb,ឡើង
clock,នាឡិកា
close,ជិតស្និទ្ធ
clothe,ទំនុកបំរុង
