english,armenian
a,ա
able,կարող
about,մոտ
above,վեր
act,գործ
add,ավելացնել
afraid,վախենում
after,երբ
again,կրկին
against,դեմ
age,դարաշրջան
ago,առաջ
agree,համաձայն
air,օդի
all,ամբողջ
allow,թույլ տալ
also,նույնպես
always,միշտ
am,թեմա.
among,մեջ
an,է
and,իսկ
anger,զայրույթը
animal,կենդանի
answer,պատասխան
any,ցանկացած
appear,հայտնվել
apple,խնձոր
are,են
area,շրջան
arm,arm
arrange,դասավորել
arrive,ժամանել
art,արվեստ
as,ինչպես
ask,խնդրել
at,ի
atom,ատոմ
baby,երեխա
back,վերադառնալ
bad,վատ
ball,գնդակ
band,խումբ
bank,բանկ
bar,բար
base,բազա
basic,հիմնական
bat,խփել
be,լինել
bear,կրել
beat,ծեծել
beauty,գեղեցկություն
bed,մահճակալ
been,եղել
before,մինչեւ
began,սկսվեց
begin,սկսել
behind,ետեւում
believe,հավատալ
bell,զանգ
best,լավագույն
better,ավելի լավ
between,միջեւ
big,մեծ
bird,թռչուն
bit,բիտ
black,սեւ
block,թաղամաս
blood,արյուն
blow,հարված
blue,կապույտ
board,խորհուրդ
boat,նավակ
body,մարմին
bone,ոսկրածուծի
book,հյուրատետր
born,ծնված
both,երկուսն էլ
bottom,հատակ
bought,գնել
box,տուփ
boy,տղա
branch,մասնաճյուղ
bread,հաց
break,կոտրել
bright,պայծառ
bring,բերել
broad,լայն
broke,խախտել
brother,եղբայր
brought,բերեց
brown,դարչնագույն
build,կառուցել
burn,այրել
busy,զբաղված
but,բայց
buy,գնել
by,ի
call,կոչ
came,եկել
camp,ճամբար
can,կարող
capital,կապիտալ
captain,կապիտան
car,ավտոմեքենա
card,հարցաթերթիկ
care,խնամք
carry,կրել
case,գործ
cat,կատու
catch,բռնել
caught,բռնել
cause,պատճառը
cell,բջջային
cent,ցենտ
center,կենտրոն
century,դար
certain,որոշակի
chair,աթոռ
chance,շանս
change,փոփոխություն
character,բնավորությունը
charge,անվճար
chart,աղյուսակը
check,ստուգում
chick,չիկ
chief,գլխավոր
child,երեխա
children,երեխաներ
choose,ընտրել
chord,կապան
circle,շրջան
city,քաղաք
claim,պահանջը
class,դաս
clean,մաքուր
clear,պարզ
climb,բարձրանալ
clock,ժամացույց
close,մոտիկ
clothe,հագցնել
cloud,ամպ
coast,ափ
coat,վերարկու
cold,ցուրտ
collect,հավաքել
colony,գաղութ
color,գույն
column,սյունակ
come,գալ
common,ընդհանուր
company,ընկերությունը
compare,համեմատել
complete,ամբողջական
condition,վիճակ
connect,միացնել
consider,համարում
consonant,համահունչ
contain,պարունակել
continent,անարատ
continue,շարունակել
control,վերահսկիչ
cook,խոհարար
cool,զով
copy,օրինակ
corn,եգիպտացորեն
corner,անկյուն
correct,ճիշտ
cost,ծախսերը
cotton,բամբակ
could,կարող
count,հաշվել
country,երկիր
course,դասընթաց
cover,կազմ
cow,կով
crease,ծալել
create,ստեղծել
crop,բուսաբուծություն
cross,անցնել
crowd,ամբոխ
cry,լաց
current,ընթացիկ
cut,կտրել
dad,հայրիկ
dance,պարի
danger,վտանգ
dark,մութ
day,օր
dead,մեռած
deal,զբաղվել
dear,սիրելի
death,մահվան
decide,որոշել
decimal,տասնորդական
deep,խոր
degree,աստիճան
depend,կախված
describe,նկարագրել
desert,անապատ
design,դիզայն
determine,որոշել
develop,զարգանալ
dictionary,բառարան
did,արել
die,մեռնել
differ,տարբերվել
difficult,դժվար
direct,ուղղակի
discuss,քննարկել
distant,հեռավոր
divide,բաժանել
division,բաժին
do,անել
doctor,բժիշկ
does,մենք
dog,շուն
dollar,դոլար
done,կատարած
don’t,չեն
door,դուռը
double,կրկնակի
down,ներքեւ
draw,նկարել
dream,երազ
dress,զգեստ
drink,խմել
