english,kurdish
a,yek
able,kêrhat
about,ji dor
above,ser
act,ewlekarî
add,lêzêdekirin
afraid,tirsane
after,piştî
again,dîsa
against,dijî
age,kalbûn
ago,pêşî
agree,qebûlkirin
air,hewa
all,gişt
allow,destûrdan
also,jî
always,herdem
am,im
among,bin
an,an
and,û
anger,hêrs
animal,teba
answer,bersiv
any,herçiyek
appear,xûyabûn
apple,sêv
are,in
area,dewer
arm,pîl
arrange,lihevhatin
arrive,gihîştin
art,fen
as,dema
ask,pirsîn
at,ba
atom,atom
baby,bebek
back,paş
bad,xerab
ball,gog
band,koma
bank,banke
bar,bar
base,bingeh
basic,bingehîn
bat,paçmêlk
be,be
bear,hirç
beat,lêdan
beauty,çelengî
bed,nivîn
been,bûye
before,berî
began,dest pê kir
begin,destpêkirin
behind,paş
believe,bawerîn
bell,zengil
best,baştirîn
better,baştir
between,navber
big,mezin
bird,teyr
bit,gem
black,reş
block,deste
blood,xwîn
blow,nepixandin
blue,şîn
board,pêşewarî
boat,qeyik
body,beden
bone,hestî
book,pirtûk
born,zayî
both,herdû
bottom,erd
bought,kirîn
box,qûtîk
boy,xort
branch,liq
bread,nan
break,şikesta
bright,ronî
bring,anîn
broad,fireh
broke,îflasî
brother,brak
brought,anîn
brown,qehweyî
build,avakirin
burn,birîna şewatê
busy,bikar
but,lebê
buy,kirrîn
by,ji
call,bang
came,hatin
camp,cîkon
can,qûtîk
capital,paytext
captain,kaptan
car,trimbêl
card,qert
care,bibalî
carry,hilgirtin
case,doz
cat,pisîk
catch,girtin
caught,girtin
cause,semed
cell,koşik
cent,ji sedî
center,navîne
century,sedsal
certain,qetî
chair,kûrsî
chance,tesadûf
change,gûherrandinî
character,şexsîyet
charge,biha
chart,qebale
check,berçavkirinî
chick,chick
chief,serok
child,zarok
children,zarok
choose,helbijartin
chord,denglihevanînî
circle,çember
city,bajar
claim,maf
class,sinif
clean,pak
clear,zelal
climb,rapelikandin
clock,seet
close,nêzîkî
clothe,lebaslêkirin
cloud,ewr
coast,derav
coat,post
cold,sarma
collect,berhevkirin
colony,mistemleke
color,reng
column,ling
come,hatin
common,hevre
company,şîrket
compare,mûqayesekirin
complete,tevî
condition,rewş
connect,bihevgirêdan
consider,dîtin
consonant,dengdêr
contain,bêdengman
continent,qite
continue,berdewamkirin
control,kontrol
cook,aşbaz
cool,xwînsar
copy,kopî
corn,garis
corner,qozî
correct,serrast
cost,nirx
cotton,pembo
could,nikaribû
count,jimartin
country,welat
course,kûrs
cover,lihêv
cow,çêlek
crease,crease
create,xûliqandin
crop,zadçinî
cross,xaç
crowd,çende
cry,girîn
current,vêga
cut,birrîn
dad,bav
dance,dans
danger,talûke
dark,tarî
day,roj
dead,mirî
deal,bazirganî
dear,hêja
death,mirin
decide,biryardan
decimal,dehek de
deep,kûr
degree,derece
depend,pêvgirêdan
describe,terîfkirin
desert,çol
design,mînakkirin
determine,binavkirin
develop,pêşvebirin
dictionary,ferheng
did,kir
die,mirin
differ,cuda
difficult,asteng
direct,seranser
discuss,hevaxaftin
distant,dûr
divide,parkirin
division,parî
do,çi
doctor,pizişk
does,nayê
dog,seh
dollar,dolaran
done,"kirin,"
don’t,çi ne
door,derî
double,dûcar
down,jêr
draw,xetkirin
dream,xewn
dress,lebas
drink,vexwarin
drive,ajotin
drop,dilopkirin
dry,zûha
duck,werdek
during,dema
each,herkes
ear,gûh
early,zû
earth,erd
ease,sivikî
east,rohilat
eat,xwarin
edge,qerax
effect,tesîr
egg,hêk
eight,heşt
