english,dutch
a,een
able,in staat
about,over
above,boven
act,act
add,toevoegen
afraid,bang
after,na
again,weer
against,tegen
age,leeftijd
ago,geleden
agree,instemmen
air,lucht
all,alle
allow,toelaten
also,ook
always,altijd
am,ben
among,onder
an,een
and,en
anger,woede
animal,dier
answer,antwoord
any,een
appear,verschijnen
apple,appel
are,zijn
area,gebied
arm,arm
arrange,regelen
arrive,aankomen
art,kunst
as,als
ask,vragen
at,bij
atom,atoom
baby,kindje
back,terug
bad,slecht
ball,bal
band,band
bank,bank
bar,bar
base,base
basic,elementaire
bat,vleermuis
be,zijn
bear,dragen
beat,verslaan
beauty,schoonheid
bed,bedden
been,geweest
before,voor
began,begon
begin,beginnen
behind,achter
believe,geloven
bell,bell
best,best
better,beter
between,tussen
big,grote
bird,vogel
bit,beetje
black,zwart
block,blokkeren
blood,bloed
blow,klap
blue,blauw
board,boord
boat,boot
body,lichaam
bone,bot
book,boek
born,geboren
both,beide
bottom,onderzijde
bought,gekocht
box,doos
boy,jongen
branch,tak
bread,brood
break,break
bright,heldere
bring,brengen
broad,brede
broke,brak
brother,broer
brought,bracht
brown,bruin
build,bouwen
burn,verbranden
busy,drukke
but,maar
buy,kopen
by,door
call,roep
came,kwam
camp,kamp
can,kan
capital,hoofdstad
captain,kapitein
car,auto
card,kaart
care,zorg
carry,dragen
case,geval
cat,kat
catch,vangst
caught,gevangen
cause,oorzaak
cell,cel
cent,procent
center,centrum
century,eeuw
certain,bepaalde
chair,stoel
chance,kans
change,verandering
character,karakter
charge,rekenen
chart,grafiek
check,controleren
chick,kuiken
chief,chief
child,kind
children,kinderen
choose,kiezen
chord,akkoord
circle,cirkel
city,stad
claim,vordering
class,klasse
clean,schoon
clear,duidelijk
climb,klimmen
clock,klok
close,dicht
clothe,kleden
cloud,wolk
coast,kust
coat,coat
cold,koude
collect,verzamelen
colony,kolonie
color,kleur
column,column
come,komen
common,gemeenschappelijke
company,bedrijf
compare,vergelijken
complete,compleet
condition,voorwaarde
connect,aansluiten
consider,overwegen
consonant,medeklinker
contain,bevatten
continent,werelddeel
continue,blijven
control,controle
cook,kok
cool,koele
copy,kopie
corn,maïs
corner,hoek
correct,juist
cost,kosten
cotton,katoen
could,kon
count,tellen
country,land
course,cursus
cover,afdekking
cow,koe
crease,vouw
create,creëren
crop,gewas
cross,oversteken
crowd,menigte
cry,huilen
current,huidige
cut,gesneden
dad,dad
dance,dans
danger,gevaar
dark,donker
day,dag
dead,dood
deal,deal
dear,lieve
death,dood
decide,beslissen
decimal,decimaal
deep,diepe
degree,graad
depend,afhangen
describe,beschrijven
desert,woestijn
design,ontwerp
determine,bepalen
develop,ontwikkelen
dictionary,woordenboek
did,deed
die,sterven
differ,verschillen
difficult,moeilijk
direct,rechtstreeks
discuss,bespreken
distant,verre
divide,kloof
division,divisie
do,doen
doctor,arts
does,doet
dog,hond
dollar,deas
done,gedaan
don’t,niet
door,deur
double,dubbel
down,naar beneden
draw,tekenen
dream,dromen
dress,kleding
drink,drankje
drive,rijden
drop,laten vallen
dry,droge
duck,eend
during,tijdens
each,elk
ear,oor
early,vroeg
earth,aarde
ease,gemak
east,oosten
eat,eet
edge,edge
effect,werking
egg,ei
eight,acht
either,ofwel
electric,elektrische
element,onderdeel
else,anders
end,end
enemy,vijand
energy,energie
engine,motor
enough,genoeg
enter,voeren
equal,gelijk
equate,gelijk
especially,vooral
even,zelfs
evening,avond
event,evenement
ever,ooit
every,elke
exact,exacte
example,voorbeeld
except,behalve
excite,excite
exercise,oefening
expect,verwachten
experience,ervaring
experiment,experiment
eye,oog
face,gezicht
fact,feit
fair,eerlijk
fall,vallen
family,familie
famous,beroemde
far,ver
farm,boerderij
fast,snel
fat,vet
father,vader
favor,gunst
fear,angst
feed,voer
feel,voelen
feet,voeten
fell,viel
felt,vilt
few,weinig
field,veld
fig,vijg
fight,strijd
figure,figuur
fill,vullen
final,finale
find,vinden
fine,fijne
finger,vinger
finish,afwerking
fire,brand
first,eerste
fish,vis
fit,passen
five,vijf
flat,flat
floor,vloer
flow,stromen
flower,bloem
fly,vliegen
follow,volgen
food,voedsel
foot,voet
for,voor
force,kracht
forest,bos
form,vorm
forward,vooruit
found,gevonden
four,vier
fraction,fractie
free,gratis
fresh,vers
friend,vriend
from,van
front,voorzijde
fruit,fruit
full,volledige
fun,lol
game,spel
garden,tuin
gas,gas
gather,verzamelen
gave,gaf
general,algemeen
gentle,zachte
get,krijgen
girl,meisje
give,geven
glad,blij
glass,glas
go,gaan
gold,goud
gone,weg
good,goed
got,kreeg
govern,regeren
grand,grand
grass,gras
gray,grijs
great,grote
green,groen
grew,groeide
ground,grond
group,groep
grow,groeien
guess,denk
guide,begeleiden
gun,pistool
had,had
hair,haar
half,helft
hand,de hand
happen,gebeuren
happy,happy
hard,hard
has,heeft
hat,hoed
have,hebben
he,hij
head,hoofd
hear,hear
heard,gehoord
heart,hart
heat,warmte
heavy,zwaar
held,gehouden
help,helpen
her,haar
here,hier
high,hoog
hill,hill
him,hem
his,zijn
history,geschiedenis
hit,hit
hold,houden
hole,gat
home,thuis
hope,hopen
horse,paard
hot,heet
hour,uur
house,huis
how,hoe
huge,reusachtig
human,menselijk
hundred,honderd
hunt,hunt
hurry,haast
i,i
ice,ijs
idea,idee
if,indien
imagine,stel
in,in
inch,inch
include,omvatten
indicate,geven
industry,industrie
insect,insecten
instant,onmiddellijke
instrument,instrument
interest,rente
invent,uitvinden
iron,ijzer
is,is
island,eiland
it,het
job,werk
join,toetreden tot
joy,vreugde
jump,springen
just,gewoon
keep,houden
kept,gehouden
key,sleutel
kill,doden
kind,soort
king,king
knew,wist
know,weten
lady,dame
lake,meer
land,land
language,taal
large,grote
last,laatste
late,laat
laugh,lachen
law,wet
lay,leggen
lead,leiden
learn,leren
least,minste
leave,vertrekken
led,geleid
left,links
leg,been
length,lengte
less,minder
let,laten
letter,brief
level,niveau
lie,leugen
life,leven
lift,lift
light,licht
like,zoals
line,lijn
liquid,vloeistof
list,lijst
listen,luisteren
little,weinig
live,wonen
locate,lokaliseren
log,aanmelden
lone,eenzame
long,lang
look,kijken
lost,verloren
lot,veel
loud,luid
love,liefde
low,laag
machine,apparaat
made,gemaakt
magnet,magneet
main,belangrijkste
major,grote
make,maken
man,man
many,veel
map,kaart
mark,mark
market,markt
mass,massa
master,meester
match,wedstrijd
material,materiaal
matter,aangelegenheid
may,kan
me,mij
mean,betekenen
meant,betekende
measure,meten
meat,vlees
meet,ontmoeten
melody,melodie
men,mannen
metal,metalen
method,methode
middle,midden
might,zou
mile,mijl
milk,melk
million,miljoen
mind,geest
mine,de mijne
minute,minuut
miss,miss
mix,mengen
modern,moderne
molecule,molecuul
moment,momenteel
money,geld
month,maand
moon,maan
more,meer
morning,ochtend
most,meest
mother,moeder
motion,beweging
mount,berg
mountain,berg
mouth,mond
move,verhuizing
much,veel
multiply,vermenigvuldigen
music,muziek
must,moet
my,mijn
name,naam
nation,natie
natural,natuurlijke
nature,natuur
near,dichtbij
necessary,noodzakelijk
neck,nek
need,nodig hebben
neighbor,buurman
never,nooit
new,nieuwe
next,volgende
night,nacht
nine,negen
no,geen
noise,geluidsoverlast
noon,middag
nor,noch
north,noorden
nose,neus
note,noot
nothing,niets
notice,kennisgeving
noun,zelfstandig naamwoord
now,nu
number,aantal
numeral,cijfer
object,object
observe,waarnemen
occur,voorkomen
ocean,oceaan
of,van
off,uitgeschakeld
offer,aanbod
office,kantoor
often,vaak
oh,oh
oil,olie
old,oude
on,op
once,eenmaal
one,een
only,alleen
open,geopend
operate,werken
opposite,tegengesteld
or,of
order,orde
organ,orgel
original,origineel
other,andere
our,onze
out,uit
over,meer dan
own,eigen
oxygen,zuurstof
page,pagina
paint,schilderen
pair,paar
paper,papier
paragraph,paragraaf
parent,ouder
part,deel
particular,bijzonder
party,partij
pass,passeren
past,verleden
path,pad
pattern,patroon
pay,betalen
people,mensen
perhaps,misschien
period,periode
person,persoon
phrase,zinsnede
pick,pick
picture,afbeelding
piece,stuk
pitch,toonhoogte
place,plaats
plain,vlakte
plan,plannen
plane,vliegtuig
planet,planeet
plant,planten
play,spelen
please,aub
plural,meervoud
poem,gedicht
point,punt
poor,slechte
populate,bevolken
port,poort
pose,pose
position,positie
possible,mogelijk
post,post
pound,pond
power,kracht
practice,praktijk
prepare,bereiden
present,aanwezig
press,pers
pretty,vrij
print,afdrukken
probable,waarschijnlijk
problem,probleem
process,proces
produce,produceren
product,artikel
proper,behoorlijk
property,pand
protect,beschermen
prove,bewijzen
provide,bieden
pull,trek
push,duw
put,zetten
quart,quart
question,vraag
quick,snel
quiet,rustig
quite,heel
quotient,quotiënt
race,ras
radio,radio in
rail,spoor
rain,regen
raise,verhogen
ran,ran
range,reeks
rather,eerder
reach,bereiken
read,lezen
ready,klaar
real,echt
reason,reden
receive,ontvangen
record,opnemen
red,rood
region,regio
remember,onthouden
repeat,herhaal
reply,antwoorden
represent,vertegenwoordigen
require,vereisen
rest,rest
result,resultaat
rich,rijk
ride,rit
right,rechts
ring,kookplaten
rise,stijgen
river,rivier
road,weg
rock,rots
roll,rol
room,kamer
root,wortel
rope,touw
rose,gestegen
round,ronde
row,rij
rub,wrijven
rule,regel
run,lopen
safe,veilig
said,zei
sail,zeil
salt,zout
same,hetzelfde
sand,zand
sat,zat
save,besparen
saw,zaag
say,zeggen
scale,schaal
school,de school
science,wetenschap
score,partituur
sea,zee
search,zoeken
season,seizoen
seat,zitje
second,tweede
section,sectie
see,zien
seed,zaad
seem,lijken
segment,segmenten
select,selecteren
self,zelf
sell,verkopen
send,sturen
sense,sense
sent,verzonden
sentence,zin
separate,apart
serve,dienen
set,set
settle,vestigen
seven,zeven
several,verscheidene
shall,zal
shape,vorm
share,aandeel
sharp,scherpe
she,ze
sheet,blad
shell,schelp
shine,glans
ship,schip
shoe,schoen
shop,winkel
shore,oever
short,korte
should,moeten
shoulder,schouder
shout,schreeuw
show,show
side,kant
sight,zicht
sign,teken
silent,stil
silver,zilver
similar,gelijkaardige
simple,eenvoudig
since,sinds
sing,zingen
single,enkelvoudige
sister,zus
sit,zitten
six,zes
size,grootte
skill,vaardigheid
skin,huid
sky,hemel
slave,slaaf
sleep,slaap
slip,slip
slow,langzaam
small,klein
smell,geur
smile,glimlach
snow,sneeuw
so,dus
soft,zachte
soil,bodem
soldier,soldaat
solution,oplossing
solve,op te lossen
some,sommige
son,zoon
song,lied
soon,spoedig
sound,klinken
south,zuiden
space,ruimte
speak,spreken
special,speciaal
speech,spraak
speed,snelheid
spell,spell
spend,besteden
spoke,sprak
spot,plek
spread,spreiding
spring,voorjaar
square,square
stand,staan
star,ster
start,begin
state,staat
station,station
stay,blijven
stead,plaats
steam,stoom
steel,staal
step,stap
stick,stok
still,nog
stone,steen
stood,stond
stop,stop
store,winkel
story,verhaal
straight,straight
strange,vreemd
stream,stroom
street,straat
stretch,rekken
string,koord
strong,sterke
student,leerling
study,studie
subject,onderwerp
substance,stof
subtract,aftrekken
success,succes
such,dergelijke
sudden,plotseling
suffix,achtervoegsel
sugar,suiker
suggest,suggereren
suit,pak
summer,zomer
sun,zon
supply,levering
support,ondersteuning
sure,zeker
surface,oppervlak
surprise,verrassing
swim,zwemmen
syllable,lettergreep
symbol,symbool
system,systeem
table,tafel
tail,staart
take,nemen
talk,overleg
tall,hoog
teach,leren
team,team
teeth,tanden
tell,vertellen
temperature,temperatuur
ten,tien
term,termijn
test,toets
than,dan
thank,dank
that,dat
the,de
their,hun
them,hen
then,dan
there,er
these,deze
they,ze
thick,dikke
thin,dun
thing,ding
think,denken
third,derde
this,deze
those,die
though,hoewel
thought,gedachte
thousand,duizend
three,drie
through,door
throw,gooien
thus,dus
tie,stropdas
time,tijd
tiny,minuscuul
tire,band
to,aan
together,samen
told,vertelde
tone,toon
too,ook
took,nam
tool,gereedschap
top,boven
total,totaal
touch,aanraken
toward,in de richting van
town,stad
track,spoor
trade,handel
train,trein
travel,reizen
tree,boom
triangle,driehoek
trip,reis
trouble,problemen
truck,vrachtwagen
true,ware
try,proberen
tube,buis
turn,beurt
twenty,twintig
two,twee
type,soort
under,onder
unit,eenheid
until,tot
up,omhoog
us,ons
use,gebruiken
usual,gebruikelijke
valley,dal
value,waarde
vary,variëren
verb,werkwoord
very,zeer
view,view
village,dorp
visit,bezoek
voice,stem
vowel,klinker
wait,wachten
walk,lopen
wall,muur
want,willen
war,oorlog
warm,warme
was,was
wash,wassen
watch,kijken
water,water
wave,wave
way,manier
we,we
wear,dragen
weather,weer
week,week
weight,gewicht
well,goed
went,ging
were,waren
west,west
what,wat
wheel,wiel
when,wanneer
where,waar
whether,of
which,die
while,terwijl
white,wit
who,die
whole,geheel
whose,wiens
why,waarom
wide,breed
wife,vrouw
wild,wild
will,zal
win,win
wind,wind
window,venster
wing,vleugel
winter,de winter
wire,draad
wish,wensen
with,met
woman,vrouw
women,vrouwen
wonder,afvragen
won’t,zal niet
wood,hout
word,woord
work,werk
world,wereld
would,zou
write,schrijven
written,geschreven
wrong,mis
wrote,schreef
yard,yard
year,jaar
yellow,geel
yes,ja
yet,nog
you,u
young,jonge
your,uw
