english,sindhi
a,هڪ
able,وس
about,جي باري ۾
above,مٿي
act,ايڪٽ
add,شامل
afraid,ڊڄو
after,پوء
again,ٻيهر
against,خلاف
age,عمر
ago,اڳ
agree,متفق
air,هوائي
all,سڀ
allow,جي اجازت
also,به
always,هميشه
am,آهيان
among,مان
an,هڪ
and,۽
anger,ڪاوڙ
animal,حيوان
answer,جواب
any,ڪنهن به
appear,ظاهر
apple,صوف
are,آهن
area,علائقي
arm,بجا
arrange,بندوبست
arrive,پهچڻ
art,فن
as,جيئن
ask,پڇا ڳاڇا
at,تي
atom,جوهر
baby,بيبي
back,واپس
bad,خراب
ball,طالب المولي
band,موڪلايو
bank,ڪناري تي
bar,بار
base,بنيادي طور
basic,بنيادي
bat,بيٽ
be,ٿي
bear,کڻندو
beat,نزاڪت
beauty,حسن
bed,پلنگ
been,ٿي
before,کان اڳ
began,شروع
begin,شروع
behind,پويان
believe,ايمان
bell,بيل
best,بهترين
better,ڀلي
between,جي وچ ۾
big,وڏي
bird,پکي
bit,سا
black,ڪارو
block,بلاڪ
blood,رت
blow,لڳڻ
blue,نيرو
board,بورڊ
boat,ٻيڙيء
body,جسم
bone,بون
book,ڪتاب
born,ڄائو
both,ٻنهي
bottom,تري ۾
bought,خريد
box,باڪس
boy,ڇوڪرو
branch,شاخ
bread,ماني
break,وقفو
bright,روشن
bring,آڻيو
broad,وسيع
broke,ڀڃي
brother,ڀاءُ
brought,حاضر
brown,ناسي
build,کپن
burn,ساڙيو
busy,مصروف
but,پر
buy,خريد
by,جي
call,سڏ
came,آيو
camp,ڪيمپ
can,سگهن ٿا
capital,گاديء جو
captain,ڪئپٽن
car,ڪار
card,ڪارڊ
care,خيال
carry,کڻڻ
case,صورت
cat,بلي
catch,پڪڙي
caught,پڪڙجي
cause,سبب
cell,سيل
cent,سيڪڙو
center,مرڪز
century,صدي عيسويء
certain,ڪجهه
chair,شخصيتن
chance,اتفاق
change,تبديلي
character,ڪردار
charge,چارج
chart,چارٽ
check,چيڪ
chick,نوت
chief,چيف
child,ٻار
children,ٻارن
choose,چونڊي
chord,راگ گري
circle,جو دائرو
city,شهر
claim,دعوي
class,طبقاتي
clean,صاف
clear,واضح
climb,چڙهڻ
clock,گھڙي
close,بند
clothe,ملائيندا
cloud,ڪڪر
coast,سامونڊي ڪناري
coat,ڪوٽ
cold,ڀڌ
collect,گڏ
colony,ڪالوني
color,رنگ
column,ڪالمن
come,اچي
common,عام
company,ڪمپني
compare,صورت
complete,مڪمل
condition,حالت
connect,سان ڳنڍڻ
consider,غور
consonant,ٻيڙي
contain,تي مشتمل
continent,سنسڪرت
continue,جاري
control,ڪنٽرول
cook,پچائڻ
cool,عمده
copy,ڪاپي
corn,کارن
corner,ڪنڊ
correct,صحيح
cost,خرچ
cotton,ڪپهه
could,ٿي سگهي
count,شمار
country,ملڪ
course,البته
cover,ڪپڙا
cow,ڍڳي
crease,crease
create,پيدا
crop,فصل
cross,صليب
crowd,ميڙ
cry,رڙ
current,موجوده
cut,پٽي
dad,داد
dance,ناچ
danger,خطرو
dark,سڪو
day,ڏينهن
dead,مري
deal,ڊيل
dear,پيارا
death,موت
decide,فيصلو
decimal,اعشاري
deep,رڙيون
degree,وڏا
depend,ڀاڙي
describe,بيان
desert,ٿر
design,خاڪي
determine,اهو طئي
develop,ترقيء
dictionary,لغت
did,ڪيو
die,مرڻ
differ,اختلاف
difficult,مشڪل
direct,سڌو
discuss,بحث
distant,جي فاصلي تي
divide,جدا
division,جدائي
do,ٿا
doctor,ڊاڪٽر
does,ٿو
dog,ڪتو
dollar,ڊالر
done,مڪمل ٿيو
don’t,نه ڪندا
door,در
double,ڊبل
down,نازل
draw,ڪڍو
dream,خواب
dress,لباس
drink,پيو
drive,بيوس
drop,بوند
dry,سڪي
duck,بدڪ
during,دوران
each,هر
ear,ڪن
early,جي شروعات
earth,زمين
ease,آسانيء
east,اوڀر
eat,کائڻ
edge,پاسيري
effect,اثر
egg,آنا
eight,اٺ
either,يا
electric,بجليء
element,هدايت
else,هم عصر
end,آخر ۾
enemy,دشمن
energy,توانائي
engine,انجڻ
enough,ڪافي
enter,داخل
equal,برابر
equate,مائر
especially,خاص طور تي
even,به
evening,شام
event,واقعي
ever,هونئن به
every,هر
exact,ٺيڪ ٺاڪ
example,مثال
except,کان سواء
excite,وجھي
exercise,ج
expect,اميد
experience,تجربو
experiment,تجربو
eye,اک
face,منهن
fact,حقيقت اها آهي ته
fair,چڱو
fall,گر
family,خاندان
famous,مشهور
far,پري
farm,کيت
fast,روزو
fat,وسا
father,پيءُ
favor,احسان
fear,خوف
feed,فيڊ
feel,لڳي
feet,پير
fell,ور
felt,محسوس
few,چند
field,ميدان ۾
fig,انجير
fight,جنگ
figure,شخصيت
fill,ڀريندا
final,آخري
find,مل
fine,ٺيڪ
finger,آڱر
finish,ختم ڪر
fire,باهه
first,پهريون
fish,مڇي
fit,مناسب
five,پنج
flat,لوڻ
floor,منزل
flow,وهڪري
flower,گلن
fly,مک
follow,جي تابعداري ڪريو
food,کاڌو
foot,دامن
for,لاء
force,قوت
forest,ٻيلو
form,فارم
forward,اڳتي
found,مليو
four,چار
fraction,تعريف
free,واندو
fresh,تازو
friend,دوست
from,کان
front,مئٽرڪ
fruit,ڦر
full,مڪمل
fun,لطف
game,شڪار
garden,باغ
gas,گئس
gather,گڏ
gave,ڏنوسون
general,عام
gentle,مهربان
get,حاصل
girl,ڇوڪري
give,ڏي
glad,خوشخبري
glass,گلاس
go,وڃو
gold,هونء به
gone,ٿي چڪي
good,سٺو
got,وغيره وغيره
govern,حڪومت
grand,پوٽي
grass,گاهه
gray,ڀورو
great,زبردست
green,سائو
grew,پوک
ground,زمين
group,گروپ
grow,سٺا
guess,گمان
