english,polish
a,ciągnąć
able,zdolny
about,o
above,powyżej
act,akt
add,dodać
afraid,boi
after,później
again,ponownie
against,przed
age,wiek
ago,temu
agree,zgadzam się
air,powietrze
all,wszystko
allow,dopuszczać
also,również
always,zawsze
am,am
among,między
an,próba
and,i
anger,złość
animal,zwierząt
answer,odpowiedź
any,dowolny
appear,pojawiają się
apple,jabłko
are,są
area,obszar
arm,ramię
arrange,zorganizować
arrive,przyjazd
art,sztuka
as,jak
ask,zapytaj
at,w
atom,atom
baby,dziecko
back,z powrotem
bad,zły
ball,piłka
band,zespół
bank,bank
bar,bar
base,podstawa
basic,podstawowy
bat,nietoperz
be,być
bear,niedźwiedź
beat,pokonać
beauty,urody
bed,łóżko
been,było
before,przed
began,rozpoczął
begin,zacząć
behind,za
believe,wierzyć
bell,dzwon
best,najlepszy
better,lepiej
between,między
big,duży
bird,ptaka
bit,kawałek
black,czarny
block,blok
blood,krwi
blow,cios
blue,niebieski
board,wyżywienie
boat,łódź
body,ciało
bone,kości
book,książka
born,urodzony
both,zarówno
bottom,dolny
bought,kupiony
box,skrzynka
boy,chłopiec
branch,gałęzi
bread,chleb
break,przerwa
bright,jasny
bring,przynieść
broad,szeroki
broke,złamał
brother,brat
brought,wniesiona
brown,brązowy
build,budować
burn,palić
busy,zajęty
but,ale
buy,kupić
by,przez
call,wezwanie
came,spokojnie
camp,obóz
can,puszka
capital,kapitał
captain,kapitan
car,samochód
card,karta
care,opieka
carry,nieść
case,sprawa
cat,kot
catch,catch
caught,złapany
cause,przyczyna
cell,komórek
cent,centów
center,centrum
century,wiek
certain,pewny
chair,krzesło
chance,szansa
change,zmiana
character,znaków
charge,naładować
chart,wykres
check,sprawdź
chick,pisklę
chief,szef
child,dziecko
children,dzieci
choose,wybrać
chord,akord
circle,krąg
city,miasto
claim,oświadczenie
class,klasa
clean,czyste
clear,jasne
climb,wznoszenia
clock,zegary
close,blisko
clothe,odziać
cloud,chmura
coast,wybrzeże
coat,płaszcz
cold,zimno
collect,zbierać
colony,kolonia
color,kolor
column,kolumna
come,przyjść
common,wspólny
company,firma
compare,porównanie
complete,pełna
condition,stan
connect,podłącz
consider,rozważać
consonant,spółgłoska
contain,zawierają
continent,kontynent
continue,dalej
control,kontrola
cook,kucharz
cool,chłodny
copy,kopia
corn,kukurydza
corner,narożnik
correct,poprawny
cost,koszt
cotton,bawełna
could,może
count,liczyć
country,kraj
course,oczywiście
cover,okładka
cow,krowa
crease,marszczyć
create,stworzenia
crop,upraw
cross,krzyż
crowd,tłum
cry,krzyk
current,aktualny
cut,cięcie
dad,tata
dance,taniec
danger,niebezpieczeństwo
dark,ciemny
day,dzień
dead,martwy
deal,sprawa
dear,drogi
death,śmierć
decide,zdecydować
decimal,dziesiętny
deep,głęboko
degree,stopień
depend,zależy
describe,opisania
desert,pustynia
design,projekt
determine,określenia
develop,rozwijać
dictionary,słownik
did,nie
die,śmierć
differ,różnią
difficult,trudne
direct,bezpośrednie
discuss,omówić
distant,odległy
divide,podzielić
division,podział
do,zrobić
doctor,lekarz
does,nie
dog,pies
dollar,dolar
done,gotowe
don’t,nie
door,drzwi
double,podwójne
down,w dół
draw,rysować
dream,śnić
dress,sukienka
drink,pić
drive,napęd
drop,upuścić
