english,yiddish
a,אַ
able,קענען
about,וועגן
above,אויבן
act,אַקט
add,לייגן
afraid,דערשראָקן
after,נאָך
again,ווידער
against,קעגן
age,עלטער
ago,צוריק
agree,שטימען
air,לופט
all,אַלע
allow,לאָזן
also,אויך
always,שטענדיק
am,בין
among,צווישן
an,אַן
and,און
anger,קאַס
animal,כייַע
answer,ענטפֿערן
any,קיין
appear,דערשייַנען
apple,עפּל
are,זענען
area,געגנט
arm,אָרעם
arrange,צולייגן
arrive,אָנקומען
art,קונסט
as,ווי
ask,פרעגן
at,אין
atom,אַטאָם
baby,בעיבי
back,צוריק
bad,שלעכט
ball,פּילקע
band,באַנדע
bank,באַנק
bar,באַר
base,באַזע
basic,יקערדיק
bat,פלעדערמויז
be,זיין
bear,בער
beat,קלאַפּן
beauty,שיינקייט
bed,בעט
been,געווען
before,איידער
began,אנגעהויבן
begin,אָנהייבן
behind,הינטער
believe,גלויבן
bell,גלאָק
best,בעסטער
better,בעסער
between,צווישן
big,גרויס
bird,פויגל
bit,שטיקל
black,שוואַרץ
block,פאַרשפּאַרן
blood,בלוט
blow,קלאַפּ
blue,בלוי
board,ברעט
boat,שיפל
body,גוף
bone,ביין
book,בוך
born,געבוירן
both,ביידע
bottom,דנאָ
bought,געקויפט
box,קעסטל
boy,יינגל
branch,צווייַג
bread,ברויט
break,ברעכן
bright,ליכטיק
bring,ברענגען
broad,ברייט
broke,אָנ געלט
brother,ברודער
brought,געבראכט
brown,ברוין
build,בויען
burn,ברענען
busy,פאַרנומען
but,אָבער
buy,קויפן
by,דורך
call,רופן
came,געקומען
camp,לאַגער
can,קענען
capital,קאפיטאל
captain,קאַפּיטאַן
car,מאַשין
card,קאָרט
care,זאָרגן
carry,פירן
case,פאַל
cat,קאַץ
catch,כאַפּן
caught,געכאפט
cause,גרונט
cell,צעל
cent,סענט
center,צענטער
century,יאָרהונדערט
certain,זיכער
chair,שטול
chance,געלעגנהייַט
change,טוישן
character,פּאַרשוין
charge,אָפּצאָל
chart,טשאַרט
check,טשעק
chick,פייגעלע
chief,ראשי
child,קינד
children,קינדער
choose,קלייַבן
chord,קאָרד
circle,קרייַז
city,שטאָט
claim,טענה
class,קלאַס
clean,ריין
clear,קלאָר
climb,קריכן
clock,זייגער
close,נאָענט
clothe,אָנטאָן
cloud,וואָלקן
coast,ברעג
coat,מאַנטל
cold,קאַלט
collect,זאַמלען
colony,קאַלאַני
color,קאָליר
column,זייַל
come,קומען
common,פּראָסט
