english,urdu
a,ایک
able,قابل
about,کے بارے میں
above,اوپر
act,ایکٹ
add,شامل
afraid,ڈر
after,کے بعد
again,پھر
against,کے خلاف
age,عمر
ago,پہلے
agree,اتفاق
air,ہوا
all,تمام
allow,کی اجازت
also,بھی
always,ہمیشہ
am,صبح
among,میں
an,ایک
and,اور
anger,غصہ
animal,جانور
answer,جواب
any,کوئی بھی
appear,ظاہر
apple,ایپل
are,ہیں
area,علاقے
arm,بازو
arrange,بندوبست
arrive,پہنچ
art,فن
as,کے طور پر
ask,پوچھنا
at,میں
atom,ایٹم
baby,بچے
back,واپس
bad,برا
ball,گیند
band,بینڈ
bank,بینک
bar,بار
base,بنیاد
basic,بنیادی
bat,بیٹ
be,ہو
bear,برداشت
beat,شکست دی
beauty,خوبصورتی
bed,بستر
been,رہا
before,پہلے
began,شروع
begin,شروع
behind,پیچھے
believe,یقین
bell,گھنٹی
best,بہترین
better,بہتر
between,کے درمیان
big,بڑا
bird,برڈ
bit,سا
black,سیاہ
block,بلاک
blood,خون
blow,دھچکا
blue,بلیو
board,بورڈ
boat,کشتی
body,جسم
bone,ہڈی
book,کتاب
born,پیدا ہوا
both,دونوں
bottom,نیچے
bought,خریدا
box,باکس
boy,لڑکے
branch,شاخ
bread,روٹی
break,وقفے
bright,روشن
bring,لانے کے
broad,وسیع
broke,توڑ دیا
brother,بھائی
brought,لایا
brown,براؤن
build,تعمیر
burn,جلا
busy,مصروف
but,لیکن
buy,خریدنے کے
by,کی طرف سے
call,کال
came,آیا
camp,کیمپ
can,کر سکتے ہیں
capital,دارالحکومت
captain,کیپٹن
car,کار
card,کارڈ
care,دیکھ بھال
carry,لے جانے کے
case,کیس
cat,بلی
catch,کیچ
caught,پکڑے
cause,وجہ
cell,سیل
cent,فیصد
center,مرکز
century,صدی
certain,کچھ
chair,کرسی
chance,موقع
change,تبدیلی
character,کردار
charge,چارج
chart,چارٹ
check,چیک
chick,لڑکی
chief,چیف
child,بچے
children,بچوں
choose,منتخب کریں
chord,راگ
circle,دائرے
city,شہر
claim,دعوی
class,کلاس
clean,صاف
clear,واضح
climb,چڑھنے
clock,گھڑی
close,بند کریں
clothe,کپڑے
cloud,بادل
coast,کوسٹ
coat,کوٹ
cold,سرد
collect,جمع
colony,کالونی
color,رنگین
column,کالم
come,آئے
common,عام
company,کمپنی
compare,موازنہ
complete,مکمل
condition,حالت
connect,مربوط
consider,غور
consonant,آواز
contain,پر مشتمل ہے
continent,براعظم
continue,جاری
control,کنٹرول
cook,کک
cool,ڈاؤن لوڈ، اتارنا
copy,کاپی
corn,مکئی
corner,کونے
correct,صحیح
cost,قیمت
cotton,کپاس
could,کر سکتے ہیں
count,شمار
country,ملک
course,کورس
cover,کور
cow,گائے
crease,کریج
create,تخلیق
crop,فصل
cross,پار
crowd,بھیڑ
cry,رونا
current,موجودہ
cut,کٹ
dad,والد
dance,رقص
danger,خطرہ
dark,سیاہ
day,دن
dead,مردہ
deal,معاہدے
dear,عزیز
death,موت
decide,فیصلہ
decimal,دشملو
deep,گہری
degree,ڈگری
depend,انحصار
describe,وضاحت
desert,صحرا
design,ڈیزائن
determine,کا تعین
develop,ترقی
dictionary,ڈکشنری
did,کیا
die,مر
differ,اختلاف
difficult,مشکل
direct,براہ راست
discuss,بات چیت
distant,دور
divide,تقسیم
division,ڈویژن
do,کر
doctor,ڈاکٹر
does,کرتا ہے
dog,کتا
dollar,ڈالر
done,ہو گیا
don’t,نہیں
door,دروازہ
double,ڈبل
down,نیچے
draw,اپنی طرف متوجہ
dream,خواب
dress,کپڑے
drink,ڈرنک
drive,ڈرائیو
drop,ڈراپ
dry,خشک
duck,بتھ
during,کے دوران
each,ہر ایک
ear,کان
early,ابتدائی
earth,زمین
ease,کم
east,وسطی
eat,کھانے
edge,کنارے
effect,اثر
egg,انڈے
eight,آٹھ
either,یا تو
electric,بجلی
element,عنصر
else,اور
end,آخر
enemy,دشمن
energy,توانائی
engine,انجن
enough,کافی
enter,داخل
equal,برابر
equate,برابر
especially,خاص طور پر
even,بھی
evening,شام
event,واقعہ
ever,کبھی
every,ہر
exact,عین مطابق
example,مثال کے طور پر
except,سوائے
excite,اتیجیت
exercise,ورزش
expect,توقع
experience,تجربہ
experiment,تجربہ
eye,آنکھ
face,چہرے
fact,حقیقت یہ ہے
fair,منصفانہ
fall,گر
family,خاندان
famous,مشہور
far,اب تک
farm,فارم
fast,تیزی سے
fat,چربی
father,والد
favor,کی حمایت
fear,خوف
feed,فیڈ
feel,محسوس
feet,پاؤں
fell,گر
felt,محسوس
few,چند
field,میدان
fig,انجیر
fight,جنگ
figure,کے اعداد و شمار
fill,بھرنے
final,آخری
find,تلاش
fine,ٹھیک
finger,انگلی
finish,ختم
fire,آگ
first,پہلے
fish,مچھلی
fit,فٹ
five,پانچ
flat,فلیٹ
floor,منزل
flow,بہاؤ
flower,پھول
fly,پرواز
follow,فالو کریں
food,کھانا
foot,پاؤں
for,کے لئے
force,طاقت
forest,جنگل
form,فارم
forward,آگے
found,پایا
four,چار
fraction,حصہ
free,مفت
fresh,تازہ
friend,دوست
from,سے
front,سامنے
fruit,پھل
full,مکمل
fun,مزہ
game,کھیل ہی کھیل میں
garden,باغ
gas,گیس
gather,جمع
gave,دی
general,جنرل
gentle,نرم
get,حاصل
girl,لڑکی
give,دے
glad,خوشی
glass,گلاس
