english,romanian
a,o
able,capabil
about,despre
above,de mai sus
act,act
add,adăuga
afraid,speriat
after,după
again,din nou
against,împotriva
age,vârstă
ago,în urmă
agree,acord
air,aer
all,toate
allow,permite
also,"de asemenea,"
always,întotdeauna
am,sunt
among,printre
an,o
and,și
anger,furie
animal,animal
answer,răspuns
any,orice
appear,apărea
apple,măr
are,sunt
area,zona
arm,braț
arrange,aranja
arrive,ajunge
art,artă
as,ca
ask,cere
at,la
atom,atomul
baby,copil
back,înapoi
bad,rău
ball,bilă
band,band
bank,bancă
bar,bar
base,de bază
basic,de bază
bat,liliac
be,fie
bear,poartă
beat,bate
beauty,frumusețe
bed,pat
been,fost
before,înainte
began,început
begin,începe
behind,în spatele
believe,cred
bell,clopot
best,cel mai bun
better,mai bine
between,între
big,mare
bird,pasăre
bit,bit
black,negru
block,bloc
blood,sânge
blow,lovitură
blue,albastru
board,bord
boat,barcă
body,corp
bone,os
book,carte
born,născut
both,atât
bottom,de jos
bought,cumpărat
box,cutie
boy,băiat
branch,ramură
bread,pâine
break,pauză
bright,luminos
bring,aduce
broad,larg
broke,rupt
brother,fratele
brought,adus
brown,maro
build,construi
burn,arde
busy,ocupat
but,dar
buy,cumpăra
by,de
call,apel
came,a venit
camp,tabără
can,poate
capital,de capital
captain,căpitan
car,masina
card,carte
care,îngrijire
carry,efectueze
case,caz
cat,pisică
catch,captură
caught,prins
cause,cauza
cell,celulă
cent,sută
center,centru
century,secol
certain,sigur
chair,scaun
chance,șansă
change,schimbare
character,caracter
charge,încărca
chart,diagramă
check,verifica
chick,pui
chief,șef
child,copil
children,copii
choose,alege
chord,coardă
circle,cerc
city,oraș
claim,revendicare
class,clasă
clean,curat
clear,clar
climb,urcare
clock,ceas
close,aproape
clothe,îmbrăca
cloud,nor
coast,coasta
coat,strat
cold,rece
collect,colecta
colony,colonie
color,culoare
column,coloana
come,vin
common,comun
company,compania
compare,compara
complete,complet
condition,condiție
connect,conecta
consider,ia în considerare
consonant,consoană
contain,conțin
continent,continentului
continue,continua
control,de control
cook,bucătar
cool,rece
copy,copie
corn,porumb
corner,colț
correct,corect
cost,costul
cotton,bumbac
could,ar putea
count,conta
country,țară
course,curs
