english,greek
a,α
able,θέση
about,περίπου
above,παραπάνω
act,πράξη
add,προσθέσετε
afraid,φοβισμένος
after,μετά
again,πάλι
against,κατά
age,ηλικία
ago,πριν
agree,συμφωνώ
air,αέρας
all,όλα
allow,επιτρέπουν
also,"επίσης,"
always,πάντοτε
am,είμαι
among,μεταξύ
an,ένα
and,και
anger,οργή
animal,ζώο
answer,απάντηση
any,κάθε
appear,εμφανίζονται
apple,μήλο
are,είναι
area,έκταση
arm,μπράτσο
arrange,κανονίσει
arrive,φτάσετε
art,τέχνη
as,ως
ask,ρωτήστε
at,σε
atom,άτομο
baby,μωρό
back,πίσω
bad,κακό
ball,μπάλα
band,band
bank,τράπεζα
bar,μπαρ
base,βάση
basic,βασικός
bat,ρόπαλο
be,να
bear,φέρουν
beat,νικήσει
beauty,ομορφιά
bed,κρεβάτι
been,ήταν
before,πριν
began,άρχισε
begin,αρχίσει
behind,πίσω
believe,πιστεύουμε
bell,κουδούνι
best,καλύτερο
better,καλύτερη
between,μεταξύ
big,μεγάλος
bird,πουλί
bit,λίγο
black,μαύρο
block,κατηγορία
blood,αίμα
blow,χτύπημα
blue,μπλε
board,χαρτόνι
boat,βάρκα
body,σώμα
bone,των οστών
book,βιβλίο
born,γεννημένος
both,δύο
bottom,κάτω μέρος
bought,αγόρασε
box,κουτί
boy,αγόρι
branch,υποκατάστημα
bread,ψωμί
break,διάλειμμα
bright,φωτεινό
bring,φέρω
broad,ευρύς
broke,έσπασε
brother,ο αδελφός
brought,έφερε
brown,καφέ
build,οικοδομήσουμε
burn,έγκαυμα
busy,απασχολημένος
but,αλλά
buy,αγοράζουν
by,από
call,κλήση
came,ήρθε
camp,στρατόπεδο
can,μπορεί
capital,κεφάλαιο
captain,καπετάνιος
car,αυτοκίνητο
card,κάρτα
care,φροντίδα
carry,φέρουν
case,περίπτωση
cat,γάτα
catch,σύλληψη
caught,αλιεύονται
cause,αιτία
cell,κυττάρων
cent,σεντ
center,κέντρο
century,αιώνα
certain,ορισμένες
chair,καρέκλα
chance,ευκαιρία
change,αλλαγή
character,χαρακτήρας
charge,χρεώνουν
chart,διάγραμμα
check,έλεγχος
chick,κοτοπουλάκι
chief,επικεφαλής
child,παιδί
children,παιδιά
choose,επιλέξτε
chord,χορδή
circle,κύκλο
city,πόλη
claim,αξίωση
class,κατηγορία
clean,καθαρό
clear,σαφής
climb,ανάβαση
clock,ρολόι
close,κοντά
clothe,ντύσει
cloud,cloud
coast,ακτή
coat,παλτό
cold,κρύο
collect,συλλέγουν
colony,αποικία
color,χρώμα
column,στήλη
come,έρχονται
common,κοινός
