english,scots_gaelic
a,a
able,urrainn
about,mu dheidhinn
above,gu h-àrd
act,achd
add,ris
afraid,eagal
after,an dèidh
again,a-rithist
against,aghaidh
age,aois
ago,bho chionn
agree,aontachadh
air,adhair
all,a h-uile
allow,cheadachadh
also,cuideachd
always,an còmhnaidh
am,am
among,am measg
an,an
and,agus
anger,feirg
animal,am beathach
answer,fhreagairt
any,sam bith
appear,nochdaidh
apple,ubhal
are,tha
area,sgìre
arm,gàirdean
arrange,a chur air dòigh
arrive,a ’tighinn
art,ealain
as,mar
ask,iarr
at,aig
atom,dadam
baby,naoidhean
back,air ais
bad,droch
ball,ball
band,còmhlan
bank,banca
bar,bar
base,bunait
basic,bunaiteach
bat,ialtag
be,a bhith
bear,giùlainidh
beat,chùis
beauty,bòidhchead
bed,leabaidh
been,a bhith
before,mus
began,thòisich
begin,tòiseachadh
behind,air cùlaibh
believe,creidsinn
bell,clag
best,as fheàrr
better,nas fheàrr
between,eadar
big,mòr
bird,eun
bit,bit
black,dubh
block,bacaidh
blood,fuil
blow,blow
blue,gorm
board,air a ’bhòrd
boat,bàta
body,buidheann
bone,cnàimh
book,leabhar
born,rugadh
both,an dà chuid
bottom,ìosal
bought,cheannaich
box,bogsa
boy,gille
branch,meur
bread,aran
break,fois
bright,soilleir
bring,thoirt
broad,farsaing
broke,bhris
brother,bràthair
brought,thug
brown,donn
build,togail
burn,loisgidh
busy,trang
but,ach
buy,cheannach
by,le bhith a ’
call,ghairm
came,thàinig
camp,campa
can,urrainn
capital,calpa
captain,sgiobair
car,càr
card,cairt
care,cùram
carry,a ghiùlan
case,cùis
cat,cat
catch,a ghlacadh
caught,a chaidh a ghlacadh
cause,aobhar
cell,cealla
cent,cheud
center,meadhan
century,linn
certain,sònraichte
chair,cathraiche
chance,cothrom
change,atharrachadh
character,caractar
charge,cosgais
chart,chart
check,sùil
chick,isean
chief,ceann-feadhna
child,pàiste
children,clann
choose,a thaghadh
chord,chord
circle,cearcall
city,bhaile
claim,tagradh
class,clas
clean,glan
clear,soilleir
climb,dìreadh
clock,gleoc
close,dùin
clothe,aodach
cloud,neul
coast,costa
coat,còta
cold,fuar
collect,a ’cruinneachadh
colony,choloinidh
color,dath
column,colbh
come,tighinn
common,cumanta
company,companaidh
compare,coimeas a dhèanamh eadar
complete,crìochnaichte
condition,staid
connect,ceangal
consider,beachdaichidh
consonant,chonnraig
contain,tha
continent,thìr
continue,leantainn air adhart
control,smachd
cook,còcaire
cool,tarraingeach
copy,leth-bhreac
corn,arbhair
corner,oisean
correct,ceart
cost,cosgais
cotton,cotan
could,b ’urrainn
count,a ’cunntadh
country,dùthaich
course,chùrsa
cover,còmhdach
cow,bhò
crease,crease
create,chruthachadh
crop,bhàrr
cross,tarsainn
crowd,sluagh
cry,glaodh
current,#namn?
cut,gearradh
dad,athair
dance,dannsa
danger,cunnart
dark,dorcha
day,latha
dead,marbh
deal,mòran
dear,ghràdhach
death,bhàis
decide,co-dhùnadh
decimal,deicheach
deep,domhainn
degree,ceum
depend,an crochadh
describe,a ’mìneachadh
desert,fhàsach
design,dealbhadh
determine,dearbhadh
develop,leasachadh
dictionary,faclair
did,rinn
die,bàsaich
differ,eadar-dhealaichte
difficult,doirbh
direct,dìreach
discuss,a ’bruidhinn
distant,fhaide air falbh
divide,divide
division,sgaradh
do,a dhèanamh
doctor,dotair
does,a ’dèanamh
dog,chù
dollar,dolair
done,deiseil
don’t,nach eil
door,doras
double,dùbailte
down,sìos
draw,a ’tarraing
dream,bruadar
dress,èideadh
drink,deoch
drive,draibh
drop,leig
dry,tioram
duck,tunnag
during,rè
each,gach
ear,chluais
early,tràth
earth,talamh
ease,faochadh
east,ear
eat,ithe
edge,oir
effect,buaidh
egg,ugh
eight,ochd
either,an dara cuid
electric,electric
element,eileamaid
else,eile
end,deireadh
enemy,nàmhaid
energy,lùth
engine,einnsean
enough,gu leòr
enter,#namn?
equal,co-ionnan
equate,chothromachadh
especially,gu h-àraidh
even,eadhon
evening,feasgar
event,tachartas
ever,riamh
every,a h-uile
exact,dearbh
example,mar eisimpleir
except,ach a-mhàin
excite,excite
exercise,eacarsaich
expect,an dùil
experience,eòlas
experiment,deuchainn
eye,shùil
face,aghaidh
fact,gu dearbh
fair,cothromach
fall,tuit
family,teaghlach
famous,ainmeil
far,fada
farm,tuathanas
fast,luath
fat,reamhar
father,athair
favor,taobhadh
fear,eagal
feed,feed
feel,a ’faireachdainn
feet,troighean
fell,thuit
felt,a ’faireachdainn
few,beagan
field,achadh
fig,fhige
fight,strì
figure,figear
fill,lìonadh
final,dheireannaich
find,lorg
fine,càin
finger,mheur
finish,crìochnaicheadh
fire,teine
first,a’ chiad
fish,èisg
fit,a ’freagairt
five,còig
flat,còmhnard
floor,làr
flow,sruthadh
flower,flùr
fly,itealaich
follow,a ’leantainn
food,biadh
foot,bonn
for,airson
force,feachd
forest,coille
form,foirm
forward,air adhart
found,lorg
four,ceithir
fraction,bloigh
free,saor an-asgaidh
fresh,ùr
friend,caraid
from,bho
front,air beulaibh
fruit,mheasan
full,làn
fun,spòrsail
game,geama
garden,gàrradh
gas,gas
gather,a ’cruinneachadh
gave,thug
general,fharsaingeachd
gentle,socair
get,fhaighinn
girl,nighean
give,thoir
glad,glad
glass,glainne
go,dol
gold,òir
gone,gone
good,math
got,fhuair
govern,ùghdarrasach
grand,grand
grass,feur
gray,glas
great,sgoinneil
green,uaine
grew,dh’fhàs
ground,talamh
group,buidheann
grow,fàs
guess,tomhas
guide,stiùireadh
gun,gunna
had,bha
hair,falt
half,leth
hand,làimh
happen,tachairt
happy,sona
hard,cruaidh
has,tha
hat,ad
have,tha
he,e
head,ceann
hear,eisdibh
heard,chuala
heart,chridhe
heat,teas
heavy,trom
held,glèidhte
help,cuideachadh
her,aice
here,an seo
high,àrd
hill,cnoc
him,ris
his,aige
history,eachdraidh
hit,bhuail
hold,chumail
hole,toll
home,dachaigh
hope,dòchas
horse,each
hot,teth
hour,uair
house,taigh
how,ciamar
huge,mòr
human,daonna
hundred,ceud
hunt,sealg
hurry,greasadh
i,tha mi a ’
ice,deighe
idea,beachd
if,ma
imagine,smaoineachadh
in,ann an
