english,hindi
a,एक
able,सक्षम
about,के बारे में
above,ऊपर
act,अधिनियम
add,जोड़
afraid,डर
after,के बाद
again,फिर
against,के खिलाफ
age,उम्र
ago,पहले
agree,सहमत
air,हवा
all,सब
allow,की अनुमति
also,भी
always,सदैव
am,am
among,के बीच
an,एक
and,और
anger,क्रोध
animal,पशु
answer,जवाब
any,किसी भी
appear,प्रकट
apple,सेब
are,हैं
area,क्षेत्र
arm,बांह
arrange,व्यवस्था
arrive,पहुंचना
art,कला
as,जैसा
ask,पूछना
at,पर
atom,एटम
baby,बच्चे
back,वापस
bad,बुरा
ball,गेंद
band,बैंड
bank,बैंक
bar,बार
base,आधार
basic,बुनियादी
bat,बल्ला
be,हो
bear,भालू
beat,हरा
beauty,सुंदरता
bed,बिस्तर
been,गया
before,पहले
began,शुरू हुआ
begin,प्रारंभ करना
behind,पीछे
believe,विश्वास है
bell,बेल
best,सर्वश्रेष्ठ
better,बेहतर
between,के बीच
big,बड़ा
bird,पक्षी
bit,बिट
black,काला
block,खंड
blood,खून
blow,झटका
blue,नीला
board,बोर्ड
boat,नाव
body,शरीर
bone,हड्डी
book,किताब
born,born
both,दोनों
bottom,तल
bought,खरीदा
box,बॉक्स
boy,लड़का
branch,शाखा
bread,रोटी
break,तोड़
bright,उज्ज्वल
bring,लाना
broad,विस्तृत
broke,तोड़ दिया
brother,भाई
brought,लाया
brown,ब्राउन
build,बनाना
burn,जला
busy,व्यस्त
but,लेकिन
buy,खरीद
by,द्वारा
call,कॉल
came,आया
camp,शिविर
can,कर सकते हैं
capital,राजधानी
captain,कप्तान
car,कार
card,कार्ड
care,देखभाल
carry,ले
case,मामले
cat,बिल्ली
catch,पकड़
caught,पकड़ा
cause,कारण
cell,सेल
cent,प्रतिशत
center,केंद्र
century,सदी
certain,कुछ
chair,कुर्सी
chance,संयोग
change,परिवर्तन
character,चरित्र
charge,चार्ज
chart,चार्ट
check,जाँच
chick,लड़की
chief,प्रमुख
child,बच्चे
children,बच्चों
choose,चयन
chord,राग
circle,वृत्त
city,शहर
claim,दावा
class,क्लास
clean,साफ
clear,स्पष्ट
climb,चढ़ाई
clock,घड़ी
close,करीब
clothe,कपड़े
cloud,बादल
coast,तट
coat,कोट
cold,ठंड
collect,इकट्ठा
colony,कॉलोनी
color,रंग
column,स्तंभ
come,आ
common,आम
company,कंपनी
compare,तुलना
complete,पूरा
condition,शर्त
connect,कनेक्ट
consider,विचार करना
consonant,व्यंजन
contain,होते हैं
continent,महाद्वीप
continue,जारी रखने के
control,नियंत्रण
cook,कुक
cool,शीतल
copy,नकल
corn,मकई
corner,कोने
correct,सही
cost,लागत
cotton,कपास
could,सकता है
count,गिनती
country,देश
course,कोर्स
cover,कवर
cow,गाय
crease,क्रीज
create,बना
crop,फसल
cross,पार
crowd,भीड़
cry,रोना
current,वर्तमान
cut,कटौती
dad,पिता
dance,नृत्य
danger,खतरे
dark,अंधेरा
day,दिन
dead,मृत
deal,सौदा
dear,प्रिय
death,मौत
decide,तय
decimal,दशमलव
deep,गहरा
degree,डिग्री
depend,निर्भर
describe,वर्णन
desert,रेगिस्तान
design,डिजाइन
determine,निर्धारित
develop,विकसित
dictionary,शब्दकोश
did,किया
die,मरना
differ,अलग
difficult,मुश्किल
direct,प्रत्यक्ष
discuss,चर्चा
distant,दूर
divide,विभाजन
division,विभाजन
do,कर
doctor,चिकित्सक
does,करता है
dog,कुत्ते
dollar,डॉलर
done,किया
don’t,ऐसा नहीं
door,दरवाजा
double,डबल
down,नीचे
draw,आकर्षित
dream,सपना
dress,पोशाक
drink,पेय
drive,ड्राइव
drop,ड्रॉप
dry,सूखा
duck,बतख
during,दौरान
each,प्रत्येक
ear,कान
early,शीघ्र
earth,पृथ्वी
ease,आसानी
east,पूर्व
eat,खाने
edge,बढ़त
effect,प्रभाव
egg,अंडा
eight,आठ
either,भी
electric,बिजली
element,तत्व
else,बाकी
end,अंत
enemy,दुश्मन
energy,ऊर्जा
engine,इंजन
enough,पर्याप्त
enter,दर्ज
equal,बराबर
