english,chichewa
a,ndi
able,wokhoza
about,za
above,pamwamba
act,mchitidwe
add,wonjezerani
afraid,mantha
after,pambuyo
again,kachiwiri
against,motsutsa
age,m’badwo
ago,zapitazo
agree,amavomereza
air,mpweya
all,onse
allow,kulola
also,komanso
always,nthawizonse
am,ndine
among,pakati
an,ndi
and,ndipo
anger,mkwiyo
animal,nyama
answer,yankho
any,aliyense
appear,kuoneka
apple,apulosi
are,ali
area,dera
arm,mkono
arrange,kukonza
arrive,akufika
art,zojambulajambula
as,monga
ask,kufunsa
at,pa
atom,atomu
baby,mwana
back,mmbuyo
bad,zoipa
ball,mpira
band,gulu
bank,banki
bar,kapamwamba
base,m’munsi
basic,zoyambirira
bat,mleme
be,kukhala
bear,kudzachitira
beat,kumenya
beauty,kukongola
bed,bedi
been,akhala
before,pamaso
began,anayamba
begin,yamba
behind,kuseri
believe,ndikukhulupirira
bell,belu
best,yabwino
better,bwino
between,pakati
big,yaikulu
bird,mbalame
bit,pokha
black,chakuda
block,chipika
blood,magazi
blow,nkhonya
blue,buluu
board,bolodi
boat,ngalawa
body,thupi
bone,fupa
book,buku
born,kubaliwa
both,onse
bottom,pansi
bought,anagula
box,bokosi
boy,mnyamata
branch,nthambi
bread,mkate
break,yopuma
bright,yowala
bring,kubweretsa
broad,yotakata
broke,anaswa
brother,m’bale
brought,anabweretsa
brown,brown
build,kumanga
burn,kutentha
busy,tanganidwa
but,koma
buy,kugula
by,ndi
call,kuitana
came,anabwera
camp,msasa
can,ndingathere
capital,likulu
captain,woyendetsa
car,galimoto
card,khadi
care,kusamalira
carry,kunyamula
case,zinalili
cat,mphaka
catch,kusodza
caught,anamugwira
cause,chifukwa
cell,selo
cent,senti
center,likulu
century,m’ma
certain,ena
chair,mpando
chance,mwayi
change,kusintha
character,khalidwe
charge,azilipiritsa
chart,tchati
check,fufuzani
chick,mwana wankhuku
chief,mkulu
child,mwana
children,ana
choose,amasankha
chord,poyambira
circle,bwalo
city,mzinda
claim,funsani
class,m’kalasi
clean,oyera
clear,momveka
climb,kukwera
clock,wotchi
close,pafupi
clothe,kuveka
cloud,mtambo
coast,gombe
coat,odula
cold,ozizira
collect,kusonkhanitsa
colony,njuchi
color,mtundu
column,danga
come,anabwera
common,wamba
company,kampani
compare,yerekezerani
complete,amphumphu
condition,chikhalidwe
connect,kulumikiza
consider,tione
consonant,consonant
contain,ali
continent,kontinenti
continue,kupitiriza
control,kulamulira
cook,wophika
cool,ozizira
copy,buku
corn,chimanga
corner,ngodya
correct,zolondola
cost,mtengo
cotton,thonje
could,akanatha
count,kulengeseka
country,dziko
course,inde
cover,chivundikiro
cow,ng’ombe
crease,crease
create,kulenga
crop,mbewu
cross,kuwoloka
crowd,khamu
cry,kulira
current,panopa
cut,wosemedwa
dad,bambo
dance,kuvina
danger,ngozi
dark,mdima
day,tsiku
dead,akufa
deal,anatani
dear,wokondedwa
death,imfa
decide,wosankha
decimal,decimal
deep,zozama
degree,digiri
depend,zimadalira
describe,pofotokoza
desert,chipululu
design,kamangidwe
determine,kudziwa
develop,kukulitsa
dictionary,dikishonale
did,anachitira
die,afe
differ,amasiyana
difficult,yovuta
direct,mwachindunji
discuss,kukambirana
distant,lakutali
divide,kugawaniza
division,kugawanikana
do,kuchita
doctor,dokotala
does,amachita
dog,galu
dollar,dola
done,chinachitidwa
don’t,osa
door,chitseko
double,pawiri
down,pansi
draw,kudzatunga
dream,ndimalota
dress,kavalidwe
drink,kumwa
drive,pagalimoto
drop,akuponya
dry,youma
duck,bakha
during,pamene
each,aliyense
ear,khutu
early,oyambirira
earth,lapansi
ease,kuchepetsa
east,kum’mawa
eat,kudya
edge,m’mphepete
effect,kwenikweni
egg,dzira
eight,eyiti
either,kaya
electric,magetsi
element,amafotokozera
else,china
end,tsiriza
enemy,mdani
energy,mphamvu
engine,injini
enough,zokwanira
enter,kulowa
equal,ofanana
equate,amaganiza kuti kukhala
especially,makamaka
even,ngakhale
evening,madzulo
event,chochitika
