english,slovak
a,cesta
able,schopný
about,o
above,vyššie
act,akt
add,pridať
afraid,strach
after,po
again,znova
against,proti
age,vek
ago,pred
agree,súhlasiť
air,vzduch
all,všetky
allow,umožňujú
also,tiež
always,vždy
am,am
among,medzi
an,píla
and,a
anger,hnev
animal,zviera
answer,odpoveď
any,akýkoľvek
appear,sa objaví
apple,jablko
are,sú
area,oblasť
arm,paže
arrange,zariadiť
arrive,príjazd
art,umenie
as,as
ask,opýtať sa
at,na
atom,atóm
baby,dieťa
back,späť
bad,zlý
ball,guľa
band,kapela
bank,banka
bar,bar
base,základné
basic,základné
bat,bat
be,byť
bear,nesú
beat,poraziť
beauty,krása
bed,posteľ
been,bol
before,pred
began,začal
begin,začať
behind,za
believe,veriť
bell,zvonček
best,najlepšie
better,lepšia
between,medzi
big,veľký
bird,vták
bit,bit
black,čierna
block,blok
blood,krv
blow,rana
blue,modrá
board,doska
boat,loď
body,telo
bone,kosť
book,kniha
born,narodený
both,ako
bottom,spodný
bought,kúpil
box,eciálny
boy,chlapec
branch,pobočka
bread,chlieb
break,prestávka
bright,svetlý
bring,priniesť
broad,široký
broke,zlomil
brother,brat
brought,priniesol
brown,hnedá
build,stavať
burn,horieť
busy,zaneprázdnený
but,ale
buy,kúpiť
by,od
call,volanie
came,prišiel
camp,tábor
can,moci
capital,kapitál
captain,kapitán
car,auto
card,karta
care,starostlivosť
carry,niesť
case,puzdro
cat,mačka
catch,úlovok
caught,chytil
cause,príčina
cell,bunka
cent,centov
center,centrum
century,storočia
certain,isté
chair,stoličky
chance,šanca
change,zmena
character,charakter
charge,nabíjania
chart,graf
check,skontrolovať
chick,chick
chief,šéf
child,dieťa
children,deti
choose,vybrať
chord,akord
circle,kruh
city,město
claim,reklamácie
class,trieda
clean,čistý
clear,jasný
climb,stúpanie
clock,hodiny
close,zavrieť
clothe,obliekli
cloud,oblak
coast,pobrežie
coat,kabát
cold,za studena
collect,zbierať
colony,kolónie
color,farba
column,stĺpec
come,prísť
common,spoločný
company,spoločnosť
compare,porovnať
complete,kompletné
condition,stav
connect,pripojiť
consider,zvážiť
consonant,spoluhláska
contain,obsahovať
continent,kontinent
continue,pokračovať
control,ovládanie
cook,kuchár
cool,v pohode
copy,kópie
corn,kukurica
corner,rohu
correct,správne
cost,náklady
cotton,bavlna
could,mohol
count,počítať
country,krajiny
course,kurz
cover,kryt
cow,krava
crease,pokrčeniu
create,vytvoriť
crop,plodín
cross,kríž
crowd,dav
cry,krik
current,prúd
cut,rez
dad,otec
dance,tanec
danger,nebezpečenstvo
dark,tmavá
day,deň
dead,mŕtvy
deal,dohoda
dear,drahá
death,smrť
decide,rozhodnúť
decimal,desatinné
deep,hlboké
degree,stupeň
depend,závisí
describe,popísať
desert,púšť
design,design
determine,určiť
develop,rozvíjať
dictionary,slovník
did,áno
die,zomrieť
differ,sa líšia
difficult,obtiažny
direct,priame
discuss,diskutovať
distant,vzdialenej
