english,indonesian
a,sebuah
able,mampu
about,tentang
above,atas
act,tindakan
add,tambahkan
afraid,takut
after,setelah
again,lagi
against,terhadap
age,usia
ago,lalu
agree,setuju
air,udara
all,semua
allow,memungkinkan
also,juga
always,selalu
am,am
among,antara
an,an
and,dan
anger,kemarahan
animal,hewan
answer,jawaban
any,apapun
appear,muncul
apple,apple
are,adalah
area,daerah
arm,lengan
arrange,mengatur
arrive,tiba
art,seni
as,sebagai
ask,bertanya
at,di
atom,atom
baby,bayi
back,kembali
bad,buruk
ball,bola
band,pita
bank,bank
bar,bar
base,dasar
basic,dasar
bat,kelelawar
be,menjadi
bear,menanggung
beat,mengalahkan
beauty,kecantikan
bed,tidur
been,berkunjung
before,sebelum
began,mulai
begin,mulai
behind,di belakang
believe,percaya
bell,bell
best,terbaik
better,lebih baik
between,antara
big,besar
bird,burung
bit,bit
black,hitam
block,blok
blood,darah
blow,pukulan
blue,biru
board,papan
boat,perahu
body,tubuh
bone,tulang
book,book
born,lahir
both,baik
bottom,bottom
bought,membeli
box,kotak
boy,anak
branch,cabang
bread,roti
break,istirahat
bright,cerah
bring,membawa
broad,luas
broke,pecah
brother,saudara
brought,membawa
brown,coklat
build,membangun
burn,membakar
busy,sibuk
but,tapi
buy,membeli
by,oleh
call,panggilan
came,datang
camp,camp
can,bisa
capital,modal
captain,kapten
car,mobil
card,kartu
care,perawatan
carry,membawa
case,kasus
cat,kucing
catch,catch
caught,tertangkap
cause,penyebab
cell,sel
cent,persen
center,pusat
century,abad
certain,tertentu
chair,kursi
chance,kesempatan
change,perubahan
character,karakter
charge,biaya
chart,grafik
check,memeriksa
chick,cewek
chief,kepala
child,anak
children,anak-anak
choose,pilih
chord,chord
circle,lingkaran
city,kota
claim,klaim
class,kelas
clean,bersih
clear,jelas
climb,naik
clock,jam
close,close
clothe,menutupi
cloud,awan
coast,pantai
coat,mantel
cold,dingin
collect,mengumpulkan
colony,koloni
color,warna
column,kolom
come,datang
common,umum
company,perusahaan
compare,membandingkan
complete,lengkap
condition,kondisi
connect,menghubungkan
consider,pertimbangkan
consonant,konsonan
contain,berisi
continent,benua
continue,terus
control,kontrol
cook,cook
cool,dingin
copy,copy
corn,jagung
corner,sudut
correct,benar
cost,biaya
cotton,kapas
could,bisa
count,menghitung
country,negara
course,tentu saja
cover,penutup
cow,sapi
crease,lipatan
create,membuat
crop,tanaman
cross,lintas
crowd,kerumunan
cry,menangis
current,saat ini
cut,cut
dad,ayah
dance,tari
danger,bahaya
dark,gelap
day,hari
dead,mati
deal,kesepakatan
dear,sayang
death,kematian
decide,memutuskan
decimal,desimal
deep,dalam
degree,gelar
depend,tergantung
describe,menjelaskan
desert,gurun
design,desain
determine,menentukan
develop,mengembangkan
dictionary,kamus
did,melakukan
die,mati
differ,berbeda
difficult,sulit
direct,langsung
discuss,mendiskusikan
distant,jauh
divide,membagi
division,divisi
do,melakukan
doctor,dokter
does,tidak
dog,anjing
dollar,dolar
done,dilakukan
don’t,tidak
door,pintu
double,ganda
down,turun
draw,menarik
dream,mimpi
dress,dress
drink,minuman
drive,berkendara
drop,menjatuhkan
dry,kering
duck,bebek
during,selama
each,masing-masing
ear,telinga
early,awal
earth,bumi
ease,kemudahan
east,timur
eat,makan
edge,tepi
effect,efek
egg,telur
eight,delapan
either,baik
electric,listrik
element,elemen
else,lain
end,end
enemy,musuh
energy,energi
engine,mesin
enough,cukup
enter,masukkan
equal,sama
equate,menyamakan
especially,terutama
even,bahkan
evening,malam
event,peristiwa
ever,pernah
every,setiap
exact,tepat
example,contoh
except,kecuali
excite,menggairahkan
exercise,latihan
expect,mengharapkan
experience,pengalaman
experiment,percobaan
eye,mata
face,wajah
fact,bahkan
fair,adil
fall,jatuh
family,keluarga
famous,terkenal
far,jauh
farm,pertanian
fast,cepat
fat,lemak
father,ayah
favor,mendukung
fear,takut
feed,pakan
feel,merasa
feet,kaki
fell,jatuh
felt,merasa
few,beberapa
field,lapangan
fig,ara
fight,melawan
figure,angka
fill,mengisi
final,akhir
find,cari
fine,halus
finger,jari
finish,selesai
fire,api
first,pertama
fish,ikan
fit,cocok
five,lima
flat,datar
floor,lantai
flow,mengalir
flower,bunga
fly,terbang
follow,ikuti
food,makanan
foot,kaki
for,untuk
force,kekuatan
forest,hutan
form,formulir
forward,maju
found,ditemukan
four,empat
fraction,fraksi
free,gratis
fresh,segar
friend,teman
from,dari
front,depan
fruit,buah
full,penuh
fun,menyenangkan
game,permainan
garden,garden
