english,georgian
a,საკვები
able,შეუძლია
about,შესახებ
above,ზემოთ
act,აქტის
add,რჩეულებში
afraid,ეშინია
after,შემდეგ
again,ერთხელ
against,წინააღმდეგ
age,ასაკი
ago,ჯერ
agree,ვეთანხმები
air,საჰაერო
all,ყველა
allow,საშუალებას
also,ასევე
always,ყოველთვის
am,საათიდან
among,შორის
an,ითამაშეთ
and,და
anger,რისხვა
animal,ცხოველთა
answer,პასუხი
any,ნებისმიერი
appear,"როგორც ჩანს,"
apple,ვაშლის
are,არის
area,ფართი
arm,ხელის
arrange,მოაწყოს
arrive,ჩამოვა
art,არტ
as,როგორც
ask,ითხოვენ
at,ზე
atom,ატომის
baby,ბავშვი
back,უკან
bad,ცუდი
ball,ბურთი
band,ბენდი
bank,ბანკი
bar,ბარი
base,ბაზა
basic,ძირითადი
bat,აღება
be,იყოს
bear,დათვი
beat,სცემეს
beauty,სილამაზის
bed,საწოლის
been,უკვე
before,ადრე
began,დაიწყო
begin,დაიწყოს
behind,უკან
believe,"მჯერა,"
bell,ბელი
best,საუკეთესო
better,უკეთესი
between,შორის
big,დიდი
bird,ფრინველი
bit,ბიტიანი
black,შავი
block,ბლოკი
blood,სისხლის
blow,დარტყმა
blue,ლურჯი
board,ფორუმში
boat,ნავი
body,სხეულის
bone,ძვლის
book,წიგნაკი
born,დაიბადა
both,ორივე
bottom,ბოლოში
bought,შეიძინა
box,ყუთი
boy,ბიჭი
branch,ფილიალი
bread,პური
break,შესვენების
bright,ნათელი
bring,მოუტანს
broad,ფართო
broke,მა
brother,ძმა
brought,მოუტანა
brown,ყავისფერი
build,ავაშენოთ
burn,დამწვრობა
busy,დაკავებული
but,მაგრამ
buy,ყიდვა
by,მიერ
call,დარეკეთ
came,მოვიდა
camp,ბანაკი
can,სისტემაში
capital,კაპიტალი
captain,კაპიტანი
car,მანქანის
card,ანკეტა
care,ჰიგიენის
carry,განახორციელოს
case,საქმე
cat,ცატ
catch,დაჭერა
