english,hungarian
a,ügynökség
able,képes
about,körülbelül
above,felett
act,felvonás
add,hozzáad
afraid,fél
after,után
again,újra
against,ellen
age,életkor
ago,ezelőtt
agree,egyetért
air,levegő
all,minden
allow,hogy
also,is
always,mindig
am,am
among,között
an,egy
and,és
anger,harag
animal,állat
answer,válasz
any,bármilyen
appear,jelenik meg
apple,alma
are,vannak
area,terület
arm,kar
arrange,intézkedik
arrive,megérkezik
art,művészet
as,mint
ask,kér
at,meg
atom,atomnak
baby,baba
back,vissza
bad,rossz
ball,labda
band,zenekar
bank,bankot
bar,bár
base,alap
basic,alapvető
bat,denevér
be,lehet
bear,medve
beat,üt
beauty,szépség
bed,ágy
been,volt
before,előtt
began,kezdődött
begin,kezdődik
behind,mögött
believe,hisz
bell,bell
best,legjobb
better,jobb
between,között
big,nagy
bird,madár
bit,bit
black,fekete
block,blokk
blood,vér
blow,csapás
blue,kék
board,tábla
boat,hajó
body,test
bone,csont
book,könyv
born,születése
both,mindkét
bottom,alsó
bought,vásárolt
box,doboz
boy,fiú
branch,ág
bread,kenyér
break,szünet
bright,fényes
bring,hoz
broad,széles
broke,tört
brother,testvér
brought,hozott
brown,barna
build,épít
burn,éget
busy,elfoglalt
but,de
buy,vásárolni
by,által
call,hívás
came,jött
camp,tábor
can,lehet
capital,tőke
captain,kapitány
car,autó
card,kártya
care,gondoskodás
carry,visz
case,ügy
cat,macska
catch,fogás
caught,fogott
cause,ok
cell,sejt
cent,cent
center,központ
century,század
certain,bizonyos
chair,szék
chance,esély
change,változás
character,betű
charge,díj
chart,chart
check,ellenőrizze
chick,csaj
chief,főnök
child,gyermek
children,gyerekek
choose,választani
chord,akkord
circle,kör
city,város
claim,igény
class,osztály
clean,tiszta
clear,világos
climb,mászás
clock,óra
close,szoros
clothe,öltöztet
cloud,felhő
coast,tengerpart
coat,kabát
cold,hideg
collect,gyűjt
colony,kolónia
color,szín
column,oszlop
come,jön
common,közös
company,társaság
compare,összehasonlítása
complete,teljes
condition,állapot
connect,összekapcsol
consider,figyelembe
consonant,mássalhangzó
contain,tartalmaz
continent,kontinens
continue,tovább
control,vezérlés
cook,szakács
cool,hűvös
copy,másolat
corn,kukorica
corner,sarok
correct,helyes
cost,költség
cotton,pamut
could,tudott
count,számol
country,ország
course,tanfolyam
cover,fedél
cow,tehén
crease,ránc
create,teremt
crop,termés
cross,kereszt
crowd,tömeg
cry,kiáltás
current,jelenlegi
cut,vágás
dad,apa
dance,tánc
danger,veszély
dark,sötét
day,nap
dead,halott
deal,üzlet
dear,kedves
death,halál
decide,dönt
