english,yoruba
a,kan
able,anfani
about,nipa
above,loke
act,igbese
add,fi
afraid,bẹru
after,lẹhin
again,lẹẹkansi
against,lodi si
age,ori
ago,seyin
agree,gba
air,air
all,gbogbo
allow,gba
also,tun
always,nigbagbogbo
am,emi
among,laarin
an,ohun
and,ati ki o
anger,ibinu
animal,eranko
answer,idahun
any,eyikeyi
appear,han
apple,apu
are,ni o wa
area,agbegbe
arm,apa
arrange,seto
arrive,de
art,aworan
as,bi
ask,beere
at,ni
atom,atomu
baby,omo
back,pada
bad,buburu
ball,rogodo
band,iye
bank,banki
bar,igi
base,mimọ
basic,ipilẹ
bat,adan
be,ki o wa ni
bear,jẹri
beat,lu
beauty,ẹwa
bed,ibusun
been,ti
before,ki o to
began,bẹrẹ
begin,bẹrẹ
behind,sile
believe,gbagbọ
bell,belii
best,ti o dara ju
better,dara
between,laarin
big,nla
bird,eye
bit,bit
black,dudu
block,àkọsílẹ
blood,ẹjẹ
blow,fe
blue,bulu
board,ọkọ
boat,ọkọ
body,ara
bone,egungun
book,iwe
born,bí
both,mejeeji
bottom,isalẹ
bought,ra
box,apoti
boy,ọmọkunrin
branch,ti eka
bread,akara
break,bireki
bright,imọlẹ
bring,mu
broad,ọrọ
broke,bu
brother,arakunrin
brought,mu
brown,brown
build,kọ
burn,iná
busy,o nšišẹ
but,ṣugbọn
buy,ra
by,nipa
call,ipe
came,wá
camp,ibudó
can,le
capital,olu
captain,olori
car,ayọkẹlẹ
card,kaadi
care,itọju
carry,gbe
case,nla
cat,o nran
catch,apeja
caught,mu
cause,fa
cell,alagbeka
cent,ogorun
center,aarin
century,orundun
certain,awọn
chair,alaga
chance,anfani
change,ayipada
character,ohun kikọ
charge,gba agbara si
chart,chart
check,ṣayẹwo
chick,adiye
chief,olori
child,ọmọ
children,ọmọ
choose,yan
chord,okun
circle,oruka
city,ilu
claim,beere
class,kilasi
clean,o mọ
clear,ko o
climb,ngun
clock,aago
close,sunmọ
clothe,wọ
cloud,awọsanma
coast,etikun
coat,ndan
cold,tutu
collect,gba
colony,ileto
color,awọ
column,iwe
come,wa
common,wọpọ
company,ile
compare,afiwe
complete,pari
condition,majemu
connect,sopọ
consider,ro
