english,swahili
a,a
able,uwezo
about,kuhusu
above,juu
act,tendo
add,kuongeza
afraid,hofu
after,baada ya
again,tena
against,dhidi ya
age,umri
ago,iliyopita
agree,kukubaliana
air,hewa
all,kila
allow,kuruhusu
also,pia
always,daima
am,ni
among,kati ya
an,an
and,na
anger,hasira
animal,mnyama
answer,jibu
any,yoyote
appear,itaonekana
apple,mboni
are,wako
area,eneo
arm,mkono
arrange,kupanga
arrive,kuwasili
art,sanaa
as,kama
ask,kuuliza
at,katika
atom,chembe
baby,mtoto
back,nyuma
bad,mbaya
ball,mpira
band,bendi
bank,benki
bar,bar ya
base,msingi
basic,msingi
bat,bat kwa
be,kuwa
bear,kubeba
beat,kuwapiga
beauty,uzuri
bed,kitanda
been,imekuwa
before,kabla ya
began,alianza
begin,kuanza
behind,nyuma ya
believe,amini
bell,kengele
best,bora
better,bora
between,kati ya
big,kubwa
bird,ndege
bit,kidogo
black,nyeusi
block,kuzuia
blood,damu
blow,pigo
blue,bluu
board,bodi
boat,mashua
body,mwili
bone,mfupa
book,kitabu
born,aliyezaliwa
both,wote wawili
bottom,chini
bought,kununuliwa
box,sanduku
boy,mvulana
branch,tawi
bread,mkate
break,mapumziko
bright,mkali
bring,kuleta
broad,pana
broke,kuvunja
brother,ndugu
brought,kuletwa
brown,kahawia
build,kujenga
burn,kuchoma
busy,busy
but,lakini
buy,kununua
by,na
call,simu
came,alikuja
camp,kambi
can,unaweza
capital,mji mkuu wa
captain,nahodha
car,gari
card,kadi
care,huduma
carry,kubeba
case,kesi
cat,paka
catch,kukamata
caught,hawakupata
cause,sababu
cell,kiini
cent,cent
center,kituo cha
century,karne ya
certain,baadhi ya
chair,kiti
chance,nafasi
change,mabadiliko ya
character,tabia ya
charge,malipo
chart,chati
check,kuangalia
chick,kifaranga
chief,wakuu
child,mtoto
children,watoto
choose,kuchagua
chord,gumzo
circle,mzunguko
city,mji
claim,madai
class,darasa
clean,safi
clear,wazi
climb,kupanda
clock,saa
close,karibu
clothe,nguo
cloud,wingu
coast,pwani
coat,kanzu
cold,baridi
collect,kukusanya
colony,koloni
color,rangi
column,safu
come,kuja
common,kawaida
company,kampuni
compare,kulinganisha
complete,kamili
condition,hali
connect,kuungana
consider,kufikiria
consonant,consonant
contain,vyenye
continent,bara
continue,kuendelea
control,kudhibiti
cook,mpishi
cool,baridi
copy,nakala
corn,nafaka
corner,kona
correct,sahihi
cost,gharama
cotton,pamba
could,inaweza
count,kuhesabu
country,nchi
course,bila shaka
cover,cover
cow,ng’ombe
crease,na crease
create,kujenga
crop,mazao
cross,msalaba
crowd,umati wa watu
cry,kilio
current,sasa
cut,kata
dad,baba
dance,ngoma
danger,hatari
dark,giza
day,siku
dead,wafu
deal,mpango
dear,wapenzi
death,kifo
decide,kuamua
decimal,decimal
deep,kina
degree,shahada ya
depend,hutegemea
describe,kuelezea
desert,jangwa
design,kubuni
determine,kuamua
develop,kuendeleza
dictionary,kamusi
did,alifanya
die,kufa
differ,tofauti
difficult,vigumu
direct,moja kwa moja
discuss,kujadili
distant,mbali
divide,mgawanyiko
division,mgawanyiko
do,kufanya
doctor,daktari
does,gani
dog,mbwa
dollar,dola
done,kutenda
don’t,kufanya si
door,mlango
double,mara mbili
down,chini
draw,kuteka
dream,ndoto
dress,mavazi
drink,kunywa
drive,gari
drop,kuacha
dry,kavu
duck,bata
during,wakati wa
each,kila
ear,sikio
early,mapema
earth,dunia
ease,kupunguza
east,mashariki
eat,kula
edge,makali
effect,athari
egg,yai
eight,nane
either,ama
electric,umeme
element,kipengele
else,mwingine
end,mwisho
enemy,adui
energy,nishati
engine,injini
enough,kutosha
enter,kuingia
equal,sawa
equate,wanalinganisha
especially,hasa
even,hata
evening,jioni
event,tukio
ever,milele
every,kila
exact,halisi
example,mfano
except,ila
excite,kuchochea
exercise,zoezi
expect,kutarajia
experience,uzoefu
experiment,majaribio
eye,jicho
face,uso
fact,ukweli
fair,haki
fall,kuanguka
family,familia
