english,azerbaijani
a,a
able,edə
about,haqqında
above,bax
act,akt
add,əlavə etmək
afraid,qorxur
after,sonra
again,yenidən
against,qarşı
age,əsr
ago,əvvəl
agree,razıyam
air,hava
all,bütün
allow,imkan
also,də
always,həmişə
am,am
among,arasında
an,bir
and,və
anger,hirs
animal,heyvan
answer,cavab
any,hər hansı bir
appear,görünür
apple,alma
are,var
area,sahəsi
arm,qol
arrange,təşkil etmək
arrive,gələcək
art,incəsənət
as,kimi
ask,soruşmaq
at,at
atom,atom
baby,baby
back,geri
bad,pis
ball,top
band,band
bank,bank
bar,bar
base,baza
basic,əsas
bat,bat
be,olmaq
bear,daşıyırlar
beat,döymək
beauty,gözəllik
bed,bed
been,olmuşdur
before,əvvəl
began,başladı
begin,başlamaq
behind,arxasında
believe,iman
bell,zəng
best,yaxşı
better,yaxşı
between,arasında
big,böyük
bird,quş
bit,bit
black,qara
block,məhəllə
blood,qan
blow,zərbə
blue,mavi
board,board
boat,qayıq
body,bədən
bone,sümük
book,kitab
born,anadan
both,həm
bottom,alt
bought,alıb
box,box
boy,oğlan
branch,filialı
bread,çörək
break,break
bright,parlaq
bring,gətirmək
broad,geniş
broke,qırdı
brother,qardaşı
brought,gətirdi
brown,palıdı
build,qurmaq
burn,yandırmaq
busy,məşğul
but,lakin
buy,almaq
by,tərəfindən
call,zəng edin
came,gəldi
camp,camp
can,bilərsiniz
capital,kapital
captain,kapitan
car,avtomobil
card,kart
care,qayğı
carry,keçirmək
case,hal
cat,cat
catch,tutmaq
caught,tutdu
cause,səbəb
cell,mobil
cent,sent
center,mərkəzi
century,əsr
certain,müəyyən
chair,kreslosu
chance,şans
change,dəyişiklik
character,xarakter
charge,ittiham
chart,chart
check,yoxlamaq
chick,cücə
chief,rəis
child,uşaq
children,uşaq
choose,download
chord,chord
circle,circle
city,şəhər
claim,iddia
class,sinif
clean,təmiz
clear,aydın
climb,qalxma
clock,saat
close,yaxın
clothe,geyindirin
cloud,bulud
coast,sahil
coat,coat
cold,soyuq
collect,toplamaq
colony,koloniya
color,rəng
column,sütun
come,gəlmək
common,ümumi
company,şirkət
compare,müqayisə etmək
complete,tam
condition,vəziyyəti
connect,əlaqə
consider,hesab
consonant,samit
contain,ehtiva
continent,qitə
continue,davam
control,nəzarət
cook,cook
cool,sərin
copy,surəti
corn,qarğıdalı
corner,künc
correct,düzgün
cost,qiymət
cotton,pambıq
could,bilər
count,saymaq
country,ölkə
course,əlbəttə
cover,qapaq
cow,inək
crease,bürüşmək
create,yaratmaq
crop,məhsul
cross,keçmək
