english,mongolian
a,нь
able,боломжтой
about,тухай
above,дээр дурдсан
act,акт
add,нэмэх
afraid,айдаг
after,дараа
again,дахин
against,эсрэг
age,нас
ago,өмнө
agree,санал нэгтэй
air,агаар
all,бүх
allow,боломж олгох
also,мөн
always,үргэлж
am,байна
among,дунд
an,нь
and,болон
anger,уур хилэн
animal,"мал, амьтны"
answer,хариулт нь
any,ямар ч
appear,гарч ирэх
apple,алим
are,байна
area,газар
arm,гар
arrange,зохион байгуулах
arrive,ирэх
art,урлаг
as,гэж
ask,асуух
at,үед
atom,атомын
baby,хүүхэд
back,буцааж
bad,муу
ball,бөмбөг
band,хамтлаг
bank,банк
bar,бар
base,үндсэн
basic,үндсэн
bat,бат
be,байх
bear,үүрэх
beat,зодож
beauty,гоо сайхан
bed,ор
been,байсан
before,өмнө нь
began,эхэлсэн
begin,эхлэх
behind,ард нь
believe,гэдэгт итгэдэг
bell,хонх
best,хамгийн сайн
better,сайн
between,хооронд
big,том
bird,шувуу
bit,хэсэг
black,хар
block,блок
blood,цусны
blow,цохилт
blue,хөх
board,туз-ийн
boat,завь
body,байгууллага
bone,ясны
book,ном
born,төрөлхийн
both,аль аль нь
bottom,доод
bought,худалдан авсан
box,хайрцаг
boy,хүү
branch,салбар
bread,талх
break,завсарлага
bright,гэрэл гэгээтэй
bring,авчрах
broad,өргөн
broke,эвдсэн
brother,ах дүү
brought,авчирсан
brown,бор
build,барих
burn,шарах
busy,завгүй
but,харин
buy,худалдан авах
by,өөр
call,дуудлага
came,ирсэн
camp,бааз
can,болох
capital,капитал
captain,ахмад
car,машины
card,карт
care,тусламж
carry,авч явах
case,хэрэг
cat,муур
catch,барих
caught,татлаа
cause,шалтгаан нь
cell,эсийн
cent,хувь
center,төв
century,зууны
certain,тодорхой
chair,дарга
chance,боломж
change,өөрчлөлт
character,тэмдэгт
charge,үнэ
chart,зураг
check,шалгах
chick,дэгдээхэйн
chief,ерөнхий
child,хүүхэд
children,хүүхдүүд
choose,сонгох
chord,хөвч
circle,тойрог
city,хот
claim,нэхэмжлэл
class,анги
clean,цэвэр
clear,тодорхой
climb,өсөх
clock,цаг
close,ойр
clothe,хувцаслан
cloud,үүл
coast,эрэг
coat,цув
cold,хүйтэн
collect,"цуглуулах,"
colony,колони
color,өнгө
column,багана
come,ирэх
common,нийтлэг
company,компани нь
compare,харьцуулах
complete,бүрэн
condition,нөхцөл байдал
connect,холбох
consider,авч үзэх
consonant,гийгүүлэгч
contain,агуулсан
continent,тив
continue,үргэлжлүүлэх
control,хяналтын
cook,тогооч
cool,сэрүүн
copy,хуулбар
corn,эрдэнэ шиш
corner,булангийн
correct,зөв
cost,зардал
cotton,хөвөн
could,болох
count,тоо
country,улс орон
course,мэдээж
cover,хамгаалах
cow,үнээ
crease,уртасгахад
create,бий болгох
crop,газар тариалан
cross,гаталж
crowd,олон хүн
cry,хашхирах
current,одоогийн
cut,тайрах
dad,аав
dance,бүжгийн
danger,аюул
dark,харанхуй
day,өдөр
dead,нас барсан
deal,хэмжээ
dear,хайрт
death,үхэл
decide,шийдвэр
decimal,аравтын
deep,гүн гүнзгий
degree,зэрэг
depend,хамааралтай
describe,тайлбарлах
desert,цөлийн
design,зураг төсөл
determine,тодорхойлох
develop,боловсруулах
dictionary,ончтой үр дүн
did,байсан
die,үхэх
differ,өөр өөр
difficult,хүнд хэцүү
direct,шууд
discuss,хэлэлцэх
distant,холын
divide,хуваагдал
division,хэлтэс
do,хийх
doctor,"эмч,"
does,вэ
dog,нохой
dollar,доллар
done,хийгдсэн
don’t,хийж чадахгүй
door,хаалга
double,давхар
down,доош нь
draw,зурж
dream,мөрөөдөж
dress,хувцас
drink,ундаа
drive,хөтөч
drop,унагаах
dry,"хуурай,"
duck,нугас
during,үед
each,тус бүр
ear,чихний
early,эрт
earth,дэлхий
ease,хөнгөвчлөх
east,зүүн
eat,идэж
edge,зах
effect,үр нөлөө
egg,өндөг
eight,найман
either,аль нэг
electric,цахилгаан
element,элемент
else,өөр
end,эцсийн
enemy,дайсан
energy,эрчим хүчний
engine,хөдөлгүүр
enough,хангалттай
enter,оруул
equal,тэнцүү
equate,тэнцэхгүй
especially,ялангуяа
even,тэр ч байтугай
evening,орой
event,үйл явдал
ever,хэзээ нэгэн цагт
every,бүх
exact,яг
example,жишээ нь
except,бусад
excite,сэтгэл татна
exercise,дасгал
expect,найдах
experience,туршлага
experiment,туршилт
eye,нүдний
face,нүүр
fact,нь
fair,шударга
fall,унах
family,гэр бүл
famous,алдартай
far,хол
farm,аж ахуй
fast,хурдан
fat,өөх
father,аав нь
favor,хайр
fear,айдас
feed,малын тэжээл
feel,мэдрэх
feet,хөл
fell,буурсан
felt,эсгий
few,хэдэн
field,талбар
fig,инжрийн
fight,тэмцэл
figure,зураг
fill,бөглөх
final,эцсийн
find,олох
fine,нарийн
finger,хуруу
finish,барианы
fire,гал түймэр
first,эхний
fish,загас
fit,таарах
five,таван
flat,хавтгай
floor,шал
flow,урсгал
flower,цэцэг
fly,ялаа
follow,дагах
food,хоол хүнс
foot,хөл
for,нь
force,хүч
forest,ой
form,хэлбэр
forward,урагш
found,олдлоо
four,дөрвөн
fraction,хэсэг
free,чөлөөт
fresh,шинэ
friend,найз нь
from,нь
front,нүүр
fruit,жимс
full,бүрэн
fun,хөгжилтэй
game,тоглоом
garden,цэцэрлэг
gas,хий
gather,цуглуулах
gave,өгсөн
general,ерөнхий
gentle,зөөлөн
get,авах
girl,охин
give,өгөх
glad,баяртай
glass,шилэн
go,явах
gold,алт
gone,илааршсан
good,сайн
got,авсан
govern,удирдах
grand,их
grass,өвс
gray,саарал
great,агуу их
green,ногоон
grew,өссөн
ground,газрын
group,бүлэг
grow,ургадаг
guess,таах
guide,чиглүүлэх
gun,буу
had,байсан
hair,үс
half,тэн хагас нь
hand,гар
happen,болох
happy,аз жаргалтай
hard,хатуу
has,байна
hat,малгай
have,байна
he,тэр
head,дарга
hear,сонсооч
heard,сонслоо
heart,зүрхний
heat,дулаан
heavy,хүнд
held,зохион байгуулав
help,туслах
her,түүнийг
here,энд
high,өндөр
hill,толгой
him,түүнийг
his,өөрийн
history,түүх
hit,хит
hold,барих
hole,нүх
home,нүүр хуудас
hope,гэдэгт найдаж байна
horse,морь
hot,халуун
hour,цаг
house,байшин
how,хэрхэн
huge,асар их
human,хүний
hundred,зуун
hunt,ан
hurry,яарах
i,би
ice,мөс
idea,санаа
if,хэрэв
imagine,төсөөлж
in,нь
inch,инчийн
