english,bosnian
a,a
able,u stanju
about,oko
above,iznad
act,čin
add,dodati
afraid,strah
after,nakon
again,opet
against,protiv
age,starost
ago,prije
agree,slažu
air,zraka
all,sve
allow,omogućiti
also,također
always,uvijek
am,am
among,među
an,an
and,i
anger,bes
animal,životinja
answer,odgovor
any,bilo koji
appear,pojavljuju
apple,apple
are,su
area,području
arm,ruku
arrange,organizirati
arrive,doći
art,art
as,kao
ask,pitati
at,u
atom,atom
baby,baby
back,natrag
bad,loše
ball,lopta
band,band
bank,banke
bar,bar
base,baza
basic,osnovni
bat,šišmiš
be,biti
bear,snositi
beat,tukli
beauty,ljepote
bed,krevet
been,bilo
before,prije
began,počela
begin,počinje
behind,iza
believe,vjeruju
bell,bell
best,najbolji
better,bolje
between,između
big,velika
bird,ptica
bit,bit
black,black
block,blok
blood,krvi
blow,udarac
blue,blue
board,board
boat,boat
body,tijelo
bone,kosti
book,knjiga
born,born
both,oba
bottom,dnu
bought,kupio
box,box
boy,boy
branch,ogranak
bread,kruh
break,break
bright,svijetle
bring,donijeti
broad,široko
broke,slomio
brother,brata
brought,donio
brown,smeđe
build,graditi
burn,burn
busy,zauzet
but,ali
buy,kupiti
by,po
call,call
came,došao
camp,kamp
can,moći
capital,kapitala
captain,kapetan
car,auto
card,karticu
care,njegu
carry,nose
case,slučaju
cat,cat
catch,catch
caught,uhvaćen
cause,uzrok
cell,cell
cent,cent
center,centar
century,stoljeća
certain,određene
chair,stolica
chance,šanse
change,promjene
character,karakter
charge,napunite
chart,grafikon
check,provjeriti
chick,chick
chief,glavni
child,dijete
children,djecu
choose,odaberite
chord,akord
circle,krug
city,grad
claim,tvrdnja
class,klase
clean,clean
clear,jasno
climb,penjanje
clock,sat
close,close
clothe,odijevanje
cloud,cloud
coast,obale
coat,kaput
cold,hladno
collect,prikuplja
colony,kolonija
color,u boji
column,kolonu
come,dolaze
common,zajedničke
company,društva
compare,usporediti
complete,potpune
condition,stanje
connect,povezivanje
consider,razmotriti
consonant,suglasnik
contain,sadrže
continent,kontinenta
continue,nastavljaju
control,kontrole
cook,kuvarica
cool,cool
copy,kopija
corn,kukuruz
corner,kutak
correct,ispravan
cost,troškova
cotton,pamuk
could,mogao
count,računati
country,zemlja
course,naravno
cover,poklopac
cow,krava
crease,gužvanja
create,stvoriti
crop,crop
cross,prelaze
crowd,publika
cry,cry
current,struja
cut,cut
dad,tata
dance,ples
danger,opasnosti
dark,dark
day,dan
dead,mrtav
deal,dogovor
dear,drag
death,smrt
decide,odlučiti
decimal,decimalni
deep,duboko
degree,stupanj
depend,zavisi
describe,opisuju
desert,pustinja
design,dizajn
determine,odredi
develop,razvijaju
dictionary,rječnik
did,učinio
die,umrijeti
differ,razlikuju
difficult,težak
direct,direktna
discuss,razgovarati
distant,udaljene
divide,divide
division,division
do,do
doctor,doktor
does,radi
dog,pas
dollar,dolara
done,gotovo
don’t,ne
door,vrata
double,double
down,down
draw,izvući
dream,sanjati
dress,dress
drink,piće
drive,pogon
drop,drop
dry,suho
duck,duck
during,vrijeme
each,svaka
ear,uho
early,rano
earth,earth
ease,ublažiti
east,east
eat,jesti
edge,edge
effect,učinak
egg,jaje
eight,osam
either,bilo
electric,električni
element,element
else,ostalo
end,kraj
enemy,neprijatelj
energy,energije
engine,motor
enough,dovoljno
enter,ući
equal,jednake
equate,izjednačavaju
especially,posebno
even,čak i
evening,večer
event,događaja
ever,ikad
every,svaka
exact,tačan
example,primjer
except,osim
excite,uzbuditi
exercise,vježbe
expect,očekujem
