english,macedonian
a,на
able,состојба
about,за
above,над
act,чин
add,додадете
afraid,плашат
after,по
again,повторно
against,против
age,возраст
ago,пред
agree,согласувам
air,воздух
all,сите
allow,овозможи
also,"исто така,"
always,секогаш
am,часот
among,меѓу
an,на
and,и
anger,гнев
animal,животните
answer,одговор
any,било
appear,се појави
apple,јаболко
are,се
area,област
arm,рака
arrange,организира
arrive,пристигнат
art,уметност
as,како
ask,побара
at,на
atom,атомот
baby,бебе
back,назад
bad,лоша
ball,топка
band,бендот
bank,банка
bar,бар
base,база
basic,основните
bat,лилјак
be,биде
bear,носат
beat,победи
beauty,убавина
bed,кревет
been,е
before,пред
began,започна
begin,започне
behind,зад
believe,веруваат
bell,ѕвоно
best,најдобрите
better,подобро
between,меѓу
big,голема
bird,птици
bit,малку
black,црна
block,блок
blood,крв
blow,удар
blue,сина
board,одбор
boat,брод
body,тело
bone,коска
book,книга
born,роден
both,и
bottom,дното
bought,купи
box,кутија
boy,момчето
branch,гранка
bread,леб
break,пауза
bright,светла
bring,донесе
broad,широк
broke,скрши
brother,брат
brought,донесе
brown,кафеава
build,изградба
burn,изгори
busy,зафатен
but,но
buy,купување
by,од
call,повик
came,дојде
camp,камп
can,може
capital,капитал
captain,капетан
car,автомобил
card,картичка
care,грижа
carry,носат
case,случај
cat,мачка
catch,фати
caught,фатени
cause,причина
cell,мобилен
cent,проценти
center,центар
century,век
certain,одредени
chair,стол
chance,шанса
change,промена
character,карактер
charge,наплаќаат
chart,шема
check,проверете
chick,девојка
chief,главен
child,дете
children,деца
choose,изберете
chord,акорд
circle,круг
city,град
claim,барање
class,класа
clean,чиста
clear,јасно
climb,искачувањето
clock,часовник
close,блиску
clothe,облечеш
cloud,облак
coast,брег
coat,капут
cold,ладна
collect,соберат
colony,колонијата
color,боја
column,колона
come,доаѓаат
common,заеднички
company,компанијата
compare,спореди
complete,целосна
condition,состојба
connect,поврзете
consider,сметаат
consonant,согласка
contain,содржи
continent,континент
continue,продолжи
control,контрола
cook,кук
cool,кул
copy,копија
corn,пченка
corner,агол
correct,точни
cost,цена
cotton,памук
could,можев
count,смета
country,земја
course,се разбира
cover,покритие
cow,крава
crease,браздата
create,создаде
crop,култура
cross,премине
crowd,толпата
cry,крик
current,тековната
cut,намалување на
dad,татко
dance,танц
danger,опасност
dark,темно
day,ден
dead,мртви
deal,договор
dear,драги
death,смрт
decide,одлучи
decimal,децимална
deep,длабоко
degree,степен
depend,зависи
describe,опише
desert,пустината
design,дизајн
determine,утврди
develop,развие
dictionary,речник
did,не
die,умре
differ,разликуваат
difficult,тешко
direct,директна
discuss,дискутираат
distant,далечни
divide,јаз
division,поделба
do,направи
doctor,лекар
does,не
dog,куче
dollar,долар
done,направено
don’t,не
door,врата
double,двојно
down,надолу
draw,подготви
dream,сон
dress,фустан
drink,пијалок
drive,диск
drop,капка
dry,сува
duck,патка
during,за време на
each,секој
ear,уво
early,почетокот
earth,земјата
ease,олеснување
east,исток
eat,јадете
edge,работ
effect,ефект
egg,јајце
eight,осум
either,или
electric,електрични
element,елемент
else,друг
end,крајот
enemy,непријател
energy,енергија
engine,моторот
enough,доволно
enter,внесете
equal,еднакви
equate,изедначуваат
especially,особено
even,дури и
evening,вечерта
event,настанот
ever,некогаш
every,секој
exact,точниот
example,пример
except,освен
excite,возбуди
exercise,вежби
expect,очекуваме
experience,искуство
experiment,експеримент
eye,око
face,лице
fact,всушност
fair,фер
fall,паѓаат
family,семејство
famous,познат
far,далеку
farm,фарма
fast,брзо
fat,масти
father,татко
favor,корист
fear,страв
feed,feed
feel,се чувствуваат
feet,нозе
fell,падна
felt,чувствува
few,неколку
field,поле
fig,слика
fight,борба
figure,слика
fill,пополнување
final,конечна
find,најдете
fine,парична казна
finger,прст
finish,финиш
fire,оган
first,прва
fish,риба
fit,одговара
five,пет
flat,стан
floor,кат
flow,проток
flower,цвет
fly,лета
follow,следат
food,храна
foot,нога
for,за
force,сила
forest,шума
form,форма
forward,напред
found,најде
four,четири
fraction,дел
free,слободен
fresh,свежо
friend,пријател
from,од
front,пред
fruit,овошје
full,целосна
fun,забава
game,игра
garden,градина
gas,гас
gather,соберат
gave,даде
general,општо
gentle,нежен
get,се
girl,девојка
give,даде
glad,мило
glass,стакло
go,одат
gold,злато
gone,поминаа
good,добро
got,доби
govern,регулираат
grand,гренд
grass,трева
gray,сива
great,голем
green,зелена
grew,зголеми
ground,земјата
group,група
grow,расте
guess,претпоставувам
guide,водење на
gun,пиштол
had,имаше
hair,коса
half,половина
hand,страна
happen,се случи
happy,среќен
hard,тешко
has,има
hat,шапка
have,имаат
he,тој
head,глава
hear,слушаат
heard,слушнав
heart,срцето
heat,топлина
heavy,тешки
held,одржана
help,помогне
her,нејзините
here,тука
high,висок
hill,рид
him,го
his,неговата
history,историја
hit,хит
hold,се одржи
hole,дупка
home,дома
hope,се надевам
horse,коњ
hot,топла
hour,час
house,куќа
how,како
huge,огромен
human,човечки
hundred,сто
hunt,лов
hurry,брза
i,јас
ice,мраз
idea,идеја
if,ако
imagine,замисли
in,во
inch,инчен
include,вклучуваат
indicate,укажуваат
industry,индустрија
insect,инсекти
instant,инстант
instrument,инструмент
interest,интерес
invent,измислат
iron,железо
is,е
island,остров
it,тоа
job,работа
join,се приклучат
joy,радост
jump,скок
just,само
keep,задржи
kept,чува
key,клучот
kill,убие
kind,вид
king,крал
knew,знаеја
know,знаете
lady,дама
lake,езерото
land,земјиште
language,јазик
large,голем
last,последните
late,крајот
laugh,смеа
