english,kinyarwanda
a,a
able,bashoboye
about,hafi
above,hejuru
act,gukora
add,ongeraho
afraid,ubwoba
after,nyuma
again,na none
against,kurwanya
age,imyaka
ago,kera
agree,byumvikane
air,umwuka
all,byose
allow,emera
also,na
always,burigihe
am,am
among,muri
an,an
and,na
anger,uburakari
animal,inyamaswa
answer,igisubizo
any,icyaricyo cyose
appear,kugaragara
apple,pome
are,ni
area,akarere
arm,ukuboko
arrange,tegura
arrive,shika
art,ubuhanzi
as,nka
ask,baza
at,kuri
atom,atom
baby,umwana
back,inyuma
bad,bibi
ball,umupira
band,band
bank,banki
bar,bar
base,shingiro
basic,shingiro
bat,bat
be,be
bear,idubu
beat,gukubita
beauty,ubwiza
bed,uburiri
been,yabaye
before,mbere
began,yatangiye
begin,tangira
behind,inyuma
believe,bizere
bell,inzogera
best,byiza
better,byiza
between,hagati
big,binini
bird,inyoni
bit,bit
black,umukara
block,guhagarika
blood,maraso
blow,gukubita
blue,ubururu
board,ikibaho
boat,ubwato
body,umubiri
bone,igufwa
book,igitabo
born,yavutse
both,byombi
bottom,hepfo
bought,yaguzwe
box,agasanduku
boy,umuhungu
branch,ishami
bread,umutsima
break,kuruhuka
bright,umucyo
bring,kuzana
broad,mugari
broke,yamenetse
brother,umuvandimwe
brought,yazanye
brown,umukara
build,kubaka
burn,gutwika
busy,ahuze
but,ariko
buy,buy buy
by,na
call,hamagara
came,yaje
camp,ingando
can,irashobora
capital,umurwa mukuru
captain,kapiteni
car,imodoka
card,ikarita
care,ubwitonzi
carry,gutwara
case,urubanza
cat,injangwe
catch,gufata
caught,yafashwe
cause,impamvu
cell,selire
cent,ijana
center,hagati
century,ikinyejana
certain,runaka
chair,intebe
chance,amahirwe
change,impinduka
character,imiterere
charge,kwishyuza
chart,imbonerahamwe
check,kugenzura
chick,inkoko
chief,umukuru
child,umwana
children,abana
choose,hitamo
chord,inanga
circle,umuzenguruko
city,umujyi
claim,ikirego
class,icyiciro
clean,isuku
clear,bisobanutse
climb,kuzamuka
clock,isaha
close,hafi
clothe,umwambaro
cloud,igicu
coast,inkombe
coat,ikoti
cold,imbeho
collect,gukusanya
colony,ubukoloni
color,ibara
column,inkingi
come,ngwino
common,rusange
company,sosiyete
compare,gereranya
complete,byuzuye
condition,imiterere
connect,guhuza
consider,tekereza
consonant,inyuguti nini
contain,birimo
continent,umugabane
continue,komeza
control,kugenzura
cook,guteka
cool,akonje
copy,kopi
corn,ibigori
corner,mfuruka
