english,icelandic
a,a
able,fær
about,um
above,ofan
act,athöfn
add,bæta
afraid,hræddur
after,eftir
again,aftur
against,gegn
age,aldur
ago,síðan
agree,sammála
air,loft
all,allt
allow,leyfa
also,einnig
always,alltaf
am,am
among,meðal
an,sem
and,og
anger,reiði
animal,dýr
answer,svar
any,allir
appear,birtist
apple,epli
are,eru
area,svæði
arm,armur
arrange,raða
arrive,koma
art,list
as,sem
ask,spyrja
at,á
atom,atóm
baby,barn
back,aftur
bad,slæmt
ball,bolti
band,band
bank,banka
bar,bar
base,stöð
basic,undirstöðu
bat,kylfu
be,vera
bear,bera
beat,slá
beauty,fegurð
bed,rúm
been,verið
before,áður
began,byrjaði
begin,byrja
behind,bak
believe,trúa
bell,bjalla
best,besta
better,betur
between,milli
big,stór
bird,fugl
bit,bita
black,svart
block,blokk
blood,blóð
blow,blása
blue,blár
board,borð
boat,bátur
body,líkami
bone,bein
book,bók
born,fædd
both,bæði
bottom,botn
bought,keypti
box,kassi
boy,drengur
branch,útibú
bread,brauð
break,brjóta
bright,björt
bring,koma
broad,breið
broke,braut
brother,bróðir
brought,fært
brown,brúnn
build,byggja
burn,brenna
busy,upptekinn
but,en
buy,kaupa
by,með
call,kalla
came,kom
camp,tjaldvagnar
can,getur
capital,höfuðborg
captain,skipstjórinn
car,bíll
card,kort
care,umönnun
carry,bera
case,mál
cat,köttur
catch,afli
caught,veiddur
cause,orsök
cell,klefi
cent,cent
center,miðstöð
century,öld
certain,víst
chair,stóll
chance,tækifæri
change,breyting
character,eðli
charge,ákæra
chart,mynd
check,athuga
chick,chick
chief,æðstu
child,barn
children,börn
choose,velja
chord,hljómurinn
circle,hring
city,borg
claim,krafa
class,flokki
clean,hreinn
clear,ljóst
climb,klifra
clock,klukka
close,nálægt
clothe,klæða
cloud,ský
coast,ströndin
coat,frakki
cold,kalt
collect,safna
colony,nýlenda
color,lit
column,dálki
come,koma
common,algengar
company,fyrirtæki
compare,bera
complete,heill
condition,ástand
connect,tengja
consider,íhuga
consonant,samsvari
contain,innihalda
continent,heimsálfu
continue,áfram
control,stjórn
cook,elda
cool,kaldur
copy,eintak
corn,korn
corner,horn
correct,rétt
cost,kostnaður
cotton,bómull
could,gat
count,telja
country,land
course,námskeið
cover,kápa
cow,kýr
crease,aukning
create,búa
crop,uppskera
cross,yfir
crowd,fólkið
cry,gráta
current,núverandi
cut,skera
dad,pabbi
dance,dans
danger,hætta
dark,dökk
day,dagur
dead,dauður
deal,samningur
dear,kæri
death,dauða
decide,ákveða
decimal,aukastaf
deep,djúpt
degree,gráðu
depend,ráðast
describe,lýsa
desert,eyðimörk
design,hönnun
determine,ákvarða
develop,þróa
dictionary,orðabók
did,gerði
die,deyja
differ,mismunandi
difficult,erfitt
direct,bein
discuss,ræða
distant,fjarlæg
divide,skipta
division,deild
do,gera
doctor,læknir
does,gerir
dog,hundur
dollar,dalur
done,gert
don’t,ekki
door,dyr
