english,odia_(oriya)
a,a
able,ସକ୍ଷମ
about,ବିଷୟରେ
above,ଉପରେ
act,କାର୍ଯ୍ୟ କର
add,ଯୋଡନ୍ତୁ |
afraid,ଭୟ
after,ପରେ
again,ପୁନର୍ବାର
against,ବିପକ୍ଷରେ
age,ବୟସ
ago,ପୂର୍ବରୁ
agree,ସହମତ
air,ବାୟୁ
all,ସମସ୍ତ
allow,ଅନୁମତି ଦିଅନ୍ତୁ |
also,ଆହୁରି ମଧ୍ୟ |
always,ସବୁବେଳେ
am,ମୁଁ
among,ମଧ୍ୟରେ |
an,an
and,ଏବଂ
anger,କ୍ରୋଧ
animal,ପଶୁ
answer,ଉତ୍ତର ଦିଅ
any,ଯେକ any ଣସି
appear,ଦେଖାଯାଏ |
apple,ଆପଲ୍
are,ହେଉଛି |
area,କ୍ଷେତ୍ର
arm,ବାହୁ
arrange,ବ୍ୟବସ୍ଥା କର |
arrive,ପହଞ୍ଚ
art,କଳା
as,ଯେପରି
ask,ପଚାର |
at,at
atom,ପରମାଣୁ
baby,ଶିଶୁ
back,ପଛକୁ
bad,ଖରାପ
ball,ବଲ୍
band,ବ୍ୟାଣ୍ଡ
bank,ବ୍ୟାଙ୍କ
bar,ଦଣ୍ଡିକା
base,ଆଧାର
basic,ମ basic ଳିକ
bat,ବ୍ୟାଟ୍
be,ହୁଅ
bear,ଭାଲୁ
beat,beat
beauty,ସ beauty ନ୍ଦର୍ଯ୍ୟ
bed,ଶଯ୍ୟା
been,ହୋଇସାରିଛି |
before,ପୂର୍ବରୁ
began,ଆରମ୍ଭ ହେଲା |
begin,ଆରମ୍ଭ କର |
behind,ପଛରେ
believe,ବିଶ୍ୱାସ କର
bell,ଘଣ୍ଟି
best,ସର୍ବୋତ୍ତମ
better,ଭଲ
between,ମଧ୍ୟରେ
big,ବଡ
bird,ପକ୍ଷୀ
bit,ବିଟ୍
black,କଳା
block,ବ୍ଲକ
blood,ରକ୍ତ
blow,blow ଟକା
blue,ନୀଳ
board,ବୋର୍ଡ
boat,ଡଙ୍ଗା
body,ଶରୀର
bone,ହାଡ
book,ପୁସ୍ତକ
born,ଜନ୍ମ
both,ଉଭୟ
bottom,ତଳ
bought,କିଣିଛି
box,ବାକ୍ସ
boy,ପୁଅ
branch,ଶାଖା
bread,ରୁଟି |
break,ବ୍ରେକ୍
bright,ଉଜ୍ଜ୍ୱଳ
bring,ଆଣ |
broad,ପ୍ରଶସ୍ତ |
broke,ଭାଙ୍ଗିଗଲା |
brother,ଭାଇ
brought,ଆଣିଲା |
brown,ବାଦାମୀ
build,ନିର୍ମାଣ
burn,ଜଳ
busy,ବ୍ୟସ୍ତ
but,କିନ୍ତୁ
buy,କିଣ |
by,ଦ୍ .ାରା
call,କଲ୍ କରନ୍ତୁ |
came,ଆସିଲା
camp,ଶିବିର
can,କରିପାରିବେ |
capital,ପୁଞ୍ଜି
captain,ଅଧିନାୟକ
car,କାର
card,କାର୍ଡ
care,ଯତ୍ନ
carry,ବହନ କର
case,କେସ୍
cat,ବିଲେଇ
catch,ଧର
caught,ଧରାପଡିଛି |
cause,କାରଣ
cell,କକ୍ଷ
cent,ଶତକଡା
center,କେନ୍ଦ୍ର
century,ଶତାବ୍ଦୀ
certain,ନିଶ୍ଚିତ
chair,ଚେୟାର
chance,ସୁଯୋଗ
change,ପରିବର୍ତ୍ତନ
character,ବର୍ଣ୍ଣ
charge,ଚାର୍ଜ
chart,ଚାର୍ଟ
check,ଯାଞ୍ଚ କରନ୍ତୁ |
chick,କୁକୁଡ଼ା
chief,ମୁଖିଆ
child,ପିଲା
children,ପିଲାମାନେ
choose,ବାଛନ୍ତୁ |
chord,ଧ୍ୱନି
circle,ବୃତ୍ତ
city,ସହର
claim,ଦାବି
class,ଶ୍ରେଣୀ
clean,ପରିଷ୍କାର
clear,ସଫା
climb,ଚଢିବା
clock,ଘଣ୍ଟା
close,ବନ୍ଦ
clothe,ପରିଧାନ କର
cloud,ମେଘ
coast,ଉପକୂଳ
coat,କୋଟ
cold,ଥଣ୍ଡା
collect,ସଂଗ୍ରହ କରନ୍ତୁ |
colony,କଲୋନୀ
color,ରଙ୍ଗ
column,ସ୍ତମ୍ଭ
come,ଆସ
common,ସାଧାରଣ
company,କମ୍ପାନୀ
compare,ତୁଳନା କର
complete,ସଂପୂର୍ଣ୍ଣ
condition,ଅବସ୍ଥା
connect,ସଂଯୋଗ କରନ୍ତୁ |
consider,ଧ୍ୟାନ ଦିଅ |
consonant,ଧ୍ୱନି
contain,ଧାରଣ କରନ୍ତୁ |
continent,ମାଳଦ୍ୱୀପ
continue,ଜାରି ରଖ |
control,ନିୟନ୍ତ୍ରଣ
cook,ରାନ୍ଧ |
cool,ଥଣ୍ଡା
copy,କପି କରନ୍ତୁ |
corn,ମକା
corner,କୋଣ
correct,ସଠିକ୍
cost,ମୂଲ୍ୟ
cotton,କପା
could,କରିପାରନ୍ତି |
count,ଗଣନା
country,ଦେଶ
