english,basque
a,a
able,gai
about,buruz
above,goiko
act,ekintza
add,gehitu
afraid,beldur
after,ondoren
again,berriro
against,aurka
age,adina
ago,ago
agree,ados
air,aire
all,guztiak
allow,baimendu
also,halaber
always,beti
am,ni
among,artean
an,baten
and,eta
anger,haserrea
animal,animalia
answer,erantzuna
any,edozein
appear,agertzen
apple,sagar
are,daude
area,zonalde
arm,arm
arrange,antolatu
arrive,iristen
art,art
as,bezala
ask,eskatu
at,at
atom,atomo
baby,haurra
back,atzera
bad,txarra
ball,pilota
band,band
bank,bankua
bar,bar
base,base
basic,oinarrizko
bat,bat
be,izan
bear,bear
beat,beat
beauty,edertasuna
bed,ohean
been,izan
before,aurretik
began,hasi
begin,hasiko
behind,atzean
believe,sinesten
bell,kanpai
best,onena
better,hobeto
between,arteko
big,big
bird,txori
bit,bit
black,beltza
block,bloke
blood,odol
blow,kolpe
blue,blue
board,taula
boat,txalupa
body,gorputza
bone,hezur
book,liburua
born,born
both,bai
bottom,behean
bought,erosi
box,kutxa
boy,mutiko
branch,adarra
bread,ogia
break,break
bright,distiratsua
bring,ekarri
broad,zabal
broke,hautsi
brother,anaia
brought,ekarri
brown,marroi
build,eraikitzeko
burn,erre
busy,lanpetuta
but,baina
buy,erosi
by,arabera
call,deia
came,dugunik
camp,camp
can,ahal
capital,capital
captain,kapitainak
car,autoa
card,txartel
care,zainketa
carry,egiteko
case,kasu
cat,katu
catch,catch
caught,harrapatu
cause,kausa
cell,zelula
cent,cent
center,zentroa
century,mendean
certain,zenbait
chair,aulkia
chance,aukera
change,aldaketa
character,pertsonaia
charge,kobratzen
chart,taula
check,egiaztatu
chick,chick
chief,buruzagi
child,umearen
children,haurrak
choose,aukeratu
chord,akordeak
circle,zirkulua
city,hiria
claim,erreklamazioa
class,class
clean,garbi
clear,argi
climb,igoera
clock,erlojuaren
close,itxi
clothe,clothe
cloud,hodei
coast,kostaldean
coat,berokia
cold,hotza
collect,biltzeko
colony,kolonia
color,kolorea
column,zutabe
come,zatoz
common,ohikoa
company,konpainia
compare,alderatu
complete,osoa
condition,baldintza
connect,konektatu
consider,kontuan hartu
consonant,kontsonante
contain,eduki
continent,kontinenteko
continue,jarraitzeko
control,kontrola
cook,sukaldari
cool,cool
copy,kopia
corn,arto
corner,korner
correct,zuzena
cost,kostua
cotton,kotoia
could,could
count,zenbatu
country,country
course,ikastaroa
cover,cover
cow,behi
crease,crease
create,sortu
crop,laborantza
cross,zeharkatuko
crowd,zaleak
cry,oihu
current,egungo
cut,ebaki
dad,dad
dance,dantza
danger,arriskuan
dark,dark
day,egun
dead,hildako
deal,akordio
dear,maitea
death,heriotza
decide,erabakitzeko
decimal,hamartarrekin
deep,sakona
degree,maila
depend,mendekoak
describe,deskribatuko
desert,basamortuko
design,diseinua
determine,zehazteko
develop,garatzea
dictionary,hiztegia
did,egin
die,hiltzen
differ,datoz
difficult,zaila
direct,zuzeneko
discuss,eztabaidatzeko
distant,urrutiko
divide,arraila
division,zatiketa
do,egin
doctor,doctor
does,ez du
dog,txakur
dollar,dolarrak
done,done
don’t,ez
door,atea
double,bikoitza
down,behera
draw,marraztu
dream,amets
dress,soineko
drink,edari
drive,pase
drop,jaregin
dry,lehorra
duck,ahate
during,zehar
each,bakoitzak
ear,belarria
early,hasieran
earth,lurra
ease,erraztasuna
east,ekialdean
eat,jan
edge,ertza
effect,efektu
egg,arrautza
eight,zortzi
either,bai
electric,elektrikoa
element,elementu
else,else
end,end
enemy,etsaiaren
energy,energia
engine,motorra
enough,nahikoa
enter,idatzi
equal,berdina
equate,equate
especially,"batez ere,"
even,are
evening,arratsaldean
event,ekitaldia
ever,inoiz
every,behin
exact,zehatza
example,adibidez
except,salbu
excite,urduritu
exercise,ariketa
expect,espero
experience,eskarmentu
experiment,esperimentua
eye,begi
face,aurpegi
fact,izan
fair,azoka
fall,erori
family,familiari
famous,ospetsua
far,urrun
farm,baserriko
fast,azkarra
fat,gantz
father,aita
favor,mesede
fear,beldurra
feed,feed
feel,sentitzen
feet,oinak
fell,jaitsi
felt,sentitu
few,gutxi
field,eremu
fig,piku
fight,borroka
figure,zifra
fill,bete
final,final
find,aurkitu
fine,fina
finger,hatz
finish,akabera
fire,sua
first,lehenengoa
fish,arrain
fit,kabitzen
five,bost
flat,laua
floor,solairuan
flow,osotasunean
flower,lore
fly,hegan
follow,jarraitu
food,janaria
foot,oinez
for,for
force,indarrean
forest,basoa
form,formulario
forward,aurrera
found,aurkitu
four,lau
fraction,frakzio
free,free
fresh,freskoa
friend,lagun
from,tik
front,aurrean
fruit,fruta
full,osoa
fun,fun
game,partida
garden,lorategia
gas,gas
gather,bildu
gave,eman
general,oro
gentle,leuna
get,lortu
girl,neska
give,eman
glad,pozik
glass,beira
go,joan
gold,urre
gone,gone
good,ona
got,lortu
govern,gobernatzeko
grand,grand
grass,belarra
gray,grisa
great,handia
green,berdea
grew,hazi
ground,lurrean
group,taldea
grow,hazten
guess,asmatzen
guide,orientatzea
gun,pistola
had,izan
hair,ilea
half,erdia
hand,eskuko
happen,gertatuko
happy,zoriontsu
hard,gogor
has,ditu
hat,hat
have,dute
he,zuen
head,burua
hear,entzun
heard,entzun
heart,bihotza
heat,bero
heavy,heavy
held,mantendutako
help,lagun
her,bere
here,hemen
high,handiko
hill,muino
him,zion
his,bere
history,historia
hit,hit
hold,eutsi
hole,zulo
home,hasiera
hope,espero
horse,zaldi
hot,hot
hour,ordu
house,etxea
how,nola
huge,handi
human,giza
hundred,ehun
hunt,ehiza
hurry,presarik
i,i
ice,izotz
idea,ideia
if,bada
imagine,imajinatu
in,in
inch,hazbeteko
include,"besteak beste,"
indicate,adierazten
industry,industria
insect,intsektuen
instant,instant
instrument,instrumentua
interest,interes
invent,asmatuko
iron,burdina
is,da
island,uharteko
it,berau
job,lana
join,apunta
joy,poza
jump,salto
just,besterik
keep,mantentzeko
