english,kannada
a,ಒಂದು
able,ಸಾಧ್ಯವಾಗುತ್ತದೆ
about,ಬಗ್ಗೆ
above,ಮೇಲೆ
act,ಆಕ್ಟ್
add,ಸೇರಿಸಬಹುದು
afraid,ಹೆದರುತ್ತಿದ್ದರು
after,ನಂತರ
again,ಮತ್ತೆ
against,ವಿರುದ್ಧ
age,ವಯಸ್ಸು
ago,ಹಿಂದೆ
agree,ಒಪ್ಪುತ್ತೇನೆ
air,ಗಾಳಿ
all,ಎಲ್ಲಾ
allow,ಅವಕಾಶ
also,ಸಹ
always,ಯಾವಾಗಲೂ
am,ನಾನು
among,ನಡುವೆ
an,ಒಂದು
and,ಮತ್ತು
anger,ಕೋಪ
animal,ಪ್ರಾಣಿ
answer,ಉತ್ತರ
any,ಯಾವುದೇ
appear,ದೂರವಾಣಿ
apple,ಸೇಬು
are,ಇವೆ
area,ಪ್ರದೇಶ
arm,ಕೈ
arrange,ವ್ಯವಸ್ಥೆ
arrive,ಬರುವ
art,ಕಲೆ
as,ಮಾಹಿತಿ
ask,ಕೇಳಿ
at,ನಲ್ಲಿ
atom,ಪರಮಾಣು
baby,ಬೇಬಿ
back,ಮತ್ತೆ
bad,ಕೆಟ್ಟ
ball,ಚೆಂಡನ್ನು
band,ಬ್ಯಾಂಡ್
bank,ಬ್ಯಾಂಕ್
bar,ಬಾರ್
base,ಮೂಲ
basic,ಮೂಲ
bat,ಬ್ಯಾಟ್
be,ಎಂದು
bear,ಕರಡಿ
beat,ಬೀಟ್
beauty,ಸೌಂದರ್ಯ
bed,ಹಾಸಿಗೆ
been,ಬಂದಿದೆ
before,ಮೊದಲು
began,ಆರಂಭಿಸಿದರು
begin,ಆರಂಭಿಸಲು
behind,ಹಿಂದೆ
believe,ನಂಬಿಕೆ
bell,ಬೆಲ್
best,ಉತ್ತಮ
better,ಉತ್ತಮ
between,ನಡುವೆ
big,ದೊಡ್ಡ
bird,ಹಕ್ಕಿ
bit,ಸ್ವಲ್ಪ
black,ಕಪ್ಪು
block,ಬ್ಲಾಕ್
blood,ರಕ್ತ
blow,ಬ್ಲೋ
blue,ನೀಲಿ
board,ಬೋರ್ಡ್
boat,ದೋಣಿ
body,ದೇಹದ
bone,ಮೂಳೆ
book,ಪುಸ್ತಕ
born,ಜನನ
