english,kyrgyz
a,бир
able,алат
about,жөнүндө
above,жогору
act,иш
add,кошуу
afraid,коркуп
after,кийин
again,дагы бир жолу
against,каршы
age,жашы
ago,мурда
agree,макул
air,аба
all,бардык
allow,уруксат берүү
also,дагы
always,дайыма
am,жатам
among,арасында
an,бир
and,жана
anger,ачуулануу
animal,жаныбар
answer,жооп
any,кандайдыр
appear,көрүнүшү
apple,алма
are,болуп саналат
area,аймак
arm,кол
arrange,уюштуруу
arrive,келүү
art,искусство
as,катары
ask,суроо
at,боюнча
atom,атом
baby,бала
back,кайра
bad,жаман
ball,топ
band,банда
bank,банк
bar,бар
base,база
basic,негизги
bat,жар канат
be,болуу
bear,көтөрүү
beat,"сабап,"
beauty,сулуулук
bed,төшөк
been,болуп
before,мурун
began,баштады
begin,баштоо
behind,артынан
believe,ишенүү
bell,коңгуроо
best,мыкты
better,сонун
between,ортосунда
big,чоң
bird,чымчык
bit,бит
black,кара
block,тосуу
blood,кан
blow,ышкыруу
blue,көк
board,башкарма
boat,кайык
body,дене
bone,сөөк
book,китеп
born,тубаса
both,экөө тең
bottom,жыйынтык
bought,сатып алган
box,кутуча
boy,бала
branch,бутак
bread,нан
break,тыныгуу
bright,жаркырак
bring,алып келүү
broad,кенен
broke,сындырды
brother,"байке, ини"
brought,алып келди
brown,күрөң
build,куруу
burn,өрттөө
busy,алек
but,бирок
buy,сатып алуу
by,менен
call,чакыруу
came,болду
camp,лагерь
can,алат
capital,борбор
captain,капитан
car,унаа
card,карта
care,камкордук
carry,ашырууга
case,окуя
cat,мышык
catch,кармоо
caught,кармалды
cause,себеп
cell,клетка
cent,пайыз
center,борбор
century,кылым
certain,белгилүү
chair,стул
chance,учур
change,өзгөртүү
character,белги
charge,күнөө
chart,диаграмма
check,текшерүү
chick,жөжө
chief,башчы
child,бала
children,балдар
choose,тандап алуу
chord,аккорд
circle,тегерек
city,шаары
claim,талап
class,тап
clean,таза
clear,ачык
climb,көтөрүлүү
clock,саат
close,жакын
clothe,кийинүү
cloud,булут
coast,деңиз жээги
coat,жүн
cold,суук
collect,жыйноо
colony,колония
color,түс
column,колонна
come,келген
common,жалпы
company,компания
compare,салыштыруу
complete,аяктоо
condition,абал
connect,байланышуу
consider,кароо
consonant,үнсүз тыбыш
contain,камтылган
continent,континент
continue,улантуу
control,башкаруу
cook,ашпозчу аял
cool,баракелде
copy,копия
corn,дан
corner,бурч
correct,туура
cost,нарк
cotton,пахта
could,мүмкүн
count,эсептөө
country,мамлекет
course,"албетте,"
cover,жабуу
cow,уй
crease,көбөйткөнгө
create,түзүү
crop,түшүм
cross,кесип
crowd,эл
cry,ыйлоо
current,учурдагы
cut,кесүү
dad,ата
dance,бий
danger,коркунуч
dark,караңгы
day,күн
dead,өлгөн
deal,иш
dear,кымбаттуу
death,өлүм
decide,чечүү
decimal,ондук
deep,терең
degree,даражасы
depend,көз каранды
describe,баяндоо
desert,ээн
design,дизайн
determine,белгилөө
develop,иштеп чыгуу
dictionary,сөздүк
did,кылды
die,өлүү
differ,ар кандай
difficult,татаал
direct,түз
discuss,талкуулашат
distant,алыс
divide,бөлүнүү
division,бөлүм
do,эмне
doctor,доктор
does,кылат
dog,ит
dollar,доллар
done,аткарылган
don’t,кыла албайт
door,эшик
double,эки эсе көп
down,төмөн
draw,тартуу
dream,түш
dress,көйнөк
drink,ичүү
drive,кубалоо
