english,hawaiian
a,he
able,hiki
about,e pili ana i
above,luna
act,hana
add,hui
afraid,makau
after,mahope iho o
again,hou
against,ku
age,makahiki
ago,aku nei
agree,ae
air,ea
all,a pau
allow,ae aku
also,no hoi
always,mau
am,no
among,mawaena o
an,kekahi
and,a
anger,huhu
animal,holoholona
answer,pane
any,kekahi
appear,hele mai
apple,kii onohi
are,ua
area,wahi
arm,lima
arrange,hooponopono
arrive,hiki
art,oe
as,e like me
ask,noi
at,ma
atom,’ātoma
baby,pēpē
back,i hope
bad,ino
ball,poepoe
band,hui
bank,"pali,"
bar,hookolokolo
base,kumu
basic,kumu o
bat,’ōpeʻapeʻa
be,e
bear,lawe
beat,pepehi
beauty,nani
bed,moe
been,i
before,imua o
began,hoomaka ae
begin,hoomaka
behind,mahope
believe,manaoio
bell,bele
best,pono
better,maikai
between,waena o
big,nui
bird,manu
bit,iki
black,ʻeleʻele
block,aeie
blood,ke koko
blow,puupuu
blue,polū
board,papa
boat,moku
body,kino
bone,iwi
book,buke
born,born
both,elua
bottom,lalo
bought,kuai
box,pahu
boy,keiki
branch,lala
bread,ka berena
break,ʻoluʻolu o
bright,ao alohilohi i
bring,lawe mai
broad,ka laulā
broke,uhai
brother,"kaikuaʻana, kaikaina"
brought,lawe mai
brown,palaunu
build,hana
burn,puhi
busy,’ō i
but,"aka,"
buy,kuai
by,ma
call,kahea
came,hele mai
camp,hoomoana
can,hiki
capital,poʻo
captain,luna
car,kaʻa
card,kāleka
care,mālama
carry,lawe
case,hihia
cat,popoki
catch,hoopahele ae la i
caught,loaa
cause,kumu
cell,aeea
cent,keneta
center,kikowaena
century,kenekulia
certain,kekahi
chair,noho
chance,wale
change,loli
character,ano
charge,kauoha
chart,pakuhi
check,huli
chick,chick
chief,kahuna
child,keiki
children,keiki
choose,koho
chord,chord
circle,kaiapili
city,kulanakauhale
claim,koi ana
class,papa
clean,maemae
clear,maopopo
climb,pii ana
clock,uaki
close,kokoke
clothe,hoaahu
cloud,ao
coast,mokuna
coat,kapa
cold,anu
collect,ohi
colony,panalaau ia
color,kala like ’ole
column,kolamu
come,hele mai
common,like
company,poe
compare,hoohalike
complete,loa
condition,ano
confidence,ka wiwo ole
connect,hoʻohui
consider,noonoo
consonant,leokanipū
contain,no
continue,hoʻomau
control,hooponopono
cook,"kapena kuke,"
cool,anu
copy,kope
corn,palaoa
corner,ke kihi
correct,pololei
cost,kāki
cotton,pulupulu
could,hiki
count,helu
country,aina
course,ana
cover,aloha
cow,bipi
crease,crease
create,hana
crop,iʻohiʻia
cross,kela aoao
crowd,lehulehu
cry,kahea ana
current,papa
cut,e oki ai
dad,makuakāne
dance,hula
danger,weliweli
dark,pouli
day,lā
dead,make
deal,hana
dear,aloha
death,make
decide,hooholo
decimal,kekimala
deep,hohonu
degree,degere
depend,hilinai
describe,kakau
desert,waonahele
design,manao
determine,hooholo
develop,hoʻomōhala
dictionary,puke wehewehe’ōlelo
did,hana
die,make
differ,oko
difficult,paʻakikī
direct,kauoha
discuss,kūkākūkā
distant,ke kaawale ana
divide,māhele
division,mahele
do,hana
doctor,kauka
does,hana
dog,’īlio
dollar,dala
done,hana
don’t,"hana, aole"
door,puka
double,palua
down,iho
draw,huki
dream,moe
dress,male
drink,inu
drive,a holo
drop,papa
dry,maloo
duck,duck
during,iloko o
each,kela a me keia
ear,pepeiao
early,koke
earth,honua
ease,hoopau i
east,ka hikina
eat,ai
edge,lihi
effect,kanawai
egg,hua
eight,ʻewalu
either,kekahi
electric,pila nui
element,’āweʻaweʻa
else,e ae
end,hopena
enemy,ʻenemi
energy,ikehu
engine,engine
enough,lawa
enter,komo
equal,like
equate,equate
especially,ka oi aku
even,a hiki
evening,ahiahi
event,hanana
ever,loa
every,o kela
exact,mau
example,eia
except,koe nae
excite,ka naita
exercise,me ka
expect,makemake
experience,ka hoao ana
experiment,hoʻokolohua
eye,maka
face,maka
fact,mea
fair,maikai
fall,haule
family,ohana
famous,kaulana
far,loa
farm,mahiʻai
fast,hookeai
fat,kona kaikea a
father,makuakāne
favor,"i ka lokomaikaiia,"
fear,makau
feed,ʻai
feel,haha aku
feet,wawae
fell,haule iho la
felt,manaʻo
few,kakaikahi
field,mahinaʻai
fig,laau
fight,kaua
figure,huahelu
fill,hoopiha
final,hope loa
find,loaa
fine,uku
finger,manamana lima
finish,hoʻopau
fire,ke ahi
first,ka mua
fish,iʻa
fit,pono
five,ʻelima
flat,i lalo
floor,papahele
flow,kahe ana
flower,pua
fly,lele
follow,hahai
food,ai
foot,wawae
for,"no ka mea,"
force,ikaika
forest,nahele
form,ano
forward,mua
found,loaa
four,ʻehā
fraction,mahele
free,like me
fresh,hawaiian
friend,hoaaloha
from,mai
front,alo
fruit,hua
full,piha
fun,leʻaleʻa
game,hihiu
garden,kīhāpai
gas,kinoea
gather,houluulu
gave,haawi
general,nui
gentle,akahai
get,loaa
girl,kaikamahine
give,haawi
glad,olioli
glass,aniani
go,hele
gold,gula
gone,hana party
good,maikaʻi loa
got,loaʻa
govern,hoomalu
grand,luna nui
grass,ka mauu
gray,hinahina
great,nui
green,ʻōmaʻomaʻo
grew,ulu
ground,honua
group,hui
grow,ulu
guess,koho
guide,alakai
gun,ka pū
had,i
hair,lauoho
half,hapalua
hand,lima
happen,hiki mai ana
happy,hauʻoli
hard,paakiki
has,i
hat,ua inaina i ka
have,loaa
he,ka mea
head,poo
hear,lohe
heard,lohe
heart,puʻuwai
heat,wela
heavy,kaumaha
held,paa ana
help,kokua
her,ia
here,maanei
high,kiʻekiʻe
hill,puu
him,ia
his,kona
history,mōʻaukala
hit,ku
hold,paa
hole,puka
home,ka hale
hope,manaolana
horse,ka lio
hot,anal
hour,hola
house,ka hale
how,pehea
huge,nui
human,kanaka
hundred,haneri
hunt,i hoʻohālua
hurry,wikiwiki
i,i
ice,hau
idea,manaʻo
if,ina
imagine,manao wale
in,iloko o
inch,’īniha
include,nā
indicate,hoike
industry,hana
insect,insect
instant,koi aku la lakou
instrument,hana
interest,panee
invent,invent
iron,hao
is,ka mea
island,mokupuni
it,ia
job,oihana
join,hui
joy,olioli
jump,lele
just,pono
keep,malama
kept,malama
key,kī
kill,pepehi
kind,keia ano
king,ke alii
knew,ike
know,ike
lady,wahine
lake,lake
land,aina
language,’ōlelo
large,nui
last,hope
late,hopena o
laugh,akaaka
law,kanawai
lay,waiho
lead,alakai
learn,e ao
least,ka liʻiliʻi loa
leave,waiho
led,alakai
left,hema
leg,wawae
length,loa
less,emi
let,e
letter,palapala
level,ilikai
lie,moe
life,ola
lift,ke eaʻe
light,malamalama
like,like me
line,laina
liquid,wai
list,papa
listen,hoolohe
little,iki
live,ola
locate,huli ana
log,mōʻaukala
lone,lone
long,loihi
look,nana
lost,nalowale
lot,puu
loud,loa
love,aloha
low,haahaa
machine,maker
made,hana
magnet,mākēneki
main,ka papa kuhikuhie
major,nui
make,hana
man,kanaka
many,he nui
map,palapala ’āina
mark,mark
market,makeke
mass,nuipa
master,haku
match,ń
material,mea
matter,mea
may,mei
me,mai iaʻu
mean,ke ano o
meant,"ia mea,"
measure,ana
meat,ai
meet,ku i
melody,e hoʻonui i
men,kanaka
metal,metala
method,hana
middle,waena
might,ikaika
mile,ka mile
milk,waiu
million,miliona
mind,manao
mine,i koʻu
minute,minuke
miss,miss
mix,hui
modern,kēia
molecule,molecule
moment,manawa
money,kala
month,mahina
moon,luna
more,hou
morning,kakahiaka
most,loa
mother,makuahine
motion,ka noi
mount,mauna
mountain,mauna
mouth,waha
move,hu
much,nui
multiply,hoonui
music,aloha
must,pono
my,i koʻu
name,inoa
nation,lahuikanaka
natural,maoli
nature,maoli
near,kokoke
necessary,pono
neck,’ā’ī
need,pono
neighbor,hoalauna
never,loa
new,hou
next,aʻe
night,pō
nine,ʻeiwa
no,ʻaʻole
noise,a noise
noon,awakea
nor,aole
north,ke akau
nose,ihu
note,palapala aie
nothing,aole
notice,hoike
noun,noun
now,ano
number,helu
numeral,numeral
object,mea
observe,malama
occur,ana
ocean,moana
of,a
off,aku
offer,kaumaha
office,oihana
often,pinepine
oh,oh la
oil,aila
old,ka wa kahiko
on,maluna o
once,pākahi
one,ʻekahi
only,wale no
open,hamama
operate,hana
opposite,ku pono ana
or,"ai ole ia,"
order,aoao
organ,hui
original,kiʻi
other,kekahi
our,makou
out,aku
over,maluna o
own,iho
oxygen,ka oxygen
page,palapala
paint,pena
pair,mau
paper,pepa
paragraph,paukū
parent,makua
part,hapa
particular,mau
party,’aoʻao
pass,kekahi
past,i hala iho nei
path,ala
pattern,kumu
pay,uku
people,kanaka
perhaps,paha
period,manawa
person,kanaka
phrase,hopuna’ōlelo
pick,e koho i
picture,kiʻi
piece,kauwahi
pitch,kukulu iho
place,wahi
plain,maopopo
plan,kuka
plane,pelane
planet,honua
plant,kanu
play,paani
please,e ʻoluʻolu
plural,plural
poem,poem
point,wahi
poor,ilihune
populate,hoolahaia’ku [na kanaka
port,ke awa
pose,oweliweli
position,wahi
possible,hiki
post,lāʻau kū
pound,paona
power,mana
practice,hana
prepare,hoomakaukau
present,keia
press,kaomi
pretty,nani
print,paʻi
probable,paha
problem,pilikia
process,kaʻina
produce,paka
product,huahana
proper,pono
property,waiwai
protect,hoomalu
prove,hoao
provide,e hoomakaukau i
pull,huki
push,pale wale
put,kau
quart,quart
question,ninau
quick,"poe ola,"
quiet,mālie
quite,loa
quotient,puu
race,lāhui
radio,radio
rail,hoino aku
rain,ka ua
raise,hoala mai
ran,holo
range,huahelu
rather,e aho
reach,hiki
read,heluhelu mai o
ready,makaukau
real,maoli
reason,kumu
receive,loaa
record,mooolelo
red,ʻulaʻula
region,māhele
remember,no
repeat,hana hou
reply,pane
represent,ho i
require,pono
rest,maha
result,result
rich,waiwai
ride,no lilo
right,akau
ring,ke komo lima
rise,ala
river,muliwai
road,alanui
rock,pohaku
roll,’ōwili
room,lumi
root,aa
rope,kaula
rose,ala
round,a
row,lalani
rub,hamo i
rule,rula
run,hoʻoholo
safe,maluhia
said,mai la
sail,holo
salt,ka paʻakai
same,ia
sand,one
sat,pōʻaono
save,hoola
saw,i ike ai
say,aku nei au
scale,pālākiō
school,kula
science,nauka
score,manual
sea,kai
search,huli
season,manawa
seat,noho
second,ka lua
section,pauku
see,ike
seed,hua
seem,he
segment,hoʻohana
select,koho i
self,iho
sell,kuai
send,hoouna aku
sense,hoohalike
sent,hoouna
sentence,olelo
separate,ana
serve,malama
set,i
settle,hoonoho au
seven,ʻehiku
several,mau
shall,e
shape,helehelena
share,puu
sharp,oi
she,ia
sheet,pepa
shell,iwi
shine,alohi
ship,moku
shoe,kāmaʻa
shore,mauka
short,pōkole
should,e
shoulder,poʻohiwi
shout,hooho
show,hoike
side,aoao
sight,maka
sign,hoailona
silent,hāmau
silver,kala
similar,ano like
simple,mea
since,mai
sing,mele
single,hookahi
sister,"kaikuaʻana, kaikaina"
sit,noho
six,ʻeono
size,ka nui
skill,akamai
skin,ili
sky,lani
slave,kauwa
sleep,hiamoe
slip,oihana
slow,kali
small,uuku
smell,honi
smile,minoʻaka
snow,hau
so,pela
soft,pahee
soil,aina
soldier,koa
solution,pāʻoihana
solve,ke hoʻoponopono
some,kekahi
son,keikikāne
song,mele
soon,koke
sound,hookani
south,ka hema
space,makahiki
speak,olelo
special,kūikawā
speech,olelo
