english,persian
a,دست
able,قادر
about,در مورد
above,بالا
act,عمل
add,اضافه
afraid,ترس
after,پس از
again,دوباره
against,در برابر
age,سن
ago,پیش
agree,توافق
air,هوا
all,همه
allow,اجازه
also,همچنین
always,همیشه
am,ساعت
among,در میان
an,پا
and,و
anger,خشم
animal,حیوانات
answer,پاسخ
any,هر
appear,به نظر می رسد
apple,سیب
are,هستیم
area,منطقه
arm,دست
arrange,ترتیب
arrive,رسیدن
art,هنر
as,عنوان
ask,بپرسید
at,در
atom,اتم
baby,کودک
back,به عقب
bad,بد
ball,توپ
band,گروه
bank,بانک
bar,بار
base,پایه
basic,اساسی
bat,خفاش
be,بودن
bear,تحمل
beat,ضرب و شتم
beauty,زیبایی
bed,تخت
been,بوده
before,قبل
began,آغاز شد
begin,شروع
behind,پشت سر
believe,باور
bell,زنگ
best,بهترین
better,بهتر
between,بین
big,بزرگ
bird,پرنده
bit,بیت
black,سیاه و سفید
block,بلوک
blood,خون
blow,ضربه
blue,آبی
board,هیئت مدیره
boat,قایق
body,بدن
bone,استخوان
book,کتاب
born,متولد
both,هر دو
bottom,پایین
bought,خریداری
box,جعبه
boy,پسر
branch,شاخه
bread,نان
break,استراحت
bright,روشن
bring,را
broad,پهن
broke,شکست
brother,برادر
brought,آورده
brown,قهوه ای
build,ساخت
burn,رایت
busy,مشغول
but,اما
buy,خرید
by,توسط
call,تماس
came,آمد
camp,اردوگاه
can,می توانید
capital,سرمایه
captain,کاپیتان
car,اتومبیل
card,کارت
care,مراقبت
carry,حمل
case,مورد
cat,گربه
catch,گرفتن
caught,گرفتار
cause,علت
cell,سلول
cent,در صد
center,مرکز
century,قرن
certain,معین
chair,صندلی
chance,شانس
change,تغییر
character,شخصیت
charge,شارژ
chart,نمودار
check,بررسی
chick,جوجه
chief,رئیس
child,کودک
children,کودکان
choose,کنید
chord,وتر
circle,دایره
city,شهرستان
claim,ادعا
class,کلاس
clean,تمیز
clear,روشن
climb,صعود
clock,ساعت
close,نزدیک
clothe,پوشاندن
cloud,ابر
coast,ساحل
coat,کت
cold,سرد
collect,جمع آوری
colony,مستعمره
color,رنگ
column,ستون
come,آمده
common,مشترک
company,شرکت
compare,مقایسه
complete,کامل
condition,شرایط
connect,اتصال
consider,در نظر
consonant,همخوان
contain,شامل
continent,قاره
continue,ادامه
control,کنترل
cook,آشپز
cool,سرد
copy,کپی
corn,ذرت
corner,گوشه
correct,درست
cost,هزینه
cotton,پنبه
could,می تواند
count,شمار
country,کشور
course,البته
cover,پوشش
cow,گاو
crease,چین
create,ایجاد
crop,محصول
cross,صلیب
crowd,جمعیت
cry,فریاد
current,جریان
cut,برش
dad,پدر
dance,رقص
danger,خطر
dark,تاریک
day,روز
dead,مرده
deal,معامله
dear,عزیز
death,مرگ
decide,تصمیم گی
decimal,اعشاری
deep,عمیق
degree,درجه
depend,بستگی دارد
describe,توصیف
desert,بیابان
design,طراحی
determine,تعیین
develop,توسعه
dictionary,فرهنگ لغت
did,انجام
die,مرگ
differ,متفاوت
difficult,دشوار
direct,مستقیم
discuss,بحث
distant,دور
divide,تقسیم
division,بخش
do,انجام
doctor,دکتر
does,میکند
dog,سگ
dollar,دلار
done,انجام
don’t,نکن
door,درب
double,دو
down,پایین
draw,قرعه کشی
dream,رویا
dress,لباس
drink,نوشابه
drive,درایو
drop,رها کردن
dry,خشک
duck,اردک
during,در
each,هر
ear,گوش
early,اوایل
earth,زمین
ease,آسان
east,شرق
eat,خوردن
