english,thai
a,กรอก
able,สามารถ
about,เกี่ยวกับ
above,ข้างบน
act,การกระทำ
add,เพิ่ม
afraid,กลัว
after,หลังจากที่
again,อีกครั้ง
against,กับ
age,อายุ
ago,ที่ผ่านมา
agree,ตกลง
air,อากาศ
all,ทั้งหมด
allow,อนุญาตให้
also,ด้วย
always,เสมอ
am,am
among,ในหมู่
an,บิน
and,และ
anger,ความโกรธ
animal,สัตว์
answer,คำตอบ
any,ใด ๆ
appear,ปรากฏ
apple,แอปเปิล
are,มี
area,พื้นที่
arm,แขน
arrange,จัด
arrive,มาถึง
art,ศิลปะ
as,เป็น
ask,ขอให้
at,ที่
atom,อะตอม
baby,ทารก
back,กลับ
bad,ไม่ดี
ball,ลูก
band,วงดนตรี
bank,ธนาคาร
bar,บาร์
base,ฐาน
basic,ขั้นพื้นฐาน
bat,ค้างคาว
be,จะเป็น
bear,แบก
beat,เอาชนะ
beauty,ความงาม
bed,เตียง
been,รับ
before,ก่อนที่จะ
began,เริ่ม
begin,เริ่มต้น
behind,ที่อยู่เบื้องหลัง
believe,เชื่อ
bell,ระฆัง
best,ที่ดีที่สุด
better,ที่ดีกว่า
between,ระหว่าง
big,ใหญ่
bird,นก
bit,บิต
black,สีดำ
block,บล็อก
blood,เลือด
blow,ระเบิด
blue,สีฟ้า
board,คณะกรรมการ
boat,เรือ
body,ร่างกาย
bone,กระดูก
book,หนังสือ
born,เกิด
both,ทั้งสอง
bottom,ด้านล่าง
bought,ซื้อ
box,กล่อง
boy,เด็กชาย
branch,สาขา
bread,ขนมปัง
break,ทำลาย
bright,สดใส
bring,นำมาซึ่ง
broad,กว้าง
broke,ยากจน
brother,พี่ชายของ
brought,นำ
brown,สีน้ำตาล
build,สร้าง
burn,เผา
busy,ยุ่ง
but,แต่
buy,ซื้อ
by,โดย
call,โทร
came,มา
camp,ค่าย
can,สามารถ
capital,ทุน
captain,กัปตัน
car,รถ
card,บัตร
care,การดูแล
carry,พกพา
case,กรณี
cat,แมว
catch,จับ
caught,จับ
cause,สาเหตุ
cell,เซลล์
cent,ร้อยละ
center,ศูนย์
century,ศตวรรษที่
certain,บางอย่าง
chair,เก้าอี้
chance,โอกาส
change,การเปลี่ยนแปลง
character,ตัวอักษร
charge,คิดค่าใช้จ่าย
chart,แผนภูมิ
check,ตรวจสอบ
chick,เจี๊ยบ
chief,หัวหน้า
child,เด็ก
children,เด็ก
choose,เลือก
chord,คอร์ด
circle,วงกลม
city,เมือง
claim,อ้าง
class,ชั้น
clean,ทำความสะอาด
clear,ที่ชัดเจน
climb,ปีน
clock,นาฬิกา
close,ใกล้
clothe,ตกแต่ง
cloud,เมฆ
coast,ชายฝั่ง
coat,เสื้อโค้ท
cold,เย็น
collect,การเก็บรวบรวม
colony,อาณานิคม
color,สี
column,คอลัมน์
come,มา
common,ที่พบบ่อย
company,บริษัท
compare,เปรียบเทียบ
complete,สมบูรณ์
condition,สภาพ
connect,เชื่อมต่อ
consider,พิจารณา
consonant,พยัญชนะ
contain,มี
continent,ทวีป
continue,ดำเนินการต่อไป
control,การควบคุม
cook,ปรุงอาหาร
cool,เย็น
copy,สำเนา
corn,ข้าวโพด
corner,มุม
correct,ถูกต้อง
cost,ค่าใช้จ่าย
cotton,ผ้าฝ้าย
could,สามารถทำได้
count,นับ
country,ประเทศ
course,แน่นอน
cover,ปก
cow,วัว
crease,รอยพับ
create,สร้าง
crop,การเพาะปลูก
cross,ข้าม
crowd,ฝูงชน
cry,ร้องไห้
current,ปัจจุบัน
cut,ตัด
dad,พ่อ
dance,การเต้นรำ
danger,อันตราย
dark,มืด
day,วัน
dead,ที่ตายแล้ว
deal,ข้อตกลง
dear,ที่รัก
death,ความตาย
decide,ตัดสินใจ
decimal,ทศนิยม
deep,ลึก
degree,องศา
depend,ขึ้นอยู่
describe,อธิบาย
desert,ทะเลทราย
design,ออกแบบ
determine,กำหนด
develop,การพัฒนา
dictionary,พจนานุกรม
did,ได้
die,ตาย
differ,แตกต่าง
difficult,ยาก
direct,โดยตรง
discuss,หารือเกี่ยวกับ
distant,ที่ห่างไกล
divide,แบ่ง
division,ส่วน
do,ทำ
doctor,แพทย์
does,ไม่
dog,สุนัข
dollar,ดอลล่า
done,เสร็จแล้ว
don’t,ทำไม่ได้
door,ประตู
double,สอง
down,ลง
draw,วาด
dream,ฝัน
dress,การแต่งกาย
drink,เครื่องดื่ม
drive,ไดรฟ์
drop,หล่น
dry,แห้ง
duck,เป็ด
during,ในช่วง
each,แต่ละ
ear,หู
early,ตอนต้น
earth,โลก
ease,บรรเทา
east,ทางทิศตะวันออก
eat,กิน
edge,ขอบ
effect,ผลกระทบ
egg,ไข่
eight,แปด
either,อย่างใดอย่างหนึ่ง
electric,ไฟฟ้า
element,องค์ประกอบ
else,อื่น
end,ปลาย
enemy,ศัตรู
energy,พลังงาน
engine,เครื่องยนต์
enough,พอ
enter,ใส่
equal,เท่ากัน
equate,ถือเอา
especially,โดยเฉพาะอย่างยิ่ง
even,แม้กระทั่ง
evening,ตอนเย็น
event,เหตุการณ์
ever,เคย
every,ทุก
exact,ที่แน่นอน
example,ตัวอย่างเช่น
except,ยกเว้น
excite,ตื่นเต้น
exercise,การออกกำลังกาย
expect,คาดหวังว่า
experience,ประสบการณ์
experiment,การทดลอง
eye,ตา
face,ใบหน้า
fact,ความเป็นจริง
fair,ยุติธรรม
fall,ตก
family,ครอบครัว
famous,ที่มีชื่อเสียง
far,ห่างไกล
farm,ฟาร์ม
fast,อย่างรวดเร็ว
fat,ไขมัน
father,พ่อของ
favor,ชอบ
fear,ความกลัว
feed,อาหารสัตว์
feel,รู้สึก
feet,ฟุต
fell,ลดลง
felt,รู้สึกว่า
few,น้อย
field,สนาม
fig,มะเดื่อ
fight,สู้
figure,รูปที่
fill,กรอก
final,สุดท้าย
find,หา
fine,ปรับ
finger,ลายนิ้วมือ
finish,เสร็จ
fire,ไฟไหม้
first,เป็นครั้งแรก
fish,ปลา
fit,พอดี
five,ห้า
flat,แบน
floor,ชั้น
flow,ไหล
flower,ดอกไม้
fly,บิน
follow,ทำตาม
food,อาหาร
foot,เท้า
for,สำหรับ
force,แรง
forest,ป่า
form,รูปแบบ
forward,ข้างหน้า
found,พบ
four,สี่
fraction,ส่วน
free,ฟรี
fresh,สด
friend,เพื่อน
from,จาก
front,ด้านหน้า
fruit,ผลไม้
full,เต็ม
fun,สนุก
game,เกม
garden,สวน
gas,ก๊าซ
gather,รวบรวม
gave,ให้
general,ทั่วไป
gentle,อ่อนโยน
get,ได้รับ
girl,สาว
give,ให้
glad,ดีใจ
glass,แก้ว
go,ไป
gold,ทอง
gone,หายไป
good,ดี
got,ได้
govern,ควบคุม
grand,ยิ่งใหญ่
grass,หญ้า
gray,สีเทา
great,ที่ดี
green,สีเขียว
grew,เพิ่มขึ้น
ground,พื้นดิน
group,กลุ่ม
grow,เติบโต
guess,เดา
guide,แนะนำ
gun,ปืน
had,มี
hair,ผม
half,ครึ่ง
hand,มือ
happen,เกิดขึ้น
happy,มีความสุข
hard,อย่างหนัก
has,มี
hat,หมวก
have,มี
he,เขา
head,หัว
hear,ได้ยิน
heard,ได้ยิน
heart,การเต้นของหัวใจ
heat,ความร้อน
heavy,หนัก
held,ชู
help,ช่วย
her,เธอ
here,ที่นี่
high,สูง
hill,เนินเขา
him,เขา
his,ของเขา
history,ประวัติศาสตร์
hit,ตี
hold,ถือ
hole,หลุม
home,บ้าน
hope,หวังว่า
horse,ม้า
hot,ร้อน
hour,ชั่วโมง
house,บ้าน
how,วิธี
huge,ใหญ่
human,มนุษย์
hundred,ร้อย
hunt,ล่า
hurry,รีบ
i,ฉัน
ice,น้ำแข็ง
idea,ความคิดที่
if,ถ้า
imagine,จินตนาการ
in,ใน
inch,นิ้ว
include,ประกอบด้วย
indicate,แสดง
industry,อุตสาหกรรม
insect,แมลง
instant,ทันที
instrument,เครื่องมือ
interest,ที่น่าสนใจ
invent,คิดค้น
iron,เหล็ก
is,เป็น
island,เกาะ
it,มัน
job,งาน
join,ร่วม
joy,ความสุข
jump,กระโดด
