english,belarusian
a,пяць
able,стане
about,пра гэта
above,вышэй
act,акт
add,дадаць
afraid,баюся
after,пасля
again,зноў
against,супраць
age,ўзрост
ago,назад
agree,згаджацца
air,паветра
all,усе
allow,дазваляюць
also,таксама
always,заўсёды
am,я
among,сярод
an,
and,і
anger,гнеў
animal,жывёл
answer,адказ
any,любы
appear,з’яўляюцца
apple,яблык
are,з’яўляюцца
area,плошчу
arm,рука
arrange,арганізаваць
arrive,прыходзім
art,мастацтва
as,як
ask,спытаеце
at,ў
atom,атам
baby,дзіця
back,назад
bad,дрэнна
ball,мяч
band,група
bank,банк
bar,бар
base,база
basic,асноўная
bat,лятучая мыш
be,быць
bear,несці
beat,біць
beauty,прыгажосць
bed,ложак
been,быў
before,да
began,пачаў
begin,пачаць
behind,за
believe,"лічаць,"
bell,звон
best,лепш
better,лепш
between,паміж
big,вялікі
bird,птушка
bit,біт
black,чорны
block,блок
blood,кроў
blow,ўдар
blue,сіні
board,дошка
boat,лодка
body,цела
bone,костка
book,кніга
born,дата нараджэння:
both,як
bottom,знізу
bought,купіў
box,скрынка
boy,хлопчык
branch,філіял
bread,хлеб
break,перапынак
bright,яркі
bring,прынесці
broad,шырокая
broke,зламаў
brother,брат
brought,прынёс
brown,карычневы
build,пабудаваць
burn,спаліць
busy,заняты
but,але
buy,купіць
by,па
call,тэлефануйце
came,прыйшлі
camp,лагер
can,можа
capital,капітал
captain,капітан
car,аўтамабіль
card,карта
care,сыход
carry,несці
case,справу
cat,кот
catch,ўлоў
caught,злавілі
cause,прычынай
cell,клетак
cent,цэнт
center,цэнтр
century,стагоддзя
certain,упэўнены
chair,крэсла
chance,шанец
change,змена
character,характар
charge,зарадкі
chart,дыяграма
check,праверыць
chick,кураня
chief,галоўны
child,дзіця
children,дзеці
choose,выбраць
chord,акорд
circle,круг
city,горад
claim,прэтэнзіі
class,клас
clean,чысты
clear,ясна
climb,ўздым
clock,гадзіны
close,блізка
clothe,апрануць
cloud,воблака
coast,узбярэжжы
coat,паліто
cold,холадна
collect,збіраць
colony,калонія
color,колер
column,калонка
come,прыходзяць
common,агульная
company,кампанія
compare,параўнаць
complete,поўная
condition,стан
connect,падлучэння
consider,разгледзець
consonant,зычны
contain,ўтрымліваць
continent,кантынент
continue,працягнуць
control,кантроль
cook,кухар
cool,крута
copy,копія
corn,кукуруза
corner,кут
correct,правільна
cost,кошт
