english,uzbek
a,a
able,qodir
about,atrofida
above,yuqorida
act,ish
add,kiritish
afraid,qo’rqqan
after,so’ng
again,yana
against,qarshi
age,yosh
ago,ilgari
agree,qo’shilaman
air,havo
all,hamma
allow,ruxsat
also,shuningdek
always,har doim
am,emasman
among,orasida
an,e’lonni
and,va
anger,g’azab
animal,hayvon
answer,javob
any,har qanday
appear,paydo
apple,olma
are,bor
area,maydon
arm,qo’l
arrange,tashkil
arrive,yetib
art,san’at
as,sifatida
ask,so’rarlar
at,da
atom,atom
baby,chaqaloq
back,orqa
bad,yomon
ball,koptok
band,frans
bank,bank
bar,bar
base,asos
basic,asosiy
bat,ko’rshapalak
be,bo’lishi
bear,qo’pol
beat,mag’lub etdi
beauty,go’zallik
bed,karavot
been,edi
before,oldin
began,boshladi
begin,boshlanishi
behind,orqasida
believe,iymon
bell,qo’ng’iroq
best,eng yaxshi
better,yaxshiroq
between,o’rtasida
big,katta
bird,qush
bit,bit
black,qora
block,blok
blood,qon
blow,zarba
blue,ko’k
board,taxta
boat,qayiq
body,badan
bone,suyak
book,kitob
born,tug’ma
both,har ikkala
bottom,pastki
bought,sotib
box,box
boy,bola
branch,filial
bread,non
break,tanaffus
bright,yorug ’
bring,olib
broad,keng
broke,buzib
brother,aka
brought,olib
brown,jigar rang
build,qurish
burn,kuyish
busy,band
but,lekin
buy,sotib
by,tomonidan
call,chaqirish
came,kelgan
camp,lager
can,mumkin
capital,kapital
captain,kapitan
car,avtomobil
card,karta
care,g’amxo’rlik
carry,bajarish
case,hodisa
cat,mushuk
catch,tutmoq
caught,qo’lga
cause,sabab
cell,hujayra
cent,foiz
center,markaz
century,asr
certain,aniq
chair,stul
chance,tasodif
change,o’zgarish
character,fe’l
charge,ayblash
chart,sxema
check,nazorat
chick,jo’ja
chief,boshliq
child,yosh bola
children,bolalar
choose,ni tanlang
chord,akkord
circle,to’garak
city,shahar
claim,talab
class,class
clean,toza
clear,aniq
climb,yuqoriga chiqmok
clock,soat
close,yaqin
clothe,kiyintirmoq
cloud,bulut
coast,qirg’oq
coat,palto
cold,sovuq
collect,to’plash
colony,mustamlaka
color,rang
column,ustun
come,kelib
common,umumiy
company,kompaniya
compare,solishtirish
complete,to’la
condition,holat
connect,ulanish
consider,tushunmoq
consonant,ohangdosh
contain,o’z ichiga olgan
continent,qit’a
continue,davom
control,nazorat
cook,oshpaz
cool,salqin
copy,nusxa
corn,makkajo’xori
corner,burchak
correct,to’g’ri
cost,qiymati
cotton,paxta
could,qo’lidan
count,hisoblash
country,mamlakat
course,"albatta,"
cover,qoplama
cow,sigir
crease,qat
create,yaratish
crop,hosil
cross,kesib
crowd,to’da
cry,yig’lamoq
