english,hebrew
a,זמן
able,תוכל
about,על
above,מעל
act,מעשה
add,להוסיף
afraid,חושש
after,לאחר
again,שוב
against,נגד
age,גיל
ago,לפני
agree,מסכים
air,אוויר
all,כל
allow,לאפשר
also,גם
always,תמיד
am,בבוקר
among,בין
an,בית
and,ו
anger,כעס
animal,חיה
answer,תשובה
any,כל
appear,להופיע
apple,תפוח
are,הם
area,אזור
arm,זרוע
arrange,לסדר
arrive,להגיע
art,אמנות
as,כמו
ask,שואל
at,ב
atom,אטום
baby,תינוק
back,בחזרה
bad,רע
ball,כדור
band,להקה
bank,בנק
bar,בר
base,בסיס
basic,בסיסי
bat,עטלף
be,להיות
bear,לשאת
beat,הכה
beauty,יופי
bed,מיטה
been,היה
before,לפני
began,החל
begin,להתחיל
behind,מאחור
believe,מאמין
bell,פעמון
best,הטוב ביותר
better,טוב יותר
between,בין
big,גדול
bird,ציפור
bit,קצת
black,שחור
block,בלוק
blood,דם
blow,מכה
blue,כחול
board,לוח
boat,סירה
body,גוף
bone,עצם
book,ספר
born,נולד
both,שני
bottom,תחתון
bought,קניתי
box,תיבה
boy,ילד
branch,סניף
bread,לחם
break,הפסקה
bright,בהיר
bring,להביא
broad,רחב
broke,פרץ
brother,אח
brought,הביא
brown,חום
build,לבנות
burn,לשרוף
busy,עסוק
but,אבל
buy,לקנות
by,על ידי
call,שיחה
came,הגיע
camp,מחנה
can,יכול
capital,הון
captain,קפטן
car,מכונית
card,כרטיס
care,טיפול
carry,לשאת
case,מקרה
cat,חתול
catch,מלכוד
caught,נתפס
cause,סיבה
cell,תא
cent,סנט
center,מרכז
century,המאה
certain,מסוים
chair,כיסא
chance,סיכוי
change,לשנות
character,אופי
charge,לחייב את
chart,תרשים
check,לבדוק
chick,חומוס
chief,ראשי
child,ילד
children,ילדים
choose,לבחור
chord,אקורד
circle,המעגל
city,עיר
claim,טענה
class,כיתה
clean,נקי
clear,ברור
climb,טיפוס
clock,שעון
close,קרוב
clothe,להלביש
cloud,ענן
coast,החוף
coat,מעיל
cold,קר
collect,לאסוף
colony,מושבה
color,צבע
column,טור
come,תבואו
common,משותף
company,חברה
compare,להשוות
complete,מלא
condition,מצב
connect,להתחבר
consider,לשקול
consonant,עיצור
contain,להכיל
continent,יבשת
continue,להמשיך
control,שליטה
cook,טבח
cool,מגניב
copy,עותק
corn,תירס
corner,פינה
correct,נכון
cost,עלות
cotton,כותנה
could,יכול
count,לספור
country,מדינה
course,כמובן
cover,כיסוי
cow,פרה
crease,קמט
create,ליצור
crop,יבול
cross,לחצות
crowd,קהל
cry,זעקה
current,נוכחי
cut,לחתוך
dad,אבא
dance,ריקוד
danger,סכנה
dark,אפל
day,יום
dead,מת
deal,עסקה
dear,יקר
death,מוות
decide,להחליט
decimal,עשרוני
deep,עמוק
degree,תואר
depend,תלויים
describe,לתאר
desert,מדבר
design,לעצב
determine,לקבוע
develop,לפתח
dictionary,מילון
did,עשיתי
die,למות
differ,שונה
difficult,קשה
