english,afrikaans
a,’n
able,staat
about,oor
above,bo
act,wet
add,voeg
afraid,bang
after,na
again,weer
against,teen
age,ouderdom
ago,gelede
agree,saamstem
air,lug
all,al
allow,toelaat
also,ook
always,altyd
am,is
among,onder
an,’n
and,en
anger,woede
animal,dier
answer,antwoord
any,enige
appear,verskyn
apple,appel
are,is
area,gebied
arm,arm
arrange,reël
arrive,kom
art,kuns
as,as
ask,vra
at,op
atom,atoom
baby,baba
back,terug
bad,slegte
ball,bal
band,groep
bank,bank
bar,bar
base,basis
basic,basiese
bat,kolf
be,wees
bear,dra
beat,klop
beauty,skoonheid
bed,bed
been,gewees
before,voor
began,begin
begin,begin
behind,agter
believe,glo
bell,klok
best,beste
better,beter
between,tussen
big,groot
bird,voël
bit,bietjie
black,swart
block,blok
blood,bloed
blow,blow
blue,blou
board,direksie
boat,boot
body,liggaam
bone,been
book,boek
born,gebore
both,beide
bottom,onderkant
bought,gekoop
box,box
boy,seuntjie
branch,tak
bread,brood
break,break
bright,helder
bring,bring
broad,breë
broke,gebreek
brother,broer
brought,gebring
brown,bruin
build,bou
burn,brand
busy,besig
but,maar
buy,koop
by,deur
call,oproep
came,gekom
camp,kamp
can,kan
capital,kapitaal
captain,kaptein
car,motor
card,kaart
care,sorg
carry,voer
case,geval
cat,kat
catch,vangs
caught,gevang
cause,oorsaak
cell,sel
cent,persent
center,sentrum
century,eeu
certain,sekere
chair,stoel
chance,kans
change,verandering
character,karakter
charge,hef
chart,grafiek
check,kyk
chick,chick
chief,hoof
child,kind
children,kinders
choose,kies
chord,koord
circle,sirkel
city,stad
claim,eis
class,klas
clean,skoon
clear,duidelik
climb,klim
clock,klok
close,naby
clothe,beklee
cloud,wolk
coast,kus
coat,rok
cold,koue
collect,versamel
colony,kolonie
color,kleur
column,kolom
come,kom
common,gemeenskaplike
company,maatskappy
compare,vergelyk
complete,volledige
condition,toestand
connect,koppel
consider,oorweeg
consonant,konsonant
contain,bevat
continent,vasteland
continue,voortgaan
control,beheer
cook,kok
cool,modern
copy,afskrif
corn,koring
corner,hoek
correct,korrekte
cost,koste
cotton,katoen
could,kon
count,tel
country,land
course,natuurlik
cover,dekking
cow,koei
crease,toename
create,skep
crop,oes
cross,steek
crowd,skare
cry,geroep
current,huidige
cut,cut
dad,pa
dance,dans
danger,gevaar
dark,donker
day,dag
dead,dood
deal,transaksie
dear,liewe
death,dood
decide,besluit
decimal,desimale
deep,diep
degree,graad
depend,afhang
describe,beskryf
desert,woestyn
design,ontwerp
determine,bepaal
develop,ontwikkel
dictionary,woordeboek
did,het
die,sterf
differ,verskil
difficult,moeilik
direct,direkte
discuss,bespreek
distant,verre
divide,verdeel
division,afdeling
do,doen
doctor,dokter
does,doen
dog,hond
dollar,dollar
done,gedoen
don’t,doen nie
door,deur
double,dubbel
down,af
draw,trek
dream,droom
dress,rok
drink,drink
drive,ry
drop,drop
dry,droë
duck,eend
during,tydens
each,elke
ear,oor
early,vroeë
earth,aarde
ease,verlig
east,oos
eat,eet
edge,rand
effect,uitwerking
egg,eier
eight,agt
either,óf
electric,elektriese
element,element
else,anders
end,einde
enemy,vyand
energy,energie
engine,enjin
enough,genoeg
enter,betree
equal,gelyke
equate,gelyk
especially,veral
even,selfs
evening,aand
event,gebeurtenis
ever,ooit
every,elke
exact,presiese
example,byvoorbeeld
except,behalwe
excite,opgewonde
exercise,oefening
expect,verwag
experience,ervaring
experiment,eksperiment
eye,oog
face,gesig
fact,trouens
fair,billike
fall,val
family,gesin
famous,bekende
far,ver
farm,plaas
fast,vinnig
fat,vet
father,vader
favor,guns
fear,vrees
feed,voer
feel,voel
feet,voete
fell,val
felt,gevoel
few,paar
field,gebied
fig,fig
fight,stryd
figure,figuur
fill,vul
final,finale
find,vind
fine,fyn
finger,vinger
finish,afwerking
fire,vuur
first,eerste
fish,vis
fit,pas
five,vyf
flat,plat
floor,vloer
flow,vloei
flower,blom
fly,vlieg
follow,volg
food,voedsel
foot,voet
for,vir
force,krag
forest,bos
form,vorm
forward,vorentoe
found,gevind
four,vier
fraction,breuk
free,gratis
fresh,vars
friend,vriend
from,uit
front,front
fruit,vrugte
full,volle
fun,pret
game,spel
garden,tuin
gas,gas
gather,versamel
gave,gegee
general,algemene
gentle,sagte
get,kry
girl,meisie
give,gee
glad,bly
glass,glas
go,gaan
gold,goud
gone,weg
good,goeie
got,het
govern,regeer
grand,grand
grass,gras
gray,grys
great,groot
green,groen
grew,gegroei
ground,grond
group,groep
grow,groei
guess,raai
guide,lei
gun,geweer
had,moes
hair,hare
half,helfte
hand,hand
happen,gebeur
happy,gelukkig
hard,hard
has,het
hat,hoed
have,het
he,hy
head,hoof
hear,hoor
heard,gehoor
heart,hart
heat,hitte
heavy,swaar
held,gehou
help,help
her,haar
here,hier
high,hoë
hill,hill
him,hom
his,sy
history,geskiedenis
hit,getref
hold,hou
hole,gat
home,huis
hope,hoop
horse,perd
hot,warm
hour,uur
house,huis
how,hoe
huge,groot
human,menslike
hundred,honderd
hunt,jag
hurry,haastig
i,ek
ice,ys
idea,idee
if,indien
imagine,dink
in,in
inch,duim
include,sluit
indicate,dui
industry,bedryf
insect,insekte
instant,direkte
instrument,instrument
interest,belangstelling
invent,bedink
iron,yster
is,is
island,eiland
it,dit
job,werk
join,sluit
joy,vreugde
jump,spring
just,net
keep,hou
kept,gehou
key,sleutel
kill,dood te maak
kind,soort
king,koning
knew,geweet
know,weet
lady,lady
lake,meer
land,land
language,taal
large,groot
last,laaste
late,laat
laugh,lag
law,wet
lay,lê
lead,lei
learn,leer
least,minste
leave,verlaat
led,gelei
left,verlaat
leg,been
length,lengte
less,minder
let,laat
letter,brief
level,vlak
lie,leuen
life,lewe
lift,lift
light,lig
like,soos
line,lyn
liquid,vloeistof
list,lys
listen,luister
little,bietjie
live,lewe
locate,spoor
log,teken
lone,eensaam
long,lang
look,kyk
lost,verloor
lot,baie
loud,hard
love,liefde
low,lae
machine,masjien
made,gemaak
magnet,magnet
main,hoof
major,groot
make,maak
man,man
many,baie
map,kaart
mark,merk
market,mark
mass,massa
master,meester
match,wedstryd
material,materiaal
matter,saak
may,mag
me,my
mean,beteken
meant,bedoel
measure,meet
meat,vleis
meet,ontmoet
melody,melodie
men,mans
metal,metaal
method,metode
middle,middel
might,mag
mile,myl
milk,melk
million,miljoen
mind,gedagte
mine,myn
minute,minuut
miss,mis
mix,meng
modern,moderne
molecule,molekule
moment,oomblik
money,geld
month,maand
moon,maan
more,meer
morning,oggend
most,mees
mother,ma
motion,beweging
mount,berg
mountain,berg
mouth,mond
move,skuif
much,veel
multiply,vermeerder
music,musiek
must,moet
my,my
name,naam
nation,nasie
natural,natuurlike
nature,aard
near,naby
necessary,nodige
neck,nek
need,nodig
neighbor,naaste
never,nooit
new,nuwe
next,volgende
night,nag
nine,nege
no,geen
noise,geraas
noon,middag
nor,of
north,noord
nose,neus
note,noot
nothing,niks
notice,kennisgewing
noun,naamwoord
now,nou
number,aantal
numeral,syfer
object,voorwerp
observe,neem
occur,voorkom
ocean,oseaan
of,van
off,af
offer,aanbod
office,kantoor
often,dikwels
oh,o
oil,olie
old,ou
on,op
once,keer
one,een
only,slegs
open,oop
operate,bedryf
opposite,teenoorgestelde
or,of
order,orde
organ,orrel
original,oorspronklike
other,ander
our,ons
out,uit
over,oor
own,eie
oxygen,suurstof
page,bladsy
paint,verf
pair,paar
paper,papier
paragraph,paragraaf
parent,ouer
part,deel
particular,bepaalde
party,partytjie
pass,slaag
past,verlede
path,pad
pattern,patroon
pay,betaal
people,mense
perhaps,miskien
period,tydperk
person,persoon
phrase,frase
pick,kies
picture,prentjie
piece,stukkie
pitch,steek
place,plek
plain,vlakte
plan,plan
plane,vliegtuig
planet,planeet
plant,plant
play,speel
please,asseblief
plural,meervoud
poem,gedig
point,punt
poor,swak
populate,vul
port,hawe
pose,inhou
position,posisie
possible,moontlik
post,post
pound,pond
power,krag
practice,praktyk
prepare,voor te berei
present,huidige
press,pers
pretty,mooi
print,druk
probable,waarskynlike
problem,probleem
process,proses
produce,produseer
product,produk
proper,behoorlike
property,eiendom
protect,beskerm
prove,bewys
provide,verskaf
pull,trek
push,stoot
put,sit
quart,kwart
question,vraag
quick,vinnige
quiet,stil
quite,baie
quotient,kwosiënt
race,ras
radio,radio
rail,spoor
rain,reën
raise,verhoog
ran,hardloop
range,reeks
rather,eerder
reach,bereik
read,lees
ready,gereed
real,werklike
reason,rede
receive,ontvang
record,rekord
red,rooi
region,streek
remember,onthou
repeat,herhaling
reply,antwoord
represent,verteenwoordig
require,vereis
rest,res
result,gevolg
rich,ryk
ride,rit
right,reg
ring,ring
rise,styg
river,rivier
road,pad
rock,rock
roll,roll
room,kamer
root,wortel
rope,tou
rose,gestyg
round,ronde
row,ry
rub,vryf
rule,reël
run,hardloop
safe,veilig
said,gesê
sail,vaar
salt,sout
same,dieselfde
sand,sand
sat,sat
save,red
saw,saag
say,sê
scale,skaal
school,skool
science,wetenskap
score,telling
sea,see
search,soek
season,seisoen
seat,sitplek
second,tweede
section,artikel
see,sien
seed,saad
seem,lyk
segment,segment
select,kies
self,self
sell,verkoop
send,stuur
sense,sin
sent,gestuur
sentence,vonnis
separate,afsonderlike
serve,dien
set,stel
settle,vestig
seven,sewe
several,verskeie
