english,xhosa
a,i
able,nako
about,malunga
above,ngasentla
act,isenzo
add,ukongeza
afraid,boyika
after,emva
again,kwakhona
against,ngokuchasene
age,ubudala
ago,kudala
agree,uyavuma
air,umoya
all,zonke
allow,kuvumela
also,ngokunjalo
always,rhoqo
am,mna
among,phakathi
an,ye
and,kwaye
anger,umsindo
animal,isilwanyana
answer,impendulo
any,nayiphina
appear,avele
apple,apile
are,zezi
area,ummandla
arm,ingalo
arrange,amalungiselelo
arrive,zifika
art,ubugcisa
as,xa
ask,cela
at,ngexesha
atom,iatom
baby,usana
back,umva
bad,olubi
ball,ibhola
band,band
bank,ibhanki
bar,ibhari
base,isiseko
basic,ezisisiseko
bat,ilulwane
be,kuba
bear,kuthwala
beat,bamtyabula
beauty,ubuhle
bed,ibhedi
been,ibe
before,phambi kokuba
began,waqala
begin,qala
behind,ngemva
believe,kholelwa
bell,intsimbi
best,eyona
better,ngcono
between,phakathi
big,enkulu
bird,intaka
bit,isuntswana
black,mnyama
block,ibhloko
blood,igazi
blow,ngesibetho
blue,luhlaza
board,ibhodi
boat,isikhephe
body,umzimba
bone,ithambo
book,incwadi
born,eyamazibulo
both,bobabini
bottom,ezantsi
bought,bathenga
box,ibhokisi
boy,inkwenkwe
branch,isebe
bread,isonka
break,ikhefu
bright,eliqaqambileyo
bring,zizisa
broad,ebanzi
broke,waqhekeza
brother,ubhuti
brought,wazisa
brown,ntsundu
build,ukwakha
burn,aqhumisele
busy,ndixakekile
but,kodwa
buy,kuthenga
by,ngokuthi
call,umnxeba
came,weza
camp,inkampu
can,unako
capital,inkunzi
captain,ikhapteni
car,imoto
card,ikhadi
care,inkathalo
carry,ukwenza
case,ityala
cat,ikati
catch,babambisa
caught,babambisa
cause,unobangela
cell,iseli
cent,ekhulwini
center,iziko
century,inkulungwane
certain,ezithile
chair,isitulo
chance,ithuba
change,utshintsho
character,umlinganiswa
charge,intlawulo
chart,itshathi
check,khangela
chick,intshontsho
chief,inkosi
child,umntwana
children,abantwana
choose,khetha
chord,ikhodi
circle,isangqa
city,isixeko
claim,kleyima
class,eklasini
clean,acocekileyo
clear,ecacileyo
climb,ukhwelo
clock,ikloko
close,kufutshane
clothe,zokumambesa
cloud,ilifu
coast,unxweme
coat,ibhatyi
cold,ingqele
collect,ukuqokelela
colony,thanga
color,umbala
column,intsika
come,kuza
common,eqhelekileyo
company,inkampani
compare,thelekisa
complete,epheleleyo
condition,imeko
connect,ukudibanisa
consider,ingqalelo
consonant,ulwazi lwezandi
contain,ziqulethe
continent,ilizwekazi
continue,kuqhubeka
control,ulawulo
cook,umpheki
cool,kuhle
copy,ikopi
corn,umbona
corner,ikona
correct,lungile
cost,ixabiso
cotton,umqhaphu
could,nako
count,bala
country,ilizwe
course,ikhosi
cover,isiciko
cow,inkomo
crease,ngokucha-
create,dala
crop,isivuno
cross,umnqamlezo
crowd,isihlwele
cry,isikhalo
current,angoku
cut,sika
dad,utata
dance,umdaniso
danger,ingozi
dark,mnyama
day,usuku
dead,ofileyo
deal,nesahlulo
dear,abathandekayo
death,ukufa
decide,gqiba
decimal,wokugqibela
deep,nzulu
degree,iqondo
depend,kuxhomekeka
describe,chaza
desert,intlango
design,uyilo
determine,ukumisela
develop,phuhlisa
dictionary,isichazi-magama
did,wenza
die,kufa
differ,kwahluka
difficult,nzima
direct,ngqo
discuss,xoxa
distant,kude
divide,yahlula
division,ulwahlulo
do,ukwenza
doctor,ugqirha
does,ntoni
dog,inja
dollar,dollar
done,nzileyo
don’t,musa
door,ucango
double,kabini
down,phantsi
draw,zoba
dream,iphupha
dress,isinxibo
drink,isiselo
drive,qhuba
drop,imenyu
dry,omile
duck,idada
during,ngexesha
each,ngamnye
ear,indlebe
early,kusasa
earth,umhlaba
ease,ukonwaba
east,bucala ngasekhohlo
eat,nidle
edge,isiphelo
effect,isiphumo
egg,iqanda
eight,sibhozo
either,nokuba
electric,ombane
element,isiqalelo
else,enye
end,isiphelo
enemy,utshaba
energy,amandla
engine,injini
enough,konele
enter,faka
equal,ngokulinganayo
equate,kungaba
especially,ngakumbi
even,nokuba
evening,ngokuhlwa
event,isiganeko
ever,kuze
every,yonke
exact,kanye
example,umzekelo
except,ngaphandle
excite,-nik’ihlombe
exercise,umsebenzi
expect,silindele
experience,amava
experiment,umfuniselo
eye,iliso
face,ubuso
fact,inyaniso
fair,lungile
fall,bawe
family,usapho
famous,dumile
far,kude
farm,ifama
fast,ngokukhawuleza
fat,amafutha
father,utata
favor,isisa
fear,uloyiko
feed,ifidi
feel,bazive
feet,iinyawo
fell,wawa
felt,waziva
few,mbalwa
field,intsimi
fig,ikhiwane
fight,umlo
figure,inani
fill,zalisa
final,sokugqibela
find,fumana
fine,isohlwayo
finger,umnwe
finish,entanjeni
fire,umlilo
first,ekuqaleni
fish,intlanzi
fit,ilingane
five,ntlanu
flat,iflethi
floor,umgangatho
flow,iiflowu
flower,intyatyambo
fly,impukane
follow,landela
food,ukutya
foot,unyawo
for,kuba
force,amandla
forest,ihlathi
form,imo
forward,phambili
found,bafumana
four,ne
fraction,iqhezu
free,khulula
fresh,fresh
friend,umhlobo
from,ku
front,phambili
fruit,iziqhamo
full,ngokupheleleyo
fun,ukonwaba
game,umdlalo
garden,igadi
gas,igesi
gather,ndibahlanganise
gave,wanika
general,ngokubanzi
gentle,nobubele
get,fumana
girl,intombazana
give,nika
glad,ndiyavuya
glass,iglasi
go,ukuya
gold,igolide
gone,phelile
good,kulungile
got,wavuka
govern,lawula
grand,grand
grass,ingca
gray,ngwevu
great,kakhulu
green,luhlaza
grew,wakhula
ground,umhlaba
group,iqela
grow,khula
guess,unokuthekelela
guide,khokela
gun,umpu
had,kwafuneka
hair,iinwele
half,isiqingatha
hand,isandla
happen,kwenzeka
happy,onwabile
hard,lukhuni
has,unalo
hat,umnqwazi
have,kuba
he,yena
head,intloko
hear,eniyivayo
heard,ndeva
heart,intliziyo
heat,ubushushu
heavy,nzima
held,zabanjwa
help,nceda
her,yena
here,apha
high,phezulu
hill,induli
him,yena
his,yakhe
history,imbali
hit,betha
hold,bamba
hole,umngxuma
home,ikhaya
hope,ithemba
horse,ihashe
hot,shushu
hour,yure
house,indlu
how,njani
huge,enkulu
human,umntu
hundred,ikhulu
hunt,ukuzingela
hurry,khawuleza
i,mna
ice,umkhenkce
idea,uluvo
if,ukuba
imagine,ucinge
in,e
inch,intshi
include,ziquka
indicate,zibonisa
industry,ishishini
insect,isinambuzane
instant,ngephanyazo
