english,gujarati
a,એક
able,સક્ષમ
about,વિશે
above,ઉપર
act,અધિનિયમ
add,ઉમેરો
afraid,ભયભીત
after,પછી
again,ફરીથી
against,સામે
age,ઉંમર
ago,પહેલા
agree,સંમત
air,હવા
all,બધા
allow,પરવાનગી
also,પણ
always,હંમેશા
am,છું
among,વચ્ચે
an,એક
and,અને
anger,ગુસ્સો
animal,પ્રાણી
answer,જવાબ
any,કોઈપણ
appear,દેખાય
apple,સફરજન
are,છે
area,વિસ્તાર
arm,હાથ
arrange,વ્યવસ્થા
arrive,આવો
art,કલા
as,તરીકે
ask,પૂછો
at,પર
atom,અણુ
baby,બાળક
back,પાછા
bad,ખરાબ
ball,બોલ
band,બેન્ડ
bank,બેંક
bar,બાર
base,આધાર
basic,મૂળભૂત
bat,બેટ
be,પ્રયત્ન
bear,સહન
beat,હરાવ્યું
beauty,સુંદરતા
bed,બેડ
been,આવી
before,પહેલાં
began,શરૂ કર્યું
begin,શરૂ
behind,પાછળ
believe,માને
bell,ઘંટડી
best,શ્રેષ્ઠ
better,સારી
between,વચ્ચે
big,મોટા
bird,પક્ષી
bit,બીટ
black,કાળા
block,બ્લોક
blood,રક્ત
blow,ફટકો
blue,વાદળી
board,બોર્ડ
boat,હોડી
body,શરીર
bone,અસ્થિ
book,પુસ્તક
born,બોર્ન
both,બંને
bottom,નીચે
bought,ખરીદી
box,બોક્સ
boy,છોકરો
branch,શાખા
bread,બ્રેડ
break,વિરામ
bright,તેજસ્વી
bring,લાવવા
broad,વ્યાપક
broke,તોડી
brother,ભાઈ
brought,લાવ્યા
brown,બદામી
build,બિલ્ડ
burn,બર્ન
busy,વ્યસ્ત
but,પરંતુ
buy,ખરીદી
by,દ્વારા
call,કૉલ
came,આવી
camp,શિબિર
can,આ કરી શકો છો
capital,મૂડી
captain,કેપ્ટન
car,કાર
card,કાર્ડ
care,સંભાળ
carry,ચાલુ
case,કેસ
cat,બિલાડી
catch,કેચ
caught,કેચ
cause,કારણ
cell,સેલ
cent,ટકા
center,કેન્દ્ર
century,સદી
certain,ચોક્કસ
chair,ખુરશી
chance,તક
change,ફેરફાર
character,પાત્ર
charge,ચાર્જ
chart,ચાર્ટ
check,તપાસ
chick,પક્ષીનું બચ્ચું
chief,મુખ્ય
child,બાળક
children,બાળકો
choose,પસંદ
chord,તાર
circle,વર્તુળ
city,શહેર
claim,દાવો
class,વર્ગ
clean,સ્વચ્છ
clear,પારદર્શક
climb,ચઢી
clock,ઘડિયાળ
close,બંધ
clothe,વસ્ત્રની
cloud,વાદળું
coast,કિનારે
coat,કોટ
cold,ઠંડા
collect,એકત્રિત
colony,વસાહત
color,રંગ
column,કૉલમ
come,આવે
common,સામાન્ય
company,કંપની
compare,સરખામણી
complete,પૂર્ણ
condition,સ્થિતિ
connect,કનેક્ટ
consider,ધ્યાનમાં
consonant,વ્યંજન
contain,સમાવે
continent,ખંડ
continue,ચાલુ
control,નિયંત્રણ
cook,રસોઈયા
cool,ઠંડી
copy,નકલ
corn,મકાઈ
corner,ખૂણે
correct,યોગ્ય
cost,ખર્ચ
cotton,કપાસ
could,કરી શકે છે
count,ગણતરી
country,દેશ
course,અલબત્ત
cover,કવર
cow,ગાય
crease,બોલ
create,બનાવો
crop,પાક
cross,પાર
crowd,ભીડ
cry,કોલાહલ
current,વર્તમાન
cut,કટ
dad,પિતા
dance,નૃત્ય
danger,ભય
dark,શ્યામ
day,દિવસ
dead,મૃત
deal,સોદો
dear,પ્રિય
death,મૃત્યુ
decide,નક્કી
decimal,બાદ
deep,ઊંડા
degree,ડિગ્રી
depend,આધાર રાખે છે
describe,વર્ણન
desert,રણ
design,ડિઝાઇન
determine,નક્કી
develop,વિકાસ
dictionary,શબ્દકોશ
did,હતી
die,મૃત્યુ પામે છે
differ,અલગ
difficult,મુશ્કેલ
direct,સીધા
discuss,ચર્ચા
distant,દૂરના
divide,વિભાજન
division,વિભાગ
do,કરી
doctor,ડૉક્ટર
does,કરે
dog,કૂતરો
dollar,ડોલર
done,પૂર્ણ
don’t,ન
door,બારણું
double,ડબલ
down,નીચે
draw,ડ્રો
dream,સ્વપ્ન
dress,ડ્રેસ
drink,પીણું
drive,ડ્રાઇવ
drop,છોડો
dry,શુષ્ક
duck,બતક
during,દરમિયાન
each,દરેક
ear,કાન
early,પ્રારંભિક
earth,પૃથ્વી
ease,સરળ
east,પૂર્વ
eat,ખાય
edge,ધાર
effect,અસર
egg,ઇંડા
eight,આઠ
either,ક્યાં
electric,ઇલેક્ટ્રિક
element,તત્વ
else,અન્ય
end,અંત
enemy,દુશ્મન
energy,ઊર્જા
engine,એન્જિન
enough,પર્યાપ્ત
enter,દાખલ
equal,સમાન
equate,સમીકરણ
especially,ખાસ કરીને
even,પણ
evening,સાંજે
event,ઘટના
ever,ક્યારેય
every,દરેક
exact,ચોક્કસ
example,ઉદાહરણ
except,સિવાય
excite,ઉત્તેજિત
exercise,કસરત
expect,અપેક્ષા
experience,અનુભવ
experiment,પ્રયોગ
eye,આંખ
face,ચહેરો
fact,હકીકત
fair,વાજબી
fall,આવતા
family,કુટુંબ
famous,વિખ્યાત
far,અત્યાર સુધી
farm,ફાર્મ
fast,ઝડપી
fat,ચરબી
father,પિતા
favor,તરફેણ
fear,ભય
feed,ફીડ
feel,લાગે
feet,પગ
fell,હતો
felt,લાગ્યું
few,થોડા
field,ક્ષેત્ર
fig,અંજીર
fight,લડાઈ
figure,આકૃતિ
fill,ભરો
final,અંતિમ
find,શોધવા
fine,દંડ
finger,આંગળી
finish,સમાપ્ત
fire,આગ
first,પ્રથમ
fish,માછલી
fit,ફિટ
five,પાંચ
flat,ફ્લેટ
floor,માળ
flow,પ્રવાહ
flower,ફૂલ
fly,ઉડાન
follow,અનુસરો
food,ખોરાક
foot,પગ
for,માટે
force,બળ
forest,વન
form,ફોર્મ
forward,આગળ
found,મળી
four,ચાર
fraction,અપૂર્ણાંક
free,મફત
fresh,તાજા
friend,મિત્ર
from,થી
front,સામે
fruit,ફળ
full,સંપૂર્ણ
fun,મજા
game,રમત
garden,બગીચો
gas,ગેસ
gather,ભેગા
gave,આપ્યો
general,સામાન્ય
gentle,સૌમ્ય
get,વિચાર
girl,છોકરી
give,આપે
glad,ખુશી
glass,કાચ
go,જાઓ
gold,ગોલ્ડ
gone,ગયો
good,સારું
got,મળી
govern,સંચાલન
grand,ગ્રાન્ડ
grass,ઘાસ
gray,ગ્રે
great,મહાન
green,લીલા
grew,વધારો થયો હતો
ground,જમીન
group,જૂથ
grow,વૃદ્ધિ
guess,ધારી
guide,માર્ગદર્શન
gun,બંદૂક
had,હતી
hair,વાળ
half,છ
hand,હાથ
happen,થાય
happy,સુખી
hard,હાર્ડ
has,છે
hat,ટોપી
have,છે
he,તે
head,વડા
hear,સાંભળવા
heard,સાંભળ્યું
heart,હૃદય
heat,ગરમી
heavy,ભારે
held,આયોજન
help,મદદ
her,તેના
here,અહીં
high,ઉચ્ચ
hill,હિલ
him,તેને
his,તેના
history,ઇતિહાસ
hit,હિટ
hold,પકડી
hole,છિદ્ર
home,ઘર
hope,આશા
horse,ઘોડો
hot,ગરમ
hour,કલાક
house,ઘર
how,કેવી રીતે
huge,વિશાળ
human,માનવ
hundred,સો
hunt,શિકાર
hurry,ઉતાવળ કરવી
i,હું
ice,બરફ
idea,વિચાર
if,જો
imagine,કલ્પના
in,માં
inch,ઇંચ
include,સમાવેશ થાય છે
indicate,સૂચવે છે
industry,ઉદ્યોગ
insect,જંતુ
instant,ઇન્સ્ટન્ટ
instrument,સાધન
interest,રસ
invent,શોધ
iron,લોખંડ
is,છે
island,ટાપુ
it,તે
job,કામ
join,જોડાવા
joy,આનંદ
jump,આવો
just,માત્ર
keep,રાખો
kept,રાખવામાં
key,કી
kill,મારી
kind,પ્રકારની
king,રાજા
knew,જાણતા હતા
know,ખબર
lady,મહિલા
lake,તળાવ
land,જમીન
language,ભાષા
large,મોટા
last,છેલ્લા
late,અંતમાં
laugh,હસે
law,કાયદો
lay,મૂકે
lead,દોરી
learn,જાણવા
least,ઓછા
leave,છોડી
led,દોરી
left,બાકી
leg,બોલ
length,લંબાઈ
less,ઓછી
let,દો
letter,અક્ષર
level,સ્તર
lie,અસત્ય
life,જીવન
lift,લિફ્ટ
light,પ્રકાશ
like,જેમ
line,રેખા
liquid,પ્રવાહી
list,યાદી
listen,સાંભળવા
little,ઓછી
live,રહે છે
locate,સ્થિત
log,લોગ
lone,એકલા
long,લાંબા
look,જુઓ
lost,ગુમાવી
lot,ઘણો
loud,મોટા
love,પ્રેમ
